Filter,MJD,Mag,Sigma,Code
V,396.77,16.5522611273,0.024,CSP3014
V,397.73,16.4927118544,0.019,CSP3014
V,398.76,16.3651534244,0.01,CSP3014
V,399.72,16.2603691157,0.008,CSP3014
V,400.72,16.1850350377,0.008,CSP3014
V,401.7,16.1269543589,0.006,CSP3014
V,402.69,16.0814845959,0.008,CSP3014
V,403.74,16.0426449772,0.007,CSP3014
V,404.72,16.0239892164,0.007,CSP3014
V,406.72,15.9896037742,0.008,CSP3014
V,407.77,16.0078511908,0.008,CSP3014
V,408.73,16.0128694631,0.008,CSP3014
V,409.73,16.0184112423,0.008,CSP3014
V,410.74,16.028010735,0.007,CSP3014
V,411.73,16.0465365996,0.007,CSP3014
V,412.72,16.0636427162,0.008,CSP3014
V,413.7,16.1013695587,0.009,CSP3014
V,414.68,16.1263199499,0.008,CSP3014
V,415.73,16.1694042268,0.009,CSP3014
V,416.66,16.2125505311,0.008,CSP3014
V,417.71,16.2536173192,0.008,CSP3014
V,418.71,16.3175624272,0.009,CSP3014
V,419.68,16.368911304,0.009,CSP3014
V,420.74,16.416028206,0.01,CSP3014
V,421.77,16.4858136326,0.012,CSP3014
V,422.69,16.5378143028,0.024,CSP3014
V,424.67,16.6169414216,0.036,CSP3014
V,425.66,16.7100769794,0.025,CSP3014
V,426.67,16.770016727,0.016,CSP3014
V,427.67,16.8355269741,0.016,CSP3014
V,428.64,16.8634887174,0.013,CSP3014
V,429.66,16.8887518668,0.016,CSP3014
V,430.65,16.9681075989,0.014,CSP3014
V,431.62,17.0139821786,0.012,CSP3014
V,432.65,17.0653977012,0.013,CSP3014
V,436.66,17.2566617876,0.012,CSP3014
V,438.65,17.3395881961,0.012,CSP3014
V,444.67,17.6818995854,0.014,CSP3014
V,445.66,17.7381288866,0.013,CSP3014
V,446.67,17.7998863903,0.013,CSP3014
V,453.58,18.0401425174,0.029,CSP3014
V,454.61,18.0654290518,0.028,CSP3014
V,455.62,18.0781907648,0.03,CSP3014
V,456.59,18.1410072854,0.027,CSP3014
V,457.59,18.1865342554,0.022,CSP3014
V,458.58,18.2036323626,0.021,CSP3014
V,459.57,18.2305902483,0.016,CSP3014
V,460.57,18.2480817591,0.015,CSP3014
V,464.55,18.3483093131,0.016,CSP3014
V,465.61,18.3823857355,0.015,CSP3014
V,466.6,18.4200736488,0.018,CSP3014
V,472.55,18.5193979063,0.015,CSP3014
V,474.53,18.5587948425,0.016,CSP3014
V,476.52,18.6413834114,0.021,CSP3014
V,478.55,18.6212191796,0.027,CSP3014
V,479.55,18.7202290311,0.046,CSP3014
V,480.51,18.7474828856,0.03,CSP3014
i,397.73,16.9064628731,0.029,CSP9844
i,398.76,16.7803858091,0.01,CSP9844
i,399.72,16.680878001,0.009,CSP9844
i,400.72,16.6265729821,0.006,CSP9844
i,401.7,16.5666338178,0.007,CSP9844
i,402.69,16.5771102919,0.007,CSP9844
i,403.74,16.5827704124,0.007,CSP9844
i,404.72,16.6102875402,0.008,CSP9844
i,406.72,16.6823922577,0.01,CSP9844
i,407.77,16.7070687026,0.011,CSP9844
i,408.73,16.7418601709,0.011,CSP9844
i,409.73,16.7604500045,0.01,CSP9844
i,410.74,16.7868654548,0.011,CSP9844
i,411.73,16.8447948206,0.011,CSP9844
i,412.72,16.8647834144,0.015,CSP9844
i,413.7,16.8974298164,0.012,CSP9844
i,414.68,16.9764283958,0.013,CSP9844
i,415.73,17.0155634386,0.012,CSP9844
i,416.66,17.0943584086,0.013,CSP9844
i,417.71,17.1442601565,0.012,CSP9844
i,418.71,17.2072102122,0.013,CSP9844
i,419.68,17.2569796146,0.012,CSP9844
i,420.74,17.2849104539,0.015,CSP9844
i,421.77,17.2617560799,0.021,CSP9844
i,422.69,17.3182048708,0.028,CSP9844
i,425.66,17.2526064665,0.034,CSP9844
i,426.67,17.2502986218,0.019,CSP9844
i,427.67,17.2092395388,0.017,CSP9844
i,428.64,17.2289654432,0.016,CSP9844
i,429.66,17.226406953,0.013,CSP9844
i,430.65,17.1967307715,0.013,CSP9844
i,431.62,17.1850338373,0.015,CSP9844
i,432.65,17.2113533754,0.015,CSP9844
i,436.66,17.2397271546,0.013,CSP9844
i,438.65,17.2324250874,0.012,CSP9844
i,444.67,17.5002740411,0.012,CSP9844
i,445.66,17.5640238667,0.012,CSP9844
i,446.67,17.62219545,0.013,CSP9844
i,453.58,18.0495379986,0.028,CSP9844
i,454.61,18.0340078785,0.019,CSP9844
i,455.62,18.1042173407,0.021,CSP9844
i,456.59,18.1160914885,0.02,CSP9844
