Filter,MJD,Mag,Sigma,Code
V,429.76,15.097423954,0.007,CSP3014
V,430.8,15.0782352667,0.008,CSP3014
V,431.82,15.0795983409,0.007,CSP3014
V,432.81,15.0857254207,0.008,CSP3014
V,436.79,15.2187213256,0.005,CSP3014
V,444.81,15.7310561417,0.01,CSP3014
V,445.81,15.7988872612,0.009,CSP3014
V,446.82,15.8531763315,0.007,CSP3014
V,452.76,16.1905073474,0.01,CSP3014
V,453.7,16.269294782,0.009,CSP3014
V,454.75,16.3451325481,0.009,CSP3014
V,455.79,16.4644465298,0.011,CSP3014
V,456.79,16.5331038471,0.01,CSP3014
V,457.77,16.6314114349,0.012,CSP3014
V,458.77,16.6926533121,0.011,CSP3014
V,459.79,16.7580005918,0.01,CSP3014
V,460.73,16.8460548736,0.011,CSP3014
V,461.7,16.9065545377,0.012,CSP3014
V,464.8,17.0673967066,0.011,CSP3014
V,465.8,17.1188323031,0.01,CSP3014
V,466.81,17.1594774154,0.01,CSP3014
V,467.78,17.1740122446,0.01,CSP3014
V,468.75,17.2123455895,0.01,CSP3014
V,473.72,17.3937007901,0.009,CSP3014
V,474.84,17.4363591106,0.012,CSP3014
V,475.73,17.4702013524,0.011,CSP3014
V,476.82,17.4932328348,0.011,CSP3014
V,477.86,17.5337321581,0.011,CSP3014
V,478.77,17.5574579501,0.012,CSP3014
V,479.74,17.580537919,0.014,CSP3014
V,480.75,17.6061240173,0.014,CSP3014
V,483.75,17.6691614387,0.038,CSP3014
V,490.73,17.8796168264,0.014,CSP3014
V,491.73,17.9185619233,0.015,CSP3014
V,512.79,18.45,0.034,CSP3014
i,429.76,15.7665636489,0.011,CSP9844
i,430.8,15.8102583336,0.011,CSP9844
i,431.82,15.8445635878,0.008,CSP9844
i,432.81,15.8690794536,0.01,CSP9844
i,436.79,16.0616392365,0.008,CSP9844
i,444.81,16.6416982931,0.012,CSP9844
i,445.81,16.6001251003,0.013,CSP9844
i,446.82,16.5882155685,0.011,CSP9844
i,452.76,16.3222498874,0.01,CSP9844
i,453.7,16.3006380681,0.008,CSP9844
i,454.75,16.3067058285,0.009,CSP9844
i,455.79,16.3287936523,0.007,CSP9844
i,456.79,16.3821272672,0.01,CSP9844
i,457.77,16.4484003899,0.009,CSP9844
i,458.77,16.5308659635,0.009,CSP9844
i,459.79,16.6323178034,0.009,CSP9844
i,460.73,16.7078317652,0.01,CSP9844
i,461.7,16.7899936987,0.011,CSP9844
i,464.8,16.9863127516,0.011,CSP9844
i,465.8,17.0640770467,0.008,CSP9844
i,466.81,17.1120487762,0.009,CSP9844
i,467.78,17.1754888333,0.008,CSP9844
i,468.75,17.2340253119,0.011,CSP9844
i,473.72,17.4765748216,0.011,CSP9844
i,474.84,17.5294682041,0.009,CSP9844
i,475.73,17.5806533283,0.009,CSP9844
i,476.82,17.611660985,0.009,CSP9844
i,477.86,17.6754348648,0.01,CSP9844
i,478.77,17.7002805631,0.012,CSP9844
i,479.74,17.7563123883,0.016,CSP9844
i,480.75,17.8095997376,0.019,CSP9844
i,483.75,17.8969081444,0.013,CSP9844
i,490.73,18.2108875282,0.014,CSP9844
i,491.73,18.2559006224,0.015,CSP9844
i,512.79,18.918,0.05,CSP9844
r,429.76,15.1891747528,0.033,CSP9844
r,430.8,15.129643681,0.008,CSP9844
r,431.82,15.129996327,0.007,CSP9844
r,432.81,15.128281567,0.007,CSP9844
r,436.79,15.2957065004,0.005,CSP9844
r,444.81,15.9319764706,0.011,CSP9844
r,445.81,15.9708294685,0.012,CSP9844
r,446.82,15.9848448456,0.01,CSP9844
r,452.76,16.0336510318,0.009,CSP9844
r,453.7,16.0728288234,0.007,CSP9844
r,454.75,16.1322250514,0.008,CSP9844
r,455.79,16.2074445989,0.007,CSP9844
r,456.79,16.282723629,0.009,CSP9844
r,457.77,16.3627673222,0.009,CSP9844
r,458.77,16.4726749324,0.011,CSP9844
r,459.79,16.537168482,0.009,CSP9844
r,460.73,16.6033066716,0.009,CSP9844
r,461.7,16.6880425167,0.011,CSP9844
r,464.8,16.8690841245,0.011,CSP9844
r,465.8,16.9087578031,0.009,CSP9844
r,466.81,16.9451622286,0.009,CSP9844
r,467.78,16.995457318,0.009,CSP9844
r,468.75,17.0888357142,0.016,CSP9844
r,473.72,17.2658336231,0.009,CSP9844
r,474.84,17.2890084012,0.007,CSP9844
r,475.73,17.3787876888,0.013,CSP9844
r,476.82,17.3889562479,0.01,CSP9844
r,477.86,17.4285146411,0.009,CSP9844
r,478.77,17.4697340123,0.011,CSP9844
r,479.74,17.5107367512,0.013,CSP9844
r,480.75,17.5465230058,0.015,CSP9844
r,483.75,17.6381053135,0.014,CSP9844
r,490.73,17.9254048004,0.016,CSP9844
r,491.73,17.9743114014,0.024,CSP9844
r,512.79,18.575,0.039,CSP9844
B,429.76,15.0991671782,0.006,CSP9844
B,430.8,15.0977384202,0.005,CSP9844
B,431.82,15.1040704809,0.006,CSP9844
B,432.81,15.1336204122,0.007,CSP9844
B,436.79,15.3554289612,0.005,CSP9844
B,444.81,16.1705534053,0.01,CSP9844
B,445.81,16.2988624156,0.01,CSP9844
B,446.82,16.4127484332,0.005,CSP9844
B,452.76,17.1087870495,0.01,CSP9844
B,453.7,17.2125413669,0.009,CSP9844
B,454.75,17.3154939235,0.015,CSP9844
B,455.79,17.4165819248,0.019,CSP9844
B,456.79,17.5045733918,0.013,CSP9844
B,457.77,17.5608923957,0.016,CSP9844
B,458.77,17.6700564742,0.014,CSP9844
B,459.79,17.7438179768,0.014,CSP9844
B,460.73,17.8063357965,0.014,CSP9844
B,461.7,17.8448387268,0.014,CSP9844
