Filter,MJD,Mag,Sigma,Code
V,436.63,13.7824273806,0.003,CSP3014
V,438.6,13.7658290422,0.005,CSP3014
V,444.65,13.9683113518,0.007,CSP3014
V,445.64,14.0335527464,0.006,CSP3014
V,452.57,14.5282450185,0.009,CSP3014
V,453.56,14.6031511403,0.007,CSP3014
V,454.58,14.6750503935,0.008,CSP3014
V,455.65,14.7494900253,0.007,CSP3014
V,456.56,14.8235280474,0.007,CSP3014
V,457.57,14.9076879418,0.007,CSP3014
V,458.54,15.0177078726,0.006,CSP3014
V,459.67,15.1327071075,0.007,CSP3014
V,460.5,15.2100644233,0.007,CSP3014
V,461.5,15.3160817635,0.008,CSP3014
V,464.53,15.535735831,0.009,CSP3014
V,465.53,15.6069467768,0.007,CSP3014
V,466.52,15.6461347207,0.007,CSP3014
V,467.63,15.6890143998,0.006,CSP3014
V,468.53,15.7395043849,0.008,CSP3014
V,472.5,15.8984304262,0.007,CSP3014
V,473.48,15.9234294767,0.007,CSP3014
V,474.5,15.9649084108,0.007,CSP3014
V,475.49,16.0032353033,0.007,CSP3014
V,478.48,16.089468133,0.009,CSP3014
V,479.48,16.0647393414,0.029,CSP3014
V,480.48,16.165046847,0.011,CSP3014
V,481.47,16.17937444,0.009,CSP3014
V,482.51,16.2295784978,0.013,CSP3014
V,483.51,16.2458769141,0.011,CSP3014
V,489.5,16.4190186062,0.009,CSP3014
V,512.46,17.079,0.015,CSP3014
i,436.63,14.3252556424,0.004,CSP9844
i,438.6,14.3660932523,0.008,CSP9844
i,446.64,14.9353387067,0.008,CSP9844
i,451.56,14.8023177454,0.019,CSP9844
i,454.58,14.7289317008,0.009,CSP9844
i,455.65,14.7140167305,0.008,CSP9844
i,456.56,14.710973921,0.006,CSP9844
i,458.54,14.7692346126,0.006,CSP9844
i,459.67,14.8517979667,0.006,CSP9844
i,464.53,15.3003643006,0.008,CSP9844
i,465.53,15.3820647545,0.008,CSP9844
i,466.52,15.4514212692,0.008,CSP9844
i,467.63,15.5037266566,0.006,CSP9844
i,472.5,15.7833663268,0.008,CSP9844
i,473.48,15.8383222322,0.008,CSP9844
i,474.5,15.8833479845,0.008,CSP9844
i,475.49,15.9381555539,0.008,CSP9844
i,479.48,16.1357641538,0.028,CSP9844
i,480.48,16.1658522809,0.009,CSP9844
i,481.47,16.1870414443,0.01,CSP9844
i,482.51,16.237276201,0.016,CSP9844
i,489.5,16.5277607388,0.01,CSP9844
i,490.46,16.5781941564,0.01,CSP9844
r,436.63,13.786441138,0.004,CSP9844
r,438.6,13.7540350396,0.005,CSP9844
r,451.56,14.4292310763,0.008,CSP9844
r,454.58,14.4695486316,0.006,CSP9844
r,455.65,14.5056240477,0.006,CSP9844
r,456.56,14.5527317159,0.005,CSP9844
r,457.57,14.6213018926,0.007,CSP9844
r,458.54,14.703268254,0.005,CSP9844
r,459.67,14.8135237333,0.006,CSP9844
r,465.53,15.3169242074,0.006,CSP9844
r,466.52,15.3845646509,0.006,CSP9844
r,467.63,15.4402379097,0.005,CSP9844
r,472.5,15.6652685553,0.006,CSP9844
r,474.5,15.740519392,0.007,CSP9844
r,475.49,15.7783493626,0.007,CSP9844
r,479.48,15.9567645655,0.019,CSP9844
r,480.48,15.9865370588,0.009,CSP9844
r,481.47,16.0302929313,0.008,CSP9844
r,483.51,16.0759283825,0.009,CSP9844
r,489.5,16.2961832372,0.009,CSP9844
r,490.46,16.3408664441,0.009,CSP9844
B,436.63,13.8684303726,0.004,CSP9844
B,438.6,13.8943782443,0.005,CSP9844
B,444.65,14.3564278385,0.009,CSP9844
B,445.64,14.4744105545,0.008,CSP9844
B,446.64,14.6124839977,0.006,CSP9844
B,452.57,15.4384433504,0.011,CSP9844
B,453.56,15.5816791547,0.008,CSP9844
B,454.58,15.6954937969,0.011,CSP9844
B,455.65,15.861070128,0.011,CSP9844
B,456.56,15.9492219842,0.01,CSP9844
B,457.57,16.043409001,0.01,CSP9844
B,458.54,16.1562195591,0.01,CSP9844
B,459.67,16.2808711482,0.01,CSP9844
B,460.5,16.366366236,0.011,CSP9844
B,461.5,16.4255692555,0.011,CSP9844
B,464.53,16.6586134042,0.011,CSP9844
B,465.53,16.7183659506,0.012,CSP9844
B,466.52,16.7605315231,0.012,CSP9844
B,467.63,16.8043659129,0.012,CSP9844
B,468.53,16.8448196225,0.011,CSP9844
B,472.5,16.950929198,0.013,CSP9844
B,473.48,16.9954909615,0.012,CSP9844
B,474.5,17.0027787174,0.012,CSP9844
B,475.49,17.0392320787,0.014,CSP9844
B,476.49,17.0306185666,0.015,CSP9844
B,477.48,17.0650750845,0.013,CSP9844
B,478.48,17.1009209616,0.017,CSP9844
B,479.48,17.0301649338,0.027,CSP9844
B,480.48,17.117608097,0.017,CSP9844
B,481.47,17.1501161458,0.014,CSP9844
B,482.51,17.118569743,0.022,CSP9844
B,483.51,17.1698922876,0.016,CSP9844
B,489.5,17.2822056503,0.015,CSP9844
B,490.46,17.2722421615,0.019,CSP9844
B,512.46,17.551,0.02,CSP9844
