Filter,MJD,Mag,Sigma,Code
V,467.89,17.1661634718,0.006,CSP3014
V,468.85,17.2301304035,0.006,CSP3014
V,472.8,17.5030275062,0.009,CSP3014
V,473.81,17.5770916124,0.008,CSP3014
V,475.77,17.696618663,0.009,CSP3014
V,476.78,17.7936223726,0.01,CSP3014
V,477.81,17.8633930835,0.009,CSP3014
V,481.76,18.1601341703,0.016,CSP3014
V,483.8,18.3526982944,0.024,CSP3014
V,484.76,18.3386169316,0.045,CSP3014
V,489.75,18.8257611322,0.033,CSP3014
V,490.77,18.8735562416,0.014,CSP3014
V,491.77,18.9276620377,0.016,CSP3014
i,467.89,18.0244365935,0.009,CSP9844
i,468.85,18.1222933939,0.01,CSP9844
i,472.8,18.3147466065,0.011,CSP9844
i,473.81,18.3082197469,0.01,CSP9844
i,475.77,18.2623143992,0.008,CSP9844
i,476.78,18.215983229,0.011,CSP9844
i,477.81,18.1692706411,0.01,CSP9844
i,481.76,18.0795692691,0.014,CSP9844
i,483.8,18.1082936412,0.013,CSP9844
i,489.75,18.619159689,0.016,CSP9844
i,490.77,18.6930441874,0.015,CSP9844
r,467.89,17.2977037578,0.006,CSP9844
r,468.85,17.3853038935,0.008,CSP9844
r,472.8,17.6773998984,0.009,CSP9844
r,473.81,17.7100637633,0.007,CSP9844
r,475.77,17.7579926135,0.008,CSP9844
r,476.78,17.7669204012,0.009,CSP9844
r,477.81,17.7832923758,0.008,CSP9844
r,481.76,17.9219161646,0.011,CSP9844
r,483.8,18.0655669209,0.014,CSP9844
r,489.75,18.5627622697,0.014,CSP9844
r,490.77,18.6164822702,0.01,CSP9844
r,491.77,18.6648772828,0.014,CSP9844
B,467.89,17.4464009336,0.006,CSP9844
B,468.85,17.5330577744,0.006,CSP9844
B,472.8,17.9952597897,0.009,CSP9844
B,473.81,18.1350390575,0.008,CSP9844
B,475.77,18.4052627939,0.009,CSP9844
B,476.78,18.5464273118,0.013,CSP9844
B,477.81,18.7011663987,0.012,CSP9844
B,481.76,19.1354472919,0.02,CSP9844
B,483.8,19.3543220786,0.047,CSP9844
B,484.76,19.4489469667,0.148,CSP9844
B,489.75,19.7417345962,0.075,CSP9844
B,490.77,19.8218159137,0.033,CSP9844
B,491.77,19.9037929445,0.031,CSP9844
