Filter,MJD,Mag,Sigma,Code
V,471.65,15.9034592989,0.006,CSP3014
V,472.67,15.9151605948,0.006,CSP3014
V,473.65,15.9499415197,0.007,CSP3014
V,474.65,15.9465844877,0.007,CSP3014
V,475.68,15.9942491242,0.007,CSP3014
V,476.67,16.0098184153,0.011,CSP3014
V,477.69,16.1053004046,0.011,CSP3014
V,478.71,16.1328265002,0.008,CSP3014
V,479.7,16.194990766,0.007,CSP3014
V,480.7,16.2199366191,0.009,CSP3014
V,481.66,16.3217807978,0.008,CSP3014
V,483.68,16.4447491762,0.01,CSP3014
V,484.7,16.4883502723,0.011,CSP3014
V,489.64,16.7305430506,0.008,CSP3014
V,490.65,16.7757510244,0.011,CSP3014
V,491.62,16.8248276127,0.013,CSP3014
V,512.61,17.9343177128,0.019,CSP3014
i,472.67,16.7817521518,0.013,CSP9844
i,473.65,16.7908766327,0.011,CSP9844
i,474.65,16.8565294005,0.013,CSP9844
i,475.68,16.9071078236,0.012,CSP9844
i,476.67,16.9086616903,0.017,CSP9844
i,477.69,17.0480316905,0.016,CSP9844
i,478.71,17.1324540262,0.014,CSP9844
i,479.7,17.1846364809,0.013,CSP9844
i,480.7,17.2213581592,0.013,CSP9844
i,481.66,17.3975407224,0.016,CSP9844
i,483.68,17.5147499637,0.017,CSP9844
i,484.7,17.5716018337,0.025,CSP9844
i,489.64,17.5500982098,0.016,CSP9844
i,490.65,17.4291811472,0.014,CSP9844
i,491.62,17.3554316549,0.017,CSP9844
i,512.61,17.9109774185,0.016,CSP9844
r,472.67,16.0660244157,0.011,CSP9844
r,473.65,16.0021520024,0.008,CSP9844
r,474.65,16.0510379645,0.008,CSP9844
r,475.68,16.1025447988,0.008,CSP9844
r,476.67,16.1140832856,0.011,CSP9844
r,477.69,16.2741289703,0.014,CSP9844
r,478.71,16.2281073953,0.011,CSP9844
r,479.7,16.3210696448,0.011,CSP9844
r,480.7,16.4133269612,0.011,CSP9844
r,481.66,16.5418715652,0.011,CSP9844
r,483.68,16.6823185659,0.011,CSP9844
r,489.64,16.8542541882,0.008,CSP9844
r,490.65,16.8409701899,0.011,CSP9844
r,491.62,16.812915346,0.012,CSP9844
r,512.61,17.7490156297,0.011,CSP9844
B,471.65,16.0103523426,0.005,CSP9844
B,472.67,16.0390970612,0.006,CSP9844
B,473.65,16.0717718046,0.006,CSP9844
B,474.65,16.1181549779,0.006,CSP9844
B,475.68,16.1669721911,0.006,CSP9844
B,476.67,16.2127322155,0.009,CSP9844
B,477.69,16.2814815174,0.009,CSP9844
B,478.71,16.3444945358,0.008,CSP9844
B,479.7,16.4303518996,0.008,CSP9844
B,480.7,16.509374209,0.009,CSP9844
B,481.66,16.5817711148,0.008,CSP9844
B,483.68,16.7900147672,0.009,CSP9844
B,484.7,16.8911913203,0.013,CSP9844
B,489.64,17.3920627986,0.01,CSP9844
B,490.65,17.5321624886,0.009,CSP9844
B,491.62,17.5862889028,0.015,CSP9844
B,512.61,18.8840983955,0.034,CSP9844
