Filter,MJD,Mag,Sigma,Code
V,476.61,18.8421605766,0.015,CSP3014
V,477.63,18.5810182967,0.013,CSP3014
V,478.65,18.3724465649,0.016,CSP3014
V,479.64,18.2246076141,0.018,CSP3014
V,480.65,18.0769199496,0.015,CSP3014
V,481.6,17.9879507851,0.016,CSP3014
V,483.63,17.8684232705,0.016,CSP3014
V,484.64,17.7972514926,0.017,CSP3014
V,489.59,18.1341534606,0.011,CSP3014
V,490.6,18.2598122014,0.011,CSP3014
V,491.56,18.3722600264,0.013,CSP3014
V,512.57,19.7756353942,0.057,CSP3014
i,476.61,18.9270053902,0.034,CSP9844
i,477.63,18.6810409723,0.023,CSP9844
i,478.65,18.43348768,0.023,CSP9844
i,479.64,18.2709082301,0.033,CSP9844
i,480.65,18.1425187767,0.024,CSP9844
i,481.6,18.0090921063,0.022,CSP9844
i,483.63,17.875637638,0.022,CSP9844
i,484.64,17.8096762907,0.028,CSP9844
i,489.59,17.8751265609,0.022,CSP9844
i,490.6,17.9367483498,0.023,CSP9844
i,491.56,17.9808852949,0.024,CSP9844
i,512.57,19.598832803,0.041,CSP9844
r,476.61,18.8732932458,0.021,CSP9844
r,477.63,18.6116718327,0.021,CSP9844
r,478.65,18.3897759223,0.021,CSP9844
r,479.64,18.2387452785,0.03,CSP9844
r,480.65,18.0386515063,0.022,CSP9844
r,481.6,17.9330784491,0.021,CSP9844
r,483.63,17.7570998809,0.022,CSP9844
r,489.59,17.8094088898,0.02,CSP9844
r,490.6,17.9021400444,0.021,CSP9844
r,491.56,17.9900826034,0.023,CSP9844
r,512.57,19.6013373622,0.036,CSP9844
B,476.61,19.3384243113,0.017,CSP9844
B,477.63,19.1186638485,0.017,CSP9844
B,478.65,18.913988236,0.017,CSP9844
B,479.64,18.7890666732,0.025,CSP9844
B,480.65,18.7456751341,0.02,CSP9844
B,481.6,18.6946589458,0.022,CSP9844
B,483.63,18.6568029343,0.035,CSP9844
B,484.64,18.7662593379,0.039,CSP9844
B,489.59,19.4653676125,0.028,CSP9844
B,490.6,19.6953370544,0.018,CSP9844
B,491.56,19.8308559571,0.017,CSP9844
