Filter,MJD,Mag,Sigma,Code
V,478.75,15.5539754331,0.011,CSP3014
V,479.72,15.5544687898,0.011,CSP3014
V,480.73,15.5280169181,0.013,CSP3014
V,481.69,15.5545686199,0.011,CSP3014
V,484.74,15.647873091,0.021,CSP3014
V,487.72,15.7788853176,0.012,CSP3014
V,489.72,15.9073257989,0.009,CSP3014
V,490.7,15.971495915,0.012,CSP3014
V,491.71,16.0458443303,0.015,CSP3014
V,512.76,17.4281347214,0.063,CSP3014
i,478.75,15.867415133,0.012,CSP9844
i,479.72,15.8907548783,0.015,CSP9844
i,480.73,15.9552062253,0.014,CSP9844
i,481.69,15.991631521,0.013,CSP9844
i,484.74,16.1117623501,0.019,CSP9844
i,489.72,16.5213842328,0.009,CSP9844
i,490.7,16.5600699564,0.011,CSP9844
i,491.71,16.5522980969,0.013,CSP9844
i,512.76,16.9116865279,0.018,CSP9844
r,478.75,15.4724113256,0.009,CSP9844
r,479.72,15.447105514,0.013,CSP9844
r,480.73,15.4502009928,0.013,CSP9844
r,481.69,15.4566669247,0.012,CSP9844
r,484.74,15.5359522929,0.013,CSP9844
r,489.72,15.926106714,0.009,CSP9844
r,490.7,16.0016736361,0.01,CSP9844
r,491.71,16.044532404,0.011,CSP9844
r,512.76,17.0294372987,0.023,CSP9844
B,478.75,15.8415416469,0.01,CSP9844
B,479.72,15.8327008454,0.011,CSP9844
B,480.73,15.8646579493,0.009,CSP9844
B,481.69,15.9031104907,0.01,CSP9844
B,484.74,16.0856864774,0.025,CSP9844
B,489.72,16.5652436103,0.01,CSP9844
B,490.7,16.6732263489,0.011,CSP9844
B,491.71,16.8008255842,0.012,CSP9844
B,512.76,18.5794720572,0.145,CSP9844
