Filter,MJD,Mag,Sigma,Code
V,639.89,15.8184576445,0.006,CSP3014
V,641.88,15.520332558,0.004,CSP3014
V,655.84,15.5194088914,0.005,CSP3014
V,659.79,15.8132561526,0.005,CSP3014
V,663.82,16.0699178782,0.005,CSP3014
V,665.83,16.1915503861,0.005,CSP3014
V,666.8,16.2422206483,0.005,CSP3014
V,669.82,16.4796709771,0.004,CSP3014
V,671.83,16.6329044992,0.005,CSP3014
V,673.82,16.7795327446,0.008,CSP3014
V,675.84,16.9499776282,0.009,CSP3014
V,682.83,17.2863269599,0.017,CSP3014
V,683.81,17.3366219513,0.007,CSP3014
V,687.78,17.4796833347,0.012,CSP3014
V,689.81,17.536709513,0.016,CSP3014
V,690.83,17.545429356,0.017,CSP3014
V,694.83,17.698250254,0.015,CSP3014
V,698.77,17.8238814941,0.011,CSP3014
V,699.76,17.8259129549,0.011,CSP3014
V,702.76,17.9273425995,0.011,CSP3014
V,712.74,18.253,0.013,CSP3014
V,721.71,18.468,0.03,CSP3014
V,730.75,18.761,0.019,CSP3014
i,639.89,16.0140648363,0.007,CSP9844
i,641.88,15.7681377791,0.004,CSP9844
i,650.9,15.9758934589,0.006,CSP9844
i,655.84,16.4988613608,0.009,CSP9844
i,659.79,16.7058140522,0.005,CSP9844
i,663.82,16.5652185445,0.006,CSP9844
i,665.83,16.4817191109,0.008,CSP9844
i,666.8,16.4432733469,0.007,CSP9844
i,669.82,16.3816566307,0.004,CSP9844
i,671.83,16.4246738226,0.007,CSP9844
i,673.82,16.5554041055,0.01,CSP9844
i,675.84,16.7261022367,0.011,CSP9844
i,682.83,17.2027600737,0.011,CSP9844
i,683.81,17.2456351973,0.01,CSP9844
i,687.78,17.4382072911,0.012,CSP9844
i,689.81,17.5382889312,0.013,CSP9844
i,690.83,17.6026744243,0.014,CSP9844
i,694.83,17.7701328045,0.015,CSP9844
i,698.77,17.9330088854,0.014,CSP9844
i,699.76,17.9720963295,0.014,CSP9844
i,702.76,18.1013130109,0.013,CSP9844
i,712.74,18.499,0.015,CSP9844
i,721.71,18.84,0.031,CSP9844
i,730.75,19.147,0.029,CSP9844
r,641.88,15.5245518125,0.004,CSP9844
r,655.84,15.7118145481,0.007,CSP9844
r,659.79,16.0102019691,0.004,CSP9844
r,663.82,16.0993003174,0.005,CSP9844
r,665.83,16.1087288306,0.006,CSP9844
r,666.8,16.1274131638,0.006,CSP9844
r,669.82,16.2369711151,0.004,CSP9844
r,671.83,16.3618254288,0.006,CSP9844
r,673.82,16.5181820181,0.007,CSP9844
r,675.84,16.677318562,0.01,CSP9844
r,682.83,17.1279003171,0.012,CSP9844
r,683.81,17.1685060074,0.006,CSP9844
r,687.78,17.3710816171,0.01,CSP9844
r,689.81,17.4141395512,0.013,CSP9844
r,690.83,17.4523244001,0.013,CSP9844
r,694.83,17.6223595438,0.013,CSP9844
r,698.77,17.7612915953,0.008,CSP9844
r,699.76,17.7934149123,0.011,CSP9844
r,702.76,17.9224553958,0.011,CSP9844
r,712.74,18.186,0.011,CSP9844
r,721.71,18.517,0.022,CSP9844
r,730.75,18.82,0.017,CSP9844
B,639.89,15.8931977826,0.006,CSP9844
B,641.88,15.5901404869,0.005,CSP9844
B,644.88,15.3382754089,0.005,CSP9844
B,655.84,15.7810180264,0.006,CSP9844
B,659.79,16.2404818387,0.006,CSP9844
B,663.82,16.7585718427,0.01,CSP9844
B,665.83,17.0086455122,0.008,CSP9844
B,666.8,17.1076063018,0.009,CSP9844
B,669.82,17.4841837856,0.008,CSP9844
B,671.83,17.6743855712,0.008,CSP9844
B,673.82,17.8196918029,0.009,CSP9844
B,675.84,17.9479681286,0.011,CSP9844
B,682.83,18.2822920188,0.02,CSP9844
B,683.81,18.3178312553,0.011,CSP9844
B,687.78,18.4087808216,0.023,CSP9844
B,689.81,18.456825965,0.031,CSP9844
B,690.83,18.5664766442,0.043,CSP9844
B,694.83,18.5775077403,0.026,CSP9844
B,698.77,18.6252947718,0.021,CSP9844
B,699.76,18.6571132715,0.017,CSP9844
B,702.76,18.7697666789,0.017,CSP9844
B,712.74,18.918,0.02,CSP9844
B,721.71,19.054,0.054,CSP9844
B,730.75,19.199,0.025,CSP9844
