Filter,MJD,Mag,Sigma,Code
V,650.81,16.5233393621,0.006,CSP3014
V,655.77,16.4610184621,0.009,CSP3014
V,658.71,16.4810439362,0.008,CSP3014
V,659.69,16.4972790034,0.009,CSP3014
V,662.77,16.5822590851,0.012,CSP3014
V,663.73,16.6185892783,0.009,CSP3014
V,665.71,16.709224606,0.009,CSP3014
V,666.76,16.7532935186,0.008,CSP3014
V,669.73,16.9161500199,0.008,CSP3014
V,671.77,17.0454257679,0.009,CSP3014
V,673.77,17.1304349964,0.01,CSP3014
V,675.74,17.2216502435,0.013,CSP3014
V,682.79,17.5394156548,0.041,CSP3014
V,683.74,17.5975527478,0.012,CSP3014
V,687.75,17.7599684297,0.017,CSP3014
V,694.73,18.1631771792,0.016,CSP3014
V,698.67,18.3435132214,0.015,CSP3014
V,699.7,18.4079057958,0.017,CSP3014
V,707.75,18.6481510851,0.022,CSP3014
V,712.69,18.7799262257,0.019,CSP3014
V,721.63,18.9802895668,0.038,CSP3014
V,726.69,19.1651131962,0.028,CSP3014
V,730.7,19.2092300208,0.027,CSP3014
V,737.66,19.4188429956,0.031,CSP3014
V,741.62,19.516,0.03,CSP3014
V,746.65,19.671,0.055,CSP3014
i,650.81,17.0274186834,0.009,CSP9844
i,655.77,17.1341963193,0.009,CSP9844
i,658.71,17.2485612732,0.009,CSP9844
i,659.69,17.2930874643,0.012,CSP9844
i,662.77,17.4081203955,0.011,CSP9844
i,663.73,17.5045361451,0.013,CSP9844
i,665.71,17.618957524,0.013,CSP9844
i,666.76,17.7111182292,0.013,CSP9844
i,669.73,17.8650173129,0.01,CSP9844
i,671.77,17.890787082,0.011,CSP9844
i,673.77,17.9006668204,0.013,CSP9844
i,675.74,17.8315307661,0.016,CSP9844
i,682.79,17.7148980981,0.03,CSP9844
i,683.74,17.7160773759,0.014,CSP9844
i,687.75,17.6829344243,0.016,CSP9844
i,694.73,18.009544584,0.016,CSP9844
i,698.67,18.2189656388,0.014,CSP9844
i,699.7,18.3125263148,0.016,CSP9844
i,707.75,18.6264726457,0.031,CSP9844
i,712.69,18.888114052,0.021,CSP9844
i,721.63,19.1981954788,0.033,CSP9844
i,726.69,19.368161728,0.034,CSP9844
i,730.7,19.5912578762,0.042,CSP9844
i,737.66,19.6865226987,0.043,CSP9844
i,741.62,19.743,0.041,CSP9844
i,746.65,20.007,0.059,CSP9844
i,751.66,20.052,0.073,CSP9844
r,650.81,16.6136692956,0.007,CSP9844
r,655.77,16.4829136607,0.007,CSP9844
r,658.71,16.5228821355,0.007,CSP9844
r,659.69,16.546159518,0.008,CSP9844
r,662.77,16.6630293422,0.008,CSP9844
r,663.73,16.7133653475,0.009,CSP9844
r,665.71,16.8369010338,0.008,CSP9844
r,666.76,16.8978050567,0.009,CSP9844
r,669.73,17.0904751147,0.006,CSP9844
r,671.77,17.1638720056,0.008,CSP9844
r,673.77,17.216398552,0.009,CSP9844
r,675.74,17.2530723328,0.01,CSP9844
r,682.79,17.3652311218,0.014,CSP9844
r,683.74,17.375882,0.009,CSP9844
r,687.75,17.458378377,0.012,CSP9844
r,694.73,17.8975184431,0.015,CSP9844
r,698.67,18.1041696205,0.01,CSP9844
r,699.7,18.1827051114,0.013,CSP9844
r,707.75,18.4550551807,0.018,CSP9844
r,712.69,18.6221169739,0.012,CSP9844
r,721.63,18.8910815335,0.023,CSP9844
r,726.69,19.0584965352,0.02,CSP9844
r,730.7,19.2222268423,0.022,CSP9844
r,737.66,19.341110397,0.02,CSP9844
r,741.62,19.337,0.019,CSP9844
r,746.65,19.484,0.033,CSP9844
r,751.66,19.652,0.056,CSP9844
B,650.81,16.6342155683,0.008,CSP9844
B,655.77,16.5972971826,0.007,CSP9844
B,658.71,16.6700756246,0.01,CSP9844
B,659.69,16.6997221609,0.009,CSP9844
B,662.77,16.8110171904,0.009,CSP9844
B,663.73,16.8829368068,0.01,CSP9844
B,665.71,17.0046553629,0.008,CSP9844
B,666.76,17.0845494017,0.008,CSP9844
B,669.73,17.364370175,0.007,CSP9844
B,671.77,17.5411551105,0.008,CSP9844
B,673.77,17.7522897347,0.009,CSP9844
B,675.74,17.9467717577,0.012,CSP9844
B,682.79,18.5658348561,0.037,CSP9844
B,683.74,18.6366512071,0.014,CSP9844
B,687.75,18.8465192829,0.026,CSP9844
B,694.73,19.2408186019,0.026,CSP9844
B,698.67,19.419151598,0.021,CSP9844
B,699.7,19.4565968009,0.019,CSP9844
B,707.75,19.6308943128,0.029,CSP9844
B,712.69,19.6727612956,0.022,CSP9844
B,721.63,19.7037958703,0.066,CSP9844
B,726.69,19.8053292541,0.051,CSP9844
B,730.7,19.9424233769,0.024,CSP9844
B,737.66,20.0369112931,0.032,CSP9844
B,741.62,20.125,0.05,CSP9844
B,746.65,20.151,0.072,CSP9844
B,751.66,20.124,0.093,CSP9844
