Filter,MJD,Mag,Sigma,Code
V,698.7,17.5882736108,0.01,CSP3014
V,699.68,17.5984396361,0.013,CSP3014
V,702.68,17.6851852264,0.012,CSP3014
V,706.69,17.4489602829,0.013,CSP3014
V,712.65,17.5351339671,0.012,CSP3014
V,720.66,17.5986805532,0.019,CSP3014
V,725.65,17.7157377326,0.014,CSP3014
V,728.7,17.7949343738,0.014,CSP3014
V,736.62,17.8961982859,0.014,CSP3014
V,740.65,17.9317396111,0.015,CSP3014
V,741.6,17.9582726087,0.017,CSP3014
V,746.62,17.9239216535,0.02,CSP3014
i,698.7,17.3351907835,0.01,CSP9844
i,699.68,17.3364194354,0.011,CSP9844
i,702.68,17.3345158745,0.01,CSP9844
i,706.69,17.384831763,0.013,CSP9844
i,712.65,17.4855179621,0.012,CSP9844
i,720.66,17.682151163,0.015,CSP9844
i,725.65,17.7160448702,0.012,CSP9844
i,728.7,17.7139394404,0.015,CSP9844
i,736.62,17.7888659529,0.014,CSP9844
i,740.65,17.805137071,0.012,CSP9844
i,741.6,17.8119081633,0.015,CSP9844
i,746.62,17.8765428811,0.016,CSP9844
i,754.59,17.9101302167,0.014,CSP9844
i,761.65,18.0354135681,0.017,CSP9844
i,763.57,18.0835572517,0.016,CSP9844
i,764.59,18.0668812036,0.016,CSP9844
i,765.57,18.0836977172,0.015,CSP9844
i,768.6,18.0574214233,0.02,CSP9844
i,773.55,18.1344472966,0.02,CSP9844
i,774.57,18.1737842292,0.021,CSP9844
i,783.55,18.2477683511,0.02,CSP9844
i,786.53,18.3444807492,0.019,CSP9844
i,795.54,18.234,0.03,CSP9844
r,698.7,17.3437832554,0.008,CSP9844
r,699.68,17.3605088777,0.01,CSP9844
r,702.68,17.3853708505,0.008,CSP9844
r,706.69,17.3091388729,0.011,CSP9844
r,712.65,17.3855919704,0.011,CSP9844
r,720.66,17.5560661138,0.012,CSP9844
r,725.65,17.6605707574,0.01,CSP9844
r,728.7,17.7115582295,0.012,CSP9844
r,736.62,17.742113415,0.011,CSP9844
r,740.65,17.7389603387,0.013,CSP9844
r,741.6,17.7332435373,0.011,CSP9844
r,746.62,17.7661478964,0.015,CSP9844
r,754.59,17.9563865454,0.012,CSP9844
r,761.65,18.0569745083,0.013,CSP9844
r,763.57,18.064036676,0.012,CSP9844
r,764.59,18.1148099449,0.015,CSP9844
r,765.57,18.1427715161,0.014,CSP9844
r,768.6,18.206374636,0.014,CSP9844
r,773.55,18.2562442852,0.017,CSP9844
r,774.57,18.2410019139,0.016,CSP9844
r,783.55,18.3600499182,0.016,CSP9844
r,786.53,18.5523166145,0.013,CSP9844
r,795.54,18.436,0.02,CSP9844
B,698.7,18.3592968585,0.015,CSP9844
B,699.68,18.3757320927,0.017,CSP9844
B,702.68,18.4407920517,0.015,CSP9844
B,706.69,18.4610594281,0.016,CSP9844
B,712.65,18.4625925495,0.062,CSP9844
B,720.66,18.7117148499,0.043,CSP9844
B,725.65,18.6750235193,0.022,CSP9844
B,728.7,18.6928205103,0.021,CSP9844
B,736.62,18.6139024197,0.022,CSP9844
B,740.65,18.5726960356,0.025,CSP9844
B,741.6,18.6187234209,0.031,CSP9844
B,746.62,18.619000142,0.054,CSP9844
B,754.59,18.7242131019,0.027,CSP9844
B,761.65,18.8206582992,0.035,CSP9844
B,763.57,18.9031014921,0.032,CSP9844
B,764.59,18.9020494536,0.03,CSP9844
B,765.57,18.8889180276,0.035,CSP9844
B,768.6,18.8922960537,0.037,CSP9844
B,773.55,19.0042748674,0.038,CSP9844
B,774.57,18.9031210714,0.053,CSP9844
B,783.55,19.133801761,0.037,CSP9844
B,786.53,19.2965406559,0.023,CSP9844
B,795.54,19.507,0.038,CSP9844
V,761.65,18.0539095434,0.02,CSP9844
V,763.57,18.0934668544,0.019,CSP9844
V,764.59,18.135777826,0.018,CSP9844
V,765.57,18.1575063967,0.016,CSP9844
V,768.6,18.2127842984,0.02,CSP9844
V,773.55,18.3305570263,0.026,CSP9844
V,774.57,18.2861881046,0.031,CSP9844
V,783.55,18.2889605853,0.022,CSP9844
V,786.53,18.5687857737,0.023,CSP9844
V,795.54,18.744,0.021,CSP9844
