Filter,MJD,Mag,Sigma,Code
V,682.55,17.2253234137,0.009,CSP3014
V,683.56,17.1190267265,0.01,CSP3014
V,684.6,17.0309311486,0.01,CSP3014
V,687.55,16.8917380873,0.009,CSP3014
V,689.63,16.8786607498,0.011,CSP3014
V,690.58,16.881023262,0.011,CSP3014
V,694.62,17.0214190546,0.009,CSP3014
V,695.61,17.0731089699,0.01,CSP3014
V,698.57,17.2533855845,0.008,CSP3014
V,699.6,17.3175242702,0.008,CSP3014
V,702.61,17.5125083326,0.011,CSP3014
V,706.64,17.7610390092,0.011,CSP3014
V,716.61,18.3992090941,0.028,CSP3014
V,721.58,18.7284508852,0.033,CSP3014
V,726.6,18.9539518786,0.028,CSP3014
V,730.59,19.1099311425,0.021,CSP3014
V,738.54,19.3405592223,0.022,CSP3014
V,746.55,19.6146877108,0.054,CSP3014
i,682.55,17.5252323394,0.011,CSP9844
i,683.56,17.4490691181,0.012,CSP9844
i,684.6,17.428996201,0.013,CSP9844
i,687.55,17.5381310634,0.013,CSP9844
i,689.63,17.6278716966,0.017,CSP9844
i,690.58,17.6349152484,0.012,CSP9844
i,694.62,17.9425964438,0.014,CSP9844
i,695.61,18.0364595128,0.015,CSP9844
i,698.57,18.3382478836,0.017,CSP9844
i,699.6,18.3914982665,0.017,CSP9844
i,702.61,18.4369165451,0.013,CSP9844
i,706.64,18.3239532842,0.016,CSP9844
i,716.61,18.2596969705,0.021,CSP9844
i,721.58,18.6519546476,0.023,CSP9844
i,726.6,18.9873493057,0.026,CSP9844
i,730.59,19.2344565866,0.031,CSP9844
i,738.54,19.5117049432,0.033,CSP9844
i,746.55,19.7689069771,0.053,CSP9844
i,750.55,19.9546345844,0.084,CSP9844
r,682.55,17.2575765039,0.008,CSP9844
r,683.56,17.1636611583,0.01,CSP9844
r,684.6,17.0835726528,0.009,CSP9844
r,687.55,16.9801669411,0.011,CSP9844
r,689.63,16.9525811204,0.011,CSP9844
r,690.58,16.982309492,0.01,CSP9844
r,694.62,17.150994233,0.009,CSP9844
r,695.61,17.2346894714,0.008,CSP9844
r,698.57,17.4958274284,0.007,CSP9844
r,699.6,17.5675262738,0.007,CSP9844
r,702.61,17.7146941833,0.009,CSP9844
r,706.64,17.7804631983,0.009,CSP9844
r,716.61,18.1181532903,0.018,CSP9844
r,721.58,18.5335585679,0.015,CSP9844
r,726.6,18.7869584895,0.015,CSP9844
r,730.59,18.9955143107,0.018,CSP9844
r,738.54,19.3112071784,0.028,CSP9844
r,746.55,19.5726661327,0.031,CSP9844
r,750.55,19.6755446961,0.063,CSP9844
r,755.55,19.8542512833,0.046,CSP9844
B,682.55,17.1524558341,0.009,CSP9844
B,683.56,17.0500106469,0.009,CSP9844
B,684.6,16.9746172316,0.009,CSP9844
B,687.55,16.8775419788,0.011,CSP9844
B,689.63,16.8966262585,0.011,CSP9844
B,690.58,16.9285855867,0.009,CSP9844
B,694.62,17.1788603132,0.009,CSP9844
B,695.61,17.2640085152,0.009,CSP9844
B,698.57,17.5593072185,0.009,CSP9844
B,699.6,17.6625539817,0.009,CSP9844
B,702.61,17.9997191638,0.011,CSP9844
B,706.64,18.5065540018,0.018,CSP9844
B,716.61,19.3534618348,0.083,CSP9844
B,721.58,19.6463083143,0.06,CSP9844
B,726.6,19.8805427152,0.05,CSP9844
B,730.59,20.0603323752,0.031,CSP9844
B,738.54,20.2133254376,0.046,CSP9844
B,755.55,20.4821942212,0.061,CSP9844
