Filter,MJD,Mag,Sigma,Code
V,682.62,18.5061049832,0.023,CSP3014
V,683.62,18.4275496037,0.025,CSP3014
V,684.66,18.4589385495,0.019,CSP3014
V,687.64,18.3993386131,0.028,CSP3014
V,690.64,18.4780616887,0.03,CSP3014
V,694.69,18.727035323,0.017,CSP3014
V,695.67,18.8157857749,0.016,CSP3014
V,698.62,18.9454446157,0.017,CSP3014
V,703.65,19.3637508422,0.019,CSP3014
V,707.68,19.5930512024,0.019,CSP3014
V,722.6,20.7674322757,0.044,CSP3014
V,728.63,20.9315365524,0.04,CSP3014
i,682.62,19.2494388273,0.056,CSP9844
i,683.62,19.1663777146,0.02,CSP9844
i,684.66,19.1589122548,0.025,CSP9844
i,690.64,19.3604767669,0.029,CSP9844
i,694.69,19.606660054,0.032,CSP9844
i,695.67,19.6794016701,0.028,CSP9844
i,698.62,19.9203615012,0.041,CSP9844
i,703.65,19.9547627928,0.04,CSP9844
i,707.68,19.748596294,0.037,CSP9844
i,722.6,20.0094402752,0.035,CSP9844
i,728.63,20.2909519604,0.046,CSP9844
i,738.56,20.6884309162,0.053,CSP9844
i,740.53,20.8403286467,0.083,CSP9844
r,682.62,18.640228801,0.02,CSP9844
r,683.62,18.6006221235,0.014,CSP9844
r,684.66,18.583655956,0.014,CSP9844
r,687.64,18.5248012402,0.02,CSP9844
r,690.64,18.5997195733,0.018,CSP9844
r,694.69,18.779018223,0.015,CSP9844
r,695.67,18.9283666964,0.02,CSP9844
r,698.62,19.0547885698,0.015,CSP9844
r,703.65,19.3029659529,0.019,CSP9844
r,707.68,19.2503120256,0.016,CSP9844
B,682.62,18.5823415209,0.022,CSP9844
B,683.62,18.5449333433,0.016,CSP9844
B,684.66,18.5439347743,0.017,CSP9844
B,687.64,18.5679342516,0.031,CSP9844
B,690.64,18.6926434269,0.043,CSP9844
B,694.69,18.8922315797,0.019,CSP9844
B,695.67,18.9451649725,0.018,CSP9844
B,698.62,19.1863018996,0.022,CSP9844
B,703.65,19.5952649237,0.026,CSP9844
B,707.68,19.9722372032,0.032,CSP9844
B,722.6,20.9005585199,0.107,CSP9844
B,728.63,21.3228639541,0.076,CSP9844
