Filter,MJD,Mag,Sigma,Code
V,689.69,16.243463125,0.01,CSP3014
V,690.77,15.7467489687,0.009,CSP3014
V,694.76,14.7340099517,0.008,CSP3014
V,695.72,14.5979034973,0.01,CSP3014
V,698.72,14.276830576,0.006,CSP3014
V,699.72,14.2298369213,0.009,CSP3014
V,702.71,14.2312798619,0.011,CSP3014
V,703.77,14.268748151,0.009,CSP3014
V,706.72,14.5345958282,0.011,CSP3014
V,707.83,14.6625340321,0.01,CSP3014
V,712.71,15.1631397397,0.01,CSP3014
V,713.68,15.2584897446,0.008,CSP3014
V,716.67,15.4978250481,0.006,CSP3014
V,720.68,15.7807523881,0.01,CSP3014
V,721.66,15.8459564843,0.01,CSP3014
V,725.72,16.0735008685,0.009,CSP3014
V,730.72,16.3019474302,0.009,CSP3014
V,736.67,16.5037727855,0.009,CSP3014
V,737.68,16.5336177057,0.01,CSP3014
V,741.65,16.6882755267,0.009,CSP3014
V,746.68,16.8389486572,0.011,CSP3014
i,689.69,16.1811635242,0.009,CSP9844
i,690.77,15.7645011206,0.009,CSP9844
i,694.76,14.8185773391,0.008,CSP9844
i,695.72,14.7051306817,0.008,CSP9844
i,698.72,14.4071396663,0.007,CSP9844
i,699.72,14.3574155234,0.01,CSP9844
i,702.71,14.35201758,0.011,CSP9844
i,703.77,14.3530713009,0.007,CSP9844
i,706.72,14.4481563833,0.013,CSP9844
i,707.83,14.4850227329,0.006,CSP9844
i,712.71,14.725032642,0.007,CSP9844
i,713.68,14.7976892551,0.008,CSP9844
i,716.67,14.9963482413,0.006,CSP9844
i,720.68,15.351329046,0.009,CSP9844
i,721.66,15.4458017839,0.008,CSP9844
i,725.72,15.7499895088,0.006,CSP9844
i,730.72,16.0390251986,0.009,CSP9844
i,736.67,16.3296706007,0.008,CSP9844
i,737.68,16.3747464432,0.011,CSP9844
i,741.65,16.5541683963,0.008,CSP9844
i,746.68,16.7528858715,0.011,CSP9844
i,750.62,16.9211856146,0.009,CSP9844
i,755.64,17.1058777425,0.009,CSP9844
i,761.7,17.3218229593,0.011,CSP9844
i,763.59,17.3865763744,0.012,CSP9844
i,764.6,17.407,0.011,CSP9844
i,765.59,17.426,0.016,CSP9844
i,767.55,17.476,0.01,CSP9844
i,771.57,17.595,0.013,CSP9844
i,773.58,17.661,0.015,CSP9844
i,775.42,17.698,0.014,CSP9844
i,778.57,17.777,0.017,CSP9844
i,784.55,17.96,0.015,CSP9844
i,786.56,18.0,0.018,CSP9844
i,798.54,18.271,0.019,CSP9844
i,804.57,18.426,0.028,CSP9844
i,809.54,18.51,0.029,CSP9844
i,819.51,18.688,0.027,CSP9844
r,689.69,16.1494959469,0.008,CSP9844
r,690.77,15.669815794,0.008,CSP9844
r,694.76,14.6600179567,0.006,CSP9844
r,695.72,14.5229767812,0.008,CSP9844
r,698.72,14.1813990386,0.006,CSP9844
r,703.77,14.0826646562,0.006,CSP9844
r,706.72,14.2463181516,0.011,CSP9844
r,707.83,14.3209059622,0.006,CSP9844
r,712.71,14.7289464472,0.006,CSP9844
r,713.68,14.8287884295,0.007,CSP9844
r,716.67,15.0559253398,0.006,CSP9844
r,720.68,15.4103644389,0.008,CSP9844
r,721.66,15.5022927305,0.006,CSP9844
r,725.72,15.7765653552,0.006,CSP9844
r,730.72,16.0614016231,0.008,CSP9844
r,736.67,16.357639466,0.008,CSP9844
r,737.68,16.4001253747,0.008,CSP9844
r,741.65,16.5921880394,0.007,CSP9844
r,746.68,16.8140566641,0.009,CSP9844
r,750.62,16.9785999118,0.009,CSP9844
r,755.64,17.2192925079,0.009,CSP9844
r,761.7,17.487069074,0.009,CSP9844
r,763.59,17.564954451,0.011,CSP9844
r,764.6,17.594,0.012,CSP9844
r,765.59,17.639,0.013,CSP9844
r,767.55,17.736,0.009,CSP9844
r,771.57,17.889,0.012,CSP9844
r,773.58,17.99,0.014,CSP9844
r,775.42,18.066,0.015,CSP9844
r,778.57,18.195,0.016,CSP9844
r,784.55,18.434,0.018,CSP9844
r,786.56,18.508,0.017,CSP9844
r,798.54,18.968,0.019,CSP9844
r,804.57,19.226,0.055,CSP9844
r,809.54,19.371,0.049,CSP9844
r,819.51,19.741,0.038,CSP9844
B,689.69,16.6416074851,0.011,CSP9844
B,690.77,16.1456417855,0.01,CSP9844
B,694.76,15.215826101,0.009,CSP9844
B,695.72,15.1008824335,0.007,CSP9844
B,698.72,14.8992795651,0.006,CSP9844
B,699.72,14.9243186734,0.012,CSP9844
B,702.71,15.1214978483,0.012,CSP9844
B,703.77,15.2895254201,0.013,CSP9844
B,706.72,15.7605152585,0.014,CSP9844
B,707.83,15.9176844111,0.008,CSP9844
B,712.71,16.5574141953,0.012,CSP9844
B,713.68,16.6196724256,0.012,CSP9844
B,716.67,16.820621268,0.009,CSP9844
B,720.68,17.0046176543,0.012,CSP9844
B,721.66,17.0728067843,0.011,CSP9844
B,725.72,17.2150565572,0.011,CSP9844
B,730.72,17.3595898331,0.011,CSP9844
B,736.67,17.5066375302,0.014,CSP9844
B,737.68,17.5393790052,0.013,CSP9844
B,741.65,17.6153624669,0.011,CSP9844
B,746.68,17.7101702196,0.017,CSP9844
B,750.62,17.7973705188,0.016,CSP9844
B,755.64,17.9220356523,0.015,CSP9844
B,761.7,18.0715442568,0.015,CSP9844
B,763.59,18.0744509401,0.016,CSP9844
B,764.6,18.116,0.015,CSP9844
B,765.59,18.155,0.021,CSP9844
B,767.55,18.186,0.012,CSP9844
B,771.57,18.251,0.016,CSP9844
B,773.58,18.298,0.016,CSP9844
B,775.42,18.339,0.02,CSP9844
B,778.57,18.364,0.023,CSP9844
B,784.55,18.522,0.016,CSP9844
B,786.56,18.549,0.022,CSP9844
B,798.54,18.81,0.022,CSP9844
B,804.57,18.855,0.029,CSP9844
B,809.54,19.09,0.084,CSP9844
B,819.51,19.154,0.026,CSP9844
V,761.7,17.2976228655,0.011,CSP9844
V,763.59,17.3494704682,0.014,CSP9844
V,764.6,17.412,0.013,CSP9844
V,765.59,17.444,0.015,CSP9844
V,767.55,17.49,0.009,CSP9844
V,771.57,17.604,0.012,CSP9844
V,773.58,17.662,0.015,CSP9844
V,775.42,17.722,0.014,CSP9844
V,778.57,17.802,0.018,CSP9844
V,784.55,17.97,0.015,CSP9844
V,786.56,18.053,0.016,CSP9844
V,798.54,18.373,0.019,CSP9844
V,804.57,18.509,0.025,CSP9844
V,809.54,18.649,0.049,CSP9844
V,819.51,18.989,0.029,CSP9844
