Filter,MJD,Mag,Sigma,Code
V,695.86,16.9607662211,0.009,CSP3014
V,702.83,15.7802492232,0.006,CSP3014
V,703.86,15.7355011305,0.006,CSP3014
V,706.84,15.6749945773,0.007,CSP3014
V,707.86,15.6896353912,0.006,CSP3014
V,712.84,15.8679889413,0.006,CSP3014
V,716.86,16.1499667537,0.006,CSP3014
V,720.83,16.4180174887,0.011,CSP3014
V,721.84,16.4621955998,0.01,CSP3014
V,728.85,16.9575827564,0.009,CSP3014
V,730.86,17.1278737109,0.013,CSP3014
V,736.81,17.5623997342,0.025,CSP3014
V,738.85,17.6577257333,0.011,CSP3014
V,740.85,17.7256203531,0.012,CSP3014
V,741.82,17.7720279928,0.011,CSP3014
V,745.77,17.9136519078,0.013,CSP3014
V,748.77,17.9835183399,0.014,CSP3014
i,695.86,17.1430192935,0.012,CSP9844
i,702.83,16.222794148,0.007,CSP9844
i,703.86,16.2716422057,0.009,CSP9844
i,706.84,16.3691368033,0.007,CSP9844
i,707.86,16.4025586748,0.009,CSP9844
i,712.84,16.8021692683,0.009,CSP9844
i,713.85,16.9315115202,0.009,CSP9844
i,716.86,17.1068169308,0.011,CSP9844
i,720.83,17.0800297328,0.012,CSP9844
i,721.84,17.0244125924,0.01,CSP9844
i,728.85,16.833735676,0.009,CSP9844
i,730.86,16.9156306659,0.013,CSP9844
i,736.81,17.4085532777,0.011,CSP9844
i,738.85,17.5540477638,0.01,CSP9844
i,740.85,17.6825034516,0.01,CSP9844
i,741.82,17.7054054801,0.01,CSP9844
i,745.77,17.8937644458,0.014,CSP9844
i,748.77,18.0555317466,0.015,CSP9844
i,751.81,18.1579535871,0.019,CSP9844
i,752.8,18.2620706372,0.034,CSP9844
i,754.74,18.3069497077,0.019,CSP9844
i,761.77,18.5997055594,0.016,CSP9844
i,762.78,18.6429780923,0.018,CSP9844
i,763.78,18.6247009839,0.03,CSP9844
i,764.79,18.726244762,0.017,CSP9844
i,765.77,18.7375150181,0.017,CSP9844
i,771.75,18.951,0.02,CSP9844
i,772.84,18.978,0.02,CSP9844
i,774.74,19.07,0.023,CSP9844
i,775.61,19.12,0.028,CSP9844
i,778.76,19.118,0.039,CSP9844
i,783.69,19.346,0.041,CSP9844
i,784.76,19.41,0.032,CSP9844
i,790.71,19.638,0.03,CSP9844
i,795.73,19.722,0.038,CSP9844
i,798.74,19.89,0.033,CSP9844
i,804.74,20.067,0.06,CSP9844
i,805.67,19.971,0.058,CSP9844
i,818.67,20.397,0.065,CSP9844
i,819.69,20.41,0.043,CSP9844
i,823.64,20.451,0.064,CSP9844
i,840.6,20.74,0.121,CSP9844
i,846.64,20.936,0.109,CSP9844
r,695.86,16.9815189979,0.009,CSP9844
r,702.83,15.8268075725,0.006,CSP9844
r,703.86,15.7921678437,0.006,CSP9844
r,706.84,15.7341046355,0.006,CSP9844
r,707.86,15.7325409376,0.006,CSP9844
r,712.84,16.0140594858,0.006,CSP9844
r,713.85,16.1199163848,0.006,CSP9844
r,716.86,16.3785369128,0.006,CSP9844
r,720.83,16.5097313898,0.01,CSP9844
r,721.84,16.501284167,0.009,CSP9844
r,728.85,16.7017477201,0.008,CSP9844
r,730.86,16.853758124,0.009,CSP9844
r,736.81,17.3279724128,0.009,CSP9844
r,738.85,17.4464805669,0.009,CSP9844
r,740.85,17.5386436114,0.009,CSP9844
r,741.82,17.6048596221,0.009,CSP9844
r,745.77,17.7867846399,0.01,CSP9844
r,748.77,17.8571337551,0.012,CSP9844
r,751.81,18.0022454576,0.014,CSP9844
r,752.8,18.0258297219,0.018,CSP9844
r,754.74,18.1400337235,0.014,CSP9844
r,761.77,18.354158848,0.01,CSP9844
r,762.78,18.4113429573,0.011,CSP9844
r,763.78,18.4337109959,0.012,CSP9844
r,764.79,18.4698291599,0.012,CSP9844
r,765.77,18.5049153074,0.011,CSP9844
r,771.75,18.634,0.011,CSP9844
r,772.84,18.655,0.012,CSP9844
r,774.74,18.71,0.014,CSP9844
r,775.61,18.727,0.017,CSP9844
r,778.76,18.863,0.031,CSP9844
r,783.69,18.998,0.023,CSP9844
r,784.76,19.037,0.02,CSP9844
r,790.71,19.278,0.016,CSP9844
r,795.73,19.451,0.02,CSP9844
r,798.74,19.535,0.019,CSP9844
r,804.74,19.777,0.041,CSP9844
r,805.67,19.793,0.045,CSP9844
r,818.67,20.165,0.029,CSP9844
r,819.69,20.207,0.031,CSP9844
r,823.64,20.276,0.035,CSP9844
r,831.62,20.525,0.055,CSP9844
r,840.6,20.792,0.091,CSP9844
r,846.64,20.852,0.055,CSP9844
r,858.54,21.129,0.073,CSP9844
B,695.86,17.0068045156,0.013,CSP9844
B,702.83,15.7570486827,0.008,CSP9844
B,703.86,15.7297606494,0.008,CSP9844
B,706.84,15.7263910247,0.007,CSP9844
B,707.86,15.7542111298,0.008,CSP9844
B,712.84,16.0473105215,0.007,CSP9844
B,716.86,16.4648189973,0.009,CSP9844
B,720.83,16.9820869282,0.012,CSP9844
B,721.84,17.1292964203,0.013,CSP9844
B,728.85,17.9338447872,0.016,CSP9844
B,730.86,18.1577062646,0.011,CSP9844
B,736.81,18.5154675853,0.011,CSP9844
B,738.85,18.587596797,0.015,CSP9844
B,740.85,18.6666007027,0.015,CSP9844
B,741.82,18.6829547221,0.014,CSP9844
B,745.77,18.8338870289,0.015,CSP9844
B,748.77,18.8827718117,0.031,CSP9844
B,751.81,18.8980493839,0.044,CSP9844
B,752.8,18.9875367759,0.052,CSP9844
B,761.77,19.0986223895,0.016,CSP9844
B,762.78,19.1732390909,0.018,CSP9844
B,763.78,19.1570451311,0.026,CSP9844
B,764.79,19.1738168057,0.019,CSP9844
B,765.77,19.1771833759,0.018,CSP9844
B,771.75,19.32,0.017,CSP9844
B,772.84,19.33,0.021,CSP9844
B,774.74,19.356,0.019,CSP9844
B,775.61,19.341,0.026,CSP9844
B,778.76,19.444,0.053,CSP9844
B,783.69,19.514,0.046,CSP9844
B,784.76,19.481,0.038,CSP9844
B,795.73,19.73,0.024,CSP9844
B,798.74,19.783,0.025,CSP9844
B,804.74,19.841,0.048,CSP9844
B,805.67,19.757,0.051,CSP9844
B,818.67,20.135,0.033,CSP9844
B,819.69,20.176,0.03,CSP9844
B,823.64,20.256,0.032,CSP9844
B,831.62,20.282,0.052,CSP9844
B,838.64,20.398,0.175,CSP9844
B,840.6,20.51,0.121,CSP9844
B,846.64,20.573,0.045,CSP9844
B,858.54,20.851,0.056,CSP9844
B,861.5,20.89,0.127,CSP9844
V,761.77,18.3932645901,0.014,CSP9844
V,762.78,18.4126788431,0.012,CSP9844
V,763.78,18.4398257067,0.02,CSP9844
V,764.79,18.4516779073,0.015,CSP9844
V,765.77,18.4966628155,0.014,CSP9844
V,771.75,18.689,0.014,CSP9844
V,772.84,18.73,0.016,CSP9844
V,774.74,18.785,0.016,CSP9844
V,775.61,18.788,0.019,CSP9844
V,778.76,18.814,0.034,CSP9844
V,783.69,18.978,0.03,CSP9844
V,784.76,18.986,0.02,CSP9844
V,795.73,19.294,0.02,CSP9844
V,798.74,19.367,0.024,CSP9844
V,804.74,19.537,0.034,CSP9844
V,805.67,19.502,0.044,CSP9844
V,818.67,19.82,0.026,CSP9844
V,819.69,19.864,0.026,CSP9844
V,823.64,19.906,0.031,CSP9844
V,831.62,20.087,0.045,CSP9844
V,838.64,20.053,0.124,CSP9844
V,840.6,20.143,0.083,CSP9844
V,846.64,20.295,0.041,CSP9844
V,858.54,20.525,0.057,CSP9844
V,861.5,20.531,0.092,CSP9844
