Filter,MJD,Mag,Sigma,Code
V,720.63,17.2680649817,0.013,CSP3014
V,721.61,17.3188104277,0.011,CSP3014
V,726.66,17.595812287,0.013,CSP3014
V,728.67,17.6871659964,0.02,CSP3014
V,737.63,18.0768825026,0.022,CSP3014
V,738.63,18.1208142217,0.019,CSP3014
V,745.58,18.5641380971,0.028,CSP3014
V,748.63,18.7050669559,0.029,CSP3014
i,720.63,18.0273909153,0.022,CSP9844
i,721.61,18.0590735423,0.016,CSP9844
i,726.66,18.4024082987,0.017,CSP9844
i,728.67,18.4462884068,0.019,CSP9844
i,737.63,18.2316899193,0.018,CSP9844
i,738.63,18.2201075593,0.016,CSP9844
i,745.58,18.2228344262,0.017,CSP9844
i,748.63,18.4143306123,0.018,CSP9844
i,752.63,18.6661286446,0.019,CSP9844
i,761.61,19.1127517565,0.02,CSP9844
i,763.54,19.2003634356,0.022,CSP9844
i,765.54,19.2576960442,0.022,CSP9844
i,771.54,19.5113305743,0.039,CSP9844
i,774.54,19.5875290358,0.052,CSP9844
i,783.53,20.0465482556,0.059,CSP9844
i,788.54,20.1078909395,0.042,CSP9844
i,799.52,20.454,0.104,CSP9844
r,720.63,17.2931353137,0.012,CSP9844
r,721.61,17.3701619054,0.014,CSP9844
r,726.66,17.6625950064,0.012,CSP9844
r,728.67,17.7095334794,0.016,CSP9844
r,737.63,17.8511363285,0.016,CSP9844
r,738.63,17.8493933923,0.013,CSP9844
r,745.58,18.1122545459,0.014,CSP9844
r,748.63,18.3447433838,0.016,CSP9844
r,752.63,18.6174091541,0.016,CSP9844
r,761.61,18.9540569954,0.015,CSP9844
r,763.54,19.0068738053,0.018,CSP9844
r,765.54,19.1120585209,0.028,CSP9844
r,771.54,19.3287134879,0.024,CSP9844
r,774.54,19.4030197155,0.025,CSP9844
r,783.53,19.8322133766,0.053,CSP9844
r,788.54,19.823530713,0.036,CSP9844
r,799.52,20.25,0.093,CSP9844
B,720.63,17.7298140713,0.015,CSP9844
B,721.61,17.7912280155,0.014,CSP9844
B,726.66,18.2317871879,0.017,CSP9844
B,728.67,18.3800488392,0.02,CSP9844
B,737.63,19.2349713184,0.035,CSP9844
B,738.63,19.3083048755,0.028,CSP9844
B,745.58,19.9087511408,0.059,CSP9844
B,748.63,20.0325960395,0.091,CSP9844
B,752.63,20.0774991159,0.057,CSP9844
B,761.61,20.3246234677,0.041,CSP9844
B,763.54,20.4428312699,0.051,CSP9844
B,765.54,20.4493654644,0.045,CSP9844
B,771.54,20.4732866976,0.072,CSP9844
B,774.54,20.6168196747,0.125,CSP9844
B,783.53,20.5806457361,0.069,CSP9844
B,788.54,20.7641669433,0.055,CSP9844
B,799.52,20.987,0.095,CSP9844
V,761.61,19.2327532985,0.023,CSP9844
V,763.54,19.2925711877,0.031,CSP9844
V,765.54,19.404977223,0.034,CSP9844
V,771.54,19.5870616936,0.038,CSP9844
V,774.54,19.661730232,0.047,CSP9844
V,783.53,19.9207157893,0.058,CSP9844
V,788.54,19.9894892901,0.044,CSP9844
V,799.52,20.32,0.063,CSP9844
