Filter,MJD,Mag,Sigma,Code
V,736.79,17.0491484935,0.009,CSP3014
V,737.77,17.067135208,0.01,CSP3014
V,738.75,17.0975825215,0.009,CSP3014
V,740.79,17.1885543181,0.009,CSP3014
V,741.72,17.2208888666,0.009,CSP3014
V,746.75,17.6367889854,0.011,CSP3014
V,747.76,17.7418746572,0.015,CSP3014
i,736.79,17.4344056289,0.009,CSP9844
i,737.77,17.4744723834,0.016,CSP9844
i,738.75,17.48784292,0.011,CSP9844
i,740.79,17.6661246514,0.014,CSP9844
i,741.72,17.6894803058,0.012,CSP9844
i,746.75,17.7922578952,0.012,CSP9844
i,747.76,17.7282096601,0.02,CSP9844
i,752.76,17.7723331446,0.013,CSP9844
i,755.73,17.9028585316,0.012,CSP9844
i,760.67,18.4354137901,0.02,CSP9844
i,762.69,18.5566554468,0.019,CSP9844
i,763.64,18.584304806,0.023,CSP9844
i,765.64,18.7191469072,0.02,CSP9844
i,771.63,19.0080638221,0.019,CSP9844
r,736.79,16.976330348,0.008,CSP9844
r,737.77,16.9363001022,0.02,CSP9844
r,738.75,17.0193683117,0.009,CSP9844
r,740.79,17.0967691829,0.013,CSP9844
r,741.72,17.1858408297,0.008,CSP9844
r,746.75,17.4432835776,0.011,CSP9844
r,747.76,17.5207388942,0.012,CSP9844
r,752.76,17.7125862501,0.013,CSP9844
r,755.73,17.9995458065,0.012,CSP9844
r,760.67,18.4431367729,0.015,CSP9844
r,762.69,18.5680057232,0.019,CSP9844
r,763.64,18.5387855216,0.033,CSP9844
r,764.69,18.6002012206,0.026,CSP9844
r,765.64,18.6879783718,0.025,CSP9844
r,768.68,18.8023568884,0.017,CSP9844
r,771.63,18.9168671858,0.025,CSP9844
r,773.62,19.056186092,0.018,CSP9844
B,736.79,17.4550393386,0.01,CSP9844
B,737.77,17.5277731561,0.011,CSP9844
B,738.75,17.6160909949,0.011,CSP9844
B,740.79,17.8367417203,0.011,CSP9844
B,746.75,18.7112760528,0.025,CSP9844
B,747.76,18.8059463786,0.042,CSP9844
B,752.76,19.4444470342,0.072,CSP9844
B,755.73,19.7099151316,0.056,CSP9844
B,760.67,20.0351576265,0.048,CSP9844
B,762.69,20.1382848617,0.048,CSP9844
B,763.64,20.0827431606,0.055,CSP9844
B,764.69,20.1372342982,0.049,CSP9844
B,765.64,20.1606531577,0.045,CSP9844
B,768.68,20.1694016665,0.038,CSP9844
B,771.63,20.3851559439,0.037,CSP9844
V,760.67,18.8529980982,0.022,CSP9844
V,762.69,18.8978829879,0.022,CSP9844
V,763.64,18.9965995943,0.026,CSP9844
V,764.69,19.0012094397,0.025,CSP9844
V,765.64,19.0611137147,0.024,CSP9844
V,768.68,19.0633504235,0.025,CSP9844
V,771.63,19.2409332305,0.02,CSP9844
V,773.62,19.286382133,0.031,CSP9844
