Filter,MJD,Mag,Sigma,Code
V,738.71,16.2809691737,0.007,CSP3014
V,740.77,16.2443333609,0.01,CSP3014
V,741.7,16.2448244688,0.006,CSP3014
V,745.65,16.3059190197,0.008,CSP3014
V,748.71,16.4074999137,0.008,CSP3014
i,738.71,16.8304118169,0.008,CSP9844
i,740.77,16.8824567027,0.013,CSP9844
i,741.7,16.8996238986,0.008,CSP9844
i,745.65,17.0276527147,0.012,CSP9844
i,748.71,17.2002028732,0.012,CSP9844
i,751.7,17.4750847522,0.011,CSP9844
i,754.68,17.6561498757,0.011,CSP9844
i,755.67,17.6601138321,0.012,CSP9844
i,760.64,17.5389021795,0.011,CSP9844
i,762.66,17.4463674249,0.012,CSP9844
i,763.62,17.4339699858,0.011,CSP9844
i,764.66,17.411818822,0.013,CSP9844
i,765.62,17.3692249503,0.013,CSP9844
i,767.64,17.3574558229,0.01,CSP9844
i,771.6,17.423102302,0.013,CSP9844
i,772.63,17.4794629209,0.012,CSP9844
i,774.63,17.6531664551,0.013,CSP9844
i,781.63,18.0675501672,0.035,CSP9844
i,784.61,18.225276126,0.017,CSP9844
i,785.62,18.2826323667,0.014,CSP9844
i,786.6,18.2989000236,0.015,CSP9844
i,788.59,18.3875780132,0.017,CSP9844
i,795.6,18.6727790755,0.017,CSP9844
i,798.62,18.7203948257,0.021,CSP9844
i,805.54,18.9094983348,0.028,CSP9844
i,818.53,19.458,0.035,CSP9844
i,834.54,19.815,0.05,CSP9844
r,738.71,16.3469251804,0.008,CSP9844
r,740.77,16.3135293964,0.01,CSP9844
r,741.7,16.2840331859,0.006,CSP9844
r,745.65,16.3463512773,0.009,CSP9844
r,748.71,16.4956629961,0.007,CSP9844
r,751.7,16.7143181085,0.008,CSP9844
r,754.68,16.9260759463,0.009,CSP9844
r,755.67,16.9772849311,0.006,CSP9844
r,760.64,17.0814101796,0.009,CSP9844
r,762.66,17.1019111824,0.01,CSP9844
r,763.62,17.1111774458,0.011,CSP9844
r,764.66,17.1344691488,0.01,CSP9844
r,765.62,17.1708066852,0.014,CSP9844
r,767.64,17.2032792038,0.008,CSP9844
r,771.6,17.4216688154,0.008,CSP9844
r,772.63,17.5056078969,0.012,CSP9844
r,774.63,17.6417252689,0.01,CSP9844
r,781.63,17.9603664156,0.016,CSP9844
r,784.61,18.1025065544,0.013,CSP9844
r,785.62,18.1228776344,0.015,CSP9844
r,786.6,18.1322662539,0.015,CSP9844
r,788.59,18.2589194859,0.015,CSP9844
r,795.6,18.414463175,0.019,CSP9844
r,798.62,18.589831277,0.019,CSP9844
r,805.54,18.7958828203,0.017,CSP9844
r,818.53,19.075,0.018,CSP9844
r,834.54,19.482,0.034,CSP9844
B,738.71,16.2872754304,0.006,CSP9844
B,740.77,16.2797243964,0.009,CSP9844
B,741.7,16.2861151436,0.006,CSP9844
B,745.65,16.4254266491,0.007,CSP9844
B,748.71,16.5991940232,0.009,CSP9844
B,751.7,16.8226242112,0.008,CSP9844
B,754.68,17.1555599231,0.008,CSP9844
B,755.67,17.236647644,0.009,CSP9844
B,760.64,17.8615615848,0.014,CSP9844
B,762.66,18.0991675418,0.017,CSP9844
B,763.62,18.1978067053,0.016,CSP9844
B,764.66,18.2950042709,0.021,CSP9844
B,765.62,18.4170577463,0.021,CSP9844
B,767.64,18.5607325465,0.021,CSP9844
B,771.6,18.8862217806,0.023,CSP9844
B,772.63,18.9743833323,0.059,CSP9844
B,774.63,19.0489572436,0.038,CSP9844
B,781.63,19.3297616122,0.052,CSP9844
B,784.61,19.302044647,0.032,CSP9844
B,785.62,19.385830658,0.03,CSP9844
B,786.6,19.453237559,0.029,CSP9844
B,788.59,19.4895172945,0.049,CSP9844
B,795.6,19.4760549036,0.033,CSP9844
B,805.54,19.6938632541,0.046,CSP9844
B,818.53,19.969,0.049,CSP9844
B,834.54,20.21,0.067,CSP9844
V,760.64,17.1179568072,0.01,CSP9844
V,762.66,17.237508259,0.011,CSP9844
V,763.62,17.28788136,0.012,CSP9844
V,764.66,17.3552027309,0.012,CSP9844
V,765.62,17.4083005057,0.013,CSP9844
V,767.64,17.5422083442,0.01,CSP9844
V,771.6,17.7898036538,0.012,CSP9844
V,772.63,17.8366458458,0.014,CSP9844
V,774.63,17.9474501872,0.017,CSP9844
V,781.63,18.1974234746,0.028,CSP9844
V,784.61,18.280489441,0.017,CSP9844
V,785.62,18.390868873,0.014,CSP9844
V,786.6,18.3816728991,0.019,CSP9844
V,788.59,18.4441473062,0.018,CSP9844
V,795.6,18.6333382973,0.019,CSP9844
V,798.62,18.7411430686,0.021,CSP9844
V,805.54,18.8283515577,0.024,CSP9844
V,818.53,19.254,0.02,CSP9844
V,834.54,19.58,0.038,CSP9844
