Filter,MJD,Mag,Sigma,Code
i,775.68,14.9405309945,0.006,CSP9844
i,778.86,14.1874622463,0.007,CSP9844
i,783.72,13.8475748477,0.006,CSP9844
i,784.83,13.837177061,0.008,CSP9844
i,785.81,13.8634380188,0.008,CSP9844
i,786.84,13.893527728,0.006,CSP9844
i,788.85,13.9324608155,0.008,CSP9844
i,790.8,13.9865565629,0.005,CSP9844
i,795.78,14.3366005898,0.006,CSP9844
i,798.8,14.514957173,0.007,CSP9844
i,799.8,14.5192280188,0.006,CSP9844
i,802.79,14.4525918857,0.008,CSP9844
i,804.78,14.3656371958,0.006,CSP9844
i,805.74,14.3389820556,0.008,CSP9844
i,809.74,14.2259653482,0.007,CSP9844
i,815.72,14.3236215208,0.008,CSP9844
i,818.79,14.5609746105,0.006,CSP9844
i,819.77,14.6354342216,0.012,CSP9844
i,824.75,14.9358474497,0.006,CSP9844
i,831.71,15.2559282139,0.012,CSP9844
i,832.78,15.2906647579,0.007,CSP9844
i,835.67,15.4012221891,0.007,CSP9844
i,838.7,15.5101269273,0.006,CSP9844
i,841.74,15.6339051389,0.006,CSP9844
i,845.66,15.7437185916,0.006,CSP9844
i,850.67,15.9544615285,0.009,CSP9844
i,853.67,16.0618311856,0.009,CSP9844
i,858.6,16.2452971918,0.007,CSP9844
i,862.67,16.352,0.007,CSP9844
i,866.62,16.49,0.008,CSP9844
i,870.64,16.625,0.007,CSP9844
i,872.63,16.671,0.01,CSP9844
i,890.59,17.203,0.009,CSP9844
i,891.59,17.251,0.009,CSP9844
r,775.68,14.8098995776,0.004,CSP9844
r,778.86,14.1823402623,0.007,CSP9844
r,783.72,13.7784819665,0.006,CSP9844
r,785.81,13.6983618084,0.007,CSP9844
r,786.84,13.6728327868,0.007,CSP9844
r,788.85,13.6431460738,0.007,CSP9844
r,790.8,13.687394863,0.007,CSP9844
r,795.78,13.9813766908,0.006,CSP9844
r,798.8,14.1868742589,0.008,CSP9844
r,799.8,14.2135958174,0.006,CSP9844
r,802.79,14.2824312623,0.008,CSP9844
r,804.78,14.2940013623,0.006,CSP9844
r,805.74,14.3060589525,0.008,CSP9844
r,809.74,14.3349801964,0.007,CSP9844
r,815.72,14.6450840923,0.007,CSP9844
r,818.79,14.904922489,0.007,CSP9844
r,819.77,14.9731492179,0.009,CSP9844
r,824.75,15.2300796852,0.005,CSP9844
r,831.71,15.50181893,0.01,CSP9844
r,832.78,15.531886767,0.006,CSP9844
r,835.67,15.6398870474,0.007,CSP9844
r,838.7,15.7498693311,0.006,CSP9844
r,841.74,15.8441335778,0.006,CSP9844
r,845.66,15.9563623074,0.006,CSP9844
r,850.67,16.1328100008,0.008,CSP9844
r,853.67,16.2247131103,0.008,CSP9844
r,858.6,16.398944815,0.008,CSP9844
r,862.67,16.504,0.007,CSP9844
r,866.62,16.624,0.009,CSP9844
r,870.64,16.751,0.007,CSP9844
r,872.63,16.814,0.009,CSP9844
r,890.59,17.371,0.008,CSP9844
r,891.59,17.401,0.008,CSP9844
B,775.68,16.7076164489,0.007,CSP9844
B,778.86,15.8904253721,0.008,CSP9844
B,780.87,15.5835932816,0.009,CSP9844
B,783.72,15.3897755404,0.007,CSP9844
B,784.83,15.3565109689,0.007,CSP9844
B,785.81,15.3470533914,0.007,CSP9844
B,786.84,15.3449624825,0.007,CSP9844
B,788.85,15.4018031855,0.007,CSP9844
B,790.8,15.4906777779,0.007,CSP9844
B,795.78,15.8754253156,0.006,CSP9844
B,798.8,16.1971055715,0.007,CSP9844
B,799.8,16.28829245,0.007,CSP9844
B,802.79,16.6060118298,0.009,CSP9844
B,804.78,16.8006559144,0.009,CSP9844
B,805.74,16.8821695047,0.011,CSP9844
B,809.74,17.1962680298,0.023,CSP9844
B,815.72,17.6811108218,0.014,CSP9844
B,818.79,17.8547916363,0.016,CSP9844
B,824.75,18.0780728196,0.013,CSP9844
B,831.71,18.1484809224,0.014,CSP9844
B,832.78,18.1791054439,0.013,CSP9844
B,835.67,18.2070293475,0.016,CSP9844
B,838.7,18.2408599128,0.042,CSP9844
B,841.74,18.2967300475,0.022,CSP9844
B,845.66,18.2478850727,0.013,CSP9844
B,850.67,18.3409102013,0.014,CSP9844
B,853.67,18.3929715436,0.013,CSP9844
B,858.6,18.4890680644,0.027,CSP9844
B,862.67,18.514,0.021,CSP9844
B,866.62,18.497,0.023,CSP9844
B,870.64,18.569,0.033,CSP9844
B,872.63,18.606,0.018,CSP9844
B,890.59,18.904,0.024,CSP9844
B,891.59,18.86,0.025,CSP9844
B,906.46,19.137,0.021,CSP9844
V,775.68,15.4973728932,0.005,CSP9844
V,778.86,14.7794760993,0.007,CSP9844
V,780.87,14.500907664,0.006,CSP9844
V,783.72,14.2496798848,0.006,CSP9844
V,784.83,14.1944391681,0.006,CSP9844
V,785.81,14.1605541484,0.009,CSP9844
V,786.84,14.1219684161,0.006,CSP9844
V,788.85,14.0955519042,0.007,CSP9844
V,790.8,14.1053065593,0.006,CSP9844
V,795.78,14.3143376484,0.004,CSP9844
V,798.8,14.5363166714,0.006,CSP9844
V,799.8,14.5946875503,0.004,CSP9844
V,802.79,14.763552983,0.006,CSP9844
V,804.78,14.8460762014,0.005,CSP9844
V,805.74,14.8992409641,0.007,CSP9844
V,809.74,15.0738028537,0.007,CSP9844
V,815.72,15.4650102888,0.008,CSP9844
V,818.79,15.6960304215,0.008,CSP9844
V,819.77,15.7542237257,0.008,CSP9844
V,824.75,15.959757173,0.006,CSP9844
V,831.71,16.1845273071,0.01,CSP9844
V,832.78,16.2084278562,0.008,CSP9844
V,835.67,16.2972915165,0.007,CSP9844
V,838.7,16.3829578737,0.009,CSP9844
V,841.74,16.4743567889,0.009,CSP9844
V,845.66,16.5306190443,0.007,CSP9844
V,850.67,16.6802577929,0.007,CSP9844
V,853.67,16.7661177178,0.007,CSP9844
V,858.6,16.9215965053,0.009,CSP9844
V,862.67,17.033,0.01,CSP9844
V,866.62,17.116,0.01,CSP9844
V,870.64,17.223,0.009,CSP9844
V,872.63,17.264,0.011,CSP9844
V,890.59,17.661,0.01,CSP9844
V,891.59,17.698,0.011,CSP9844
V,906.46,18.031,0.013,CSP9844
