Filter,MJD,Mag,Sigma,Code
i,815.64,17.1231550623,0.011,CSP9844
i,818.7,16.2865427159,0.011,CSP9844
i,819.73,16.1221409812,0.01,CSP9844
i,823.67,15.8314071501,0.008,CSP9844
i,824.67,15.8266869393,0.008,CSP9844
i,831.65,16.0762286755,0.01,CSP9844
i,832.65,16.1145070734,0.008,CSP9844
i,834.74,16.2332307563,0.009,CSP9844
i,835.59,16.3017191992,0.006,CSP9844
i,838.67,16.5786803818,0.008,CSP9844
i,840.63,16.7028209817,0.009,CSP9844
i,841.69,16.7441948217,0.008,CSP9844
i,845.57,16.7107060861,0.007,CSP9844
i,850.63,16.5796347256,0.007,CSP9844
i,858.57,16.5260317196,0.008,CSP9844
i,861.57,16.6684668427,0.007,CSP9844
i,866.56,17.0091570217,0.012,CSP9844
i,867.63,17.0568632039,0.011,CSP9844
i,870.58,17.2247629029,0.008,CSP9844
i,871.54,17.272357164,0.009,CSP9844
i,872.54,17.3144760767,0.013,CSP9844
i,890.56,18.060084278,0.012,CSP9844
i,891.5,18.0614636864,0.014,CSP9844
r,815.64,16.8335142576,0.01,CSP9844
r,818.7,16.01823002,0.009,CSP9844
r,819.73,15.8458423311,0.01,CSP9844
r,823.67,15.4570496465,0.007,CSP9844
r,824.67,15.383104401,0.009,CSP9844
r,832.65,15.3946597158,0.007,CSP9844
r,834.74,15.4900767577,0.008,CSP9844
r,835.59,15.5385727953,0.006,CSP9844
r,838.67,15.7760733172,0.006,CSP9844
r,840.63,15.9143589646,0.006,CSP9844
r,841.69,15.960275295,0.006,CSP9844
r,845.57,16.086214775,0.006,CSP9844
r,850.63,16.1329325724,0.006,CSP9844
r,858.57,16.4027117433,0.008,CSP9844
r,861.57,16.5757750773,0.007,CSP9844
r,866.56,16.8897313948,0.009,CSP9844
r,867.63,16.9470075507,0.009,CSP9844
r,870.58,17.0881434201,0.007,CSP9844
r,871.54,17.1141327366,0.008,CSP9844
r,872.54,17.1495493042,0.011,CSP9844
r,890.56,17.7957457621,0.009,CSP9844
r,891.5,17.8229882243,0.01,CSP9844
B,815.64,16.7689762367,0.009,CSP9844
B,816.77,16.3972587539,0.008,CSP9844
B,818.7,15.9127589772,0.009,CSP9844
B,819.73,15.7251133905,0.009,CSP9844
B,821.6,15.4596543705,0.009,CSP9844
B,823.67,15.3095341971,0.007,CSP9844
B,824.67,15.2425453303,0.007,CSP9844
B,831.65,15.3019663077,0.009,CSP9844
B,832.65,15.3486696004,0.007,CSP9844
B,834.74,15.4845523371,0.007,CSP9844
B,835.59,15.5459652567,0.008,CSP9844
B,838.67,15.8058889764,0.008,CSP9844
B,840.63,15.9796433381,0.009,CSP9844
B,841.69,16.1044423773,0.007,CSP9844
B,845.57,16.5055131285,0.008,CSP9844
B,850.63,17.0383387459,0.006,CSP9844
B,858.57,17.6708391196,0.009,CSP9844
B,861.57,17.8106043513,0.012,CSP9844
B,866.56,18.0268039555,0.015,CSP9844
B,867.63,18.0947817189,0.02,CSP9844
B,870.58,18.164820823,0.014,CSP9844
B,871.54,18.1907577896,0.013,CSP9844
B,872.54,18.2178652201,0.013,CSP9844
B,890.56,18.5140409051,0.016,CSP9844
B,891.5,18.5680766949,0.02,CSP9844
V,815.64,16.7516048178,0.009,CSP9844
V,816.77,16.4350510344,0.007,CSP9844
V,818.7,15.9741493757,0.009,CSP9844
V,819.73,15.7900123615,0.01,CSP9844
V,821.6,15.5473615171,0.008,CSP9844
V,823.67,15.3672578879,0.007,CSP9844
V,824.67,15.2929292687,0.006,CSP9844
V,831.65,15.2564168703,0.009,CSP9844
V,832.65,15.2892892777,0.006,CSP9844
V,834.74,15.3583606529,0.006,CSP9844
V,835.59,15.3943251165,0.006,CSP9844
V,838.67,15.5644011479,0.006,CSP9844
V,840.63,15.6796132014,0.007,CSP9844
V,841.69,15.7315977973,0.006,CSP9844
V,845.57,15.945462212,0.006,CSP9844
V,850.63,16.2224487416,0.006,CSP9844
V,858.57,16.6706016949,0.008,CSP9844
V,861.57,16.8318385499,0.008,CSP9844
V,866.56,17.0834562875,0.009,CSP9844
V,867.63,17.1324764676,0.011,CSP9844
V,870.58,17.2357208069,0.01,CSP9844
V,871.54,17.2683358869,0.009,CSP9844
V,872.54,17.2972465442,0.012,CSP9844
V,890.56,17.8041439561,0.01,CSP9844
V,891.5,17.8283528166,0.012,CSP9844
