Filter,MJD,Mag,Sigma,Code
i,823.7,18.3198103093,0.016,CSP9844
i,831.67,18.1801643843,0.016,CSP9844
i,833.69,18.2837480435,0.014,CSP9844
i,834.67,18.3129422418,0.016,CSP9844
i,841.65,18.8613700393,0.024,CSP9844
i,845.62,19.1737385123,0.028,CSP9844
i,866.59,20.3524751549,0.081,CSP9844
i,872.57,20.4649416859,0.079,CSP9844
r,823.7,18.1303676368,0.011,CSP9844
r,831.67,18.0332174694,0.011,CSP9844
r,833.69,18.224810124,0.012,CSP9844
r,834.67,18.3130273346,0.015,CSP9844
r,841.65,18.9956275066,0.025,CSP9844
r,845.62,19.2716848859,0.021,CSP9844
r,866.59,20.3905366497,0.077,CSP9844
r,872.57,20.5730483707,0.057,CSP9844
B,823.7,18.947237069,0.02,CSP9844
B,831.67,19.7728030465,0.031,CSP9844
B,834.67,20.3484388925,0.111,CSP9844
B,845.62,20.848596172,0.047,CSP9844
B,872.57,21.532004053,0.145,CSP9844
V,823.7,18.1825279978,0.012,CSP9844
V,831.67,18.4067195641,0.015,CSP9844
V,833.69,18.6253864723,0.023,CSP9844
V,834.67,18.7231375728,0.025,CSP9844
V,841.65,19.338707735,0.053,CSP9844
V,845.62,19.7296544851,0.039,CSP9844
V,866.59,20.3018257706,0.103,CSP9844
V,872.57,20.4574372119,0.078,CSP9844
