Filter,MJD,Mag,Sigma,Code
i,981.84,15.0470337121,0.01,CSP9844
i,986.84,15.2424941722,0.007,CSP9844
i,994.85,15.502,0.008,CSP9844
i,998.86,15.646,0.009,CSP9844
i,1001.9,15.741,0.016,CSP9844
i,1014.82,16.169,0.013,CSP9844
i,1017.83,16.274,0.012,CSP9844
i,1046.68,17.034,0.013,CSP9844
i,1048.82,17.098,0.015,CSP9844
i,1049.78,17.104,0.021,CSP9844
i,1052.75,17.172,0.026,CSP9844
i,1056.74,17.295,0.022,CSP9844
i,1060.77,17.372,0.032,CSP9844
i,1065.76,17.445,0.028,CSP9844
i,1066.83,17.501,0.025,CSP9844
i,1068.76,17.51,0.028,CSP9844
i,1071.67,17.591,0.032,CSP9844
i,1073.73,17.615,0.027,CSP9844
i,1076.72,17.666,0.027,CSP9844
i,1080.77,17.696,0.032,CSP9844
i,1084.68,17.794,0.022,CSP9844
i,1087.63,17.837,0.031,CSP9844
i,1092.68,17.938,0.031,CSP9844
i,1096.66,17.982,0.029,CSP9844
i,1099.63,18.083,0.029,CSP9844
i,1100.66,18.074,0.029,CSP9844
i,1104.72,18.066,0.034,CSP9844
i,1106.65,18.136,0.033,CSP9844
i,1108.65,18.17,0.04,CSP9844
i,1110.61,18.132,0.045,CSP9844
i,1118.67,18.301,0.053,CSP9844
i,1123.63,18.471,0.051,CSP9844
i,1130.57,18.492,0.042,CSP9844
i,1133.6,18.499,0.04,CSP9844
i,1136.63,18.512,0.05,CSP9844
i,1143.56,18.663,0.05,CSP9844
i,1147.57,18.742,0.064,CSP9844
r,979.93,14.829435719,0.005,CSP9844
r,986.84,15.0474751467,0.004,CSP9844
r,994.85,15.258,0.006,CSP9844
r,998.86,15.392,0.007,CSP9844
r,1001.9,15.479,0.012,CSP9844
r,1014.82,15.907,0.015,CSP9844
r,1017.83,16.008,0.009,CSP9844
r,1046.68,16.859,0.009,CSP9844
r,1048.82,16.906,0.01,CSP9844
r,1049.78,16.93,0.016,CSP9844
r,1052.75,17.014,0.025,CSP9844
r,1056.74,17.122,0.018,CSP9844
r,1060.77,17.242,0.023,CSP9844
r,1065.76,17.365,0.019,CSP9844
r,1066.83,17.359,0.02,CSP9844
r,1068.76,17.441,0.022,CSP9844
r,1071.67,17.54,0.018,CSP9844
r,1073.73,17.576,0.016,CSP9844
r,1076.72,17.654,0.018,CSP9844
r,1080.77,17.708,0.023,CSP9844
r,1084.68,17.81,0.023,CSP9844
r,1087.63,17.887,0.028,CSP9844
r,1092.68,17.981,0.031,CSP9844
r,1096.66,18.084,0.023,CSP9844
r,1099.63,18.169,0.02,CSP9844
r,1100.66,18.192,0.022,CSP9844
r,1104.72,18.234,0.024,CSP9844
r,1106.65,18.325,0.024,CSP9844
r,1108.65,18.364,0.032,CSP9844
r,1110.61,18.387,0.049,CSP9844
r,1118.67,18.534,0.038,CSP9844
r,1123.63,18.736,0.04,CSP9844
r,1127.69,18.736,0.045,CSP9844
r,1130.57,18.92,0.041,CSP9844
r,1133.6,18.866,0.037,CSP9844
r,1136.63,18.969,0.045,CSP9844
r,1143.56,19.075,0.05,CSP9844
r,1147.57,19.095,0.055,CSP9844
B,981.84,15.6862932129,0.009,CSP9844
B,986.84,15.7885394784,0.007,CSP9844
B,994.85,15.897,0.006,CSP9844
B,998.86,15.967,0.008,CSP9844
B,1001.9,16.026,0.008,CSP9844
B,1007.9,16.12,0.011,CSP9844
B,1014.82,16.212,0.008,CSP9844
B,1017.83,16.281,0.011,CSP9844
B,1046.68,16.743,0.009,CSP9844
B,1048.82,16.76,0.009,CSP9844
B,1049.78,16.779,0.014,CSP9844
B,1052.75,16.822,0.014,CSP9844
B,1056.74,16.907,0.011,CSP9844
B,1060.77,16.95,0.015,CSP9844
B,1065.76,17.033,0.015,CSP9844
B,1066.83,17.044,0.014,CSP9844
B,1068.76,17.076,0.015,CSP9844
B,1071.67,17.164,0.013,CSP9844
B,1073.73,17.172,0.012,CSP9844
B,1076.72,17.227,0.012,CSP9844
B,1080.77,17.288,0.011,CSP9844
B,1084.68,17.352,0.011,CSP9844
B,1087.63,17.402,0.012,CSP9844
B,1092.68,17.488,0.013,CSP9844
B,1096.66,17.536,0.011,CSP9844
B,1099.63,17.571,0.01,CSP9844
B,1100.66,17.613,0.011,CSP9844
