Filter,MJD,Mag,Sigma,Code
i,986.68,17.1609167272,0.011,CSP9844
i,1001.6,17.0547222312,0.013,CSP9844
i,1008.6,17.6145981571,0.01,CSP9844
i,1012.59,17.8557727587,0.016,CSP9844
i,1017.74,18.0674952233,0.036,CSP9844
i,1018.7,18.1761596987,0.013,CSP9844
r,986.68,16.3541877871,0.009,CSP9844
r,1008.6,17.456826099,0.01,CSP9844
r,1012.59,17.6504915917,0.012,CSP9844
r,1017.74,17.8634764292,0.024,CSP9844
r,1018.7,17.9298129819,0.01,CSP9844
B,981.71,16.0906882278,0.008,CSP9844
B,986.68,16.5630719075,0.011,CSP9844
B,998.66,17.9979838075,0.013,CSP9844
B,1001.6,18.2695312168,0.014,CSP9844
B,1003.61,18.4437968294,0.016,CSP9844
B,1008.6,18.7530855293,0.019,CSP9844
B,1012.59,18.8807208119,0.044,CSP9844
B,1017.74,18.982546644,0.054,CSP9844
B,1018.7,19.1032261156,0.034,CSP9844
B,1025.64,19.1034434517,0.019,CSP9844
B,1040.61,19.3701806244,0.037,CSP9844
B,1046.74,19.544,0.083,CSP9844
V,979.74,15.8394327818,0.008,CSP9844
V,981.71,15.9052652617,0.01,CSP9844
V,986.68,16.1852806587,0.011,CSP9844
V,998.66,16.9715468624,0.009,CSP9844
V,1001.6,17.2136952863,0.012,CSP9844
V,1003.61,17.3966972498,0.01,CSP9844
V,1008.6,17.722764576,0.012,CSP9844
V,1012.59,17.8720253731,0.016,CSP9844
V,1017.74,18.0929071094,0.029,CSP9844
V,1018.7,18.0892436483,0.015,CSP9844
V,1025.64,18.3168214599,0.014,CSP9844
V,1040.61,18.7010933108,0.021,CSP9844
V,1046.74,18.869,0.039,CSP9844
