Filter,MJD,Mag,Sigma,Code
i,986.71,16.6128011513,0.009,CSP9844
i,988.58,16.4325435303,0.007,CSP9844
i,991.67,16.3814076915,0.007,CSP9844
i,994.74,16.4582899529,0.007,CSP9844
i,998.69,16.5753847704,0.006,CSP9844
i,1001.63,16.6794489732,0.01,CSP9844
i,1003.65,16.804033242,0.008,CSP9844
i,1007.68,17.0617427559,0.01,CSP9844
i,1012.54,17.095142396,0.009,CSP9844
i,1013.62,17.0809742021,0.01,CSP9844
i,1017.78,16.973653318,0.015,CSP9844
i,1025.67,16.9436561477,0.008,CSP9844
i,1029.7,17.1366539191,0.009,CSP9844
i,1033.7,17.3927212908,0.012,CSP9844
i,1039.68,17.722361064,0.015,CSP9844
i,1044.63,17.7481140917,0.022,CSP9844
i,1046.58,17.9896038284,0.013,CSP9844
i,1052.61,18.208952531,0.017,CSP9844
i,1060.55,18.54288112,0.021,CSP9844
i,1066.62,18.6833436184,0.017,CSP9844
i,1076.56,19.015,0.022,CSP9844
i,1091.56,19.444,0.036,CSP9844
r,983.64,16.8915586067,0.015,CSP9844
r,986.71,16.3522598014,0.009,CSP9844
r,988.58,16.1477309386,0.006,CSP9844
r,991.67,15.964798473,0.006,CSP9844
r,994.74,15.8807985686,0.008,CSP9844
r,998.69,15.8980114745,0.006,CSP9844
r,1001.63,15.9910436134,0.006,CSP9844
r,1003.65,16.0799687529,0.009,CSP9844
r,1007.68,16.3727425034,0.01,CSP9844
r,1008.64,16.4331316033,0.01,CSP9844
r,1012.54,16.5537167375,0.006,CSP9844
r,1013.62,16.5795110271,0.006,CSP9844
r,1017.78,16.6163589375,0.016,CSP9844
r,1029.7,17.0611917938,0.007,CSP9844
r,1033.7,17.3362616392,0.011,CSP9844
r,1039.68,17.6210834121,0.01,CSP9844
r,1044.63,17.7559542082,0.017,CSP9844
r,1046.58,17.8439675993,0.011,CSP9844
r,1052.61,18.0568291714,0.013,CSP9844
r,1060.55,18.2759017972,0.014,CSP9844
r,1066.62,18.4730359666,0.013,CSP9844
r,1076.56,18.619,0.015,CSP9844
r,1091.56,19.035,0.018,CSP9844
r,1099.54,19.321,0.033,CSP9844
B,986.71,16.4430335769,0.009,CSP9844
B,988.58,16.2593265446,0.007,CSP9844
B,991.67,16.0694025667,0.007,CSP9844
B,994.74,16.0476150533,0.006,CSP9844
B,998.69,16.1777346445,0.006,CSP9844
B,1001.63,16.3399716006,0.009,CSP9844
B,1003.65,16.4616535358,0.008,CSP9844
B,1007.68,16.7966924003,0.009,CSP9844
B,1008.64,16.8867722319,0.009,CSP9844
B,1012.54,17.2539330011,0.013,CSP9844
B,1013.62,17.3665258171,0.012,CSP9844
B,1017.78,17.7387745724,0.021,CSP9844
B,1025.67,18.3664723484,0.015,CSP9844
B,1029.7,18.6243818237,0.015,CSP9844
B,1039.68,19.0089398238,0.024,CSP9844
B,1044.63,19.0211729398,0.076,CSP9844
B,1046.58,19.1498579019,0.025,CSP9844
B,1052.61,19.2607920317,0.023,CSP9844
B,1060.55,19.3371103541,0.024,CSP9844
B,1066.62,19.4167129942,0.025,CSP9844
B,1091.56,19.728,0.03,CSP9844
V,986.71,16.3038037125,0.009,CSP9844
V,988.58,16.1220092548,0.007,CSP9844
V,991.67,15.9239343976,0.008,CSP9844
V,994.74,15.8720787849,0.007,CSP9844
V,998.69,15.8931409709,0.006,CSP9844
V,1001.63,16.0051945373,0.01,CSP9844
V,1003.65,16.0598335415,0.008,CSP9844
V,1007.68,16.2709124538,0.008,CSP9844
V,1008.64,16.359947152,0.009,CSP9844
V,1012.54,16.5606476549,0.009,CSP9844
V,1013.62,16.6209626145,0.008,CSP9844
V,1017.78,16.7783069941,0.015,CSP9844
V,1025.67,17.1961513388,0.01,CSP9844
V,1029.7,17.4408467267,0.009,CSP9844
V,1039.68,17.897979003,0.014,CSP9844
V,1044.63,18.0566534192,0.031,CSP9844
V,1046.58,18.0682660727,0.015,CSP9844
V,1052.61,18.2389944482,0.014,CSP9844
V,1060.55,18.415978633,0.015,CSP9844
V,1066.62,18.5953850274,0.018,CSP9844
V,1076.56,18.852,0.018,CSP9844
V,1091.56,19.189,0.023,CSP9844
V,1099.54,19.331,0.057,CSP9844
