Filter,MJD,Mag,Sigma,Code
i,994.59,17.8003764554,0.011,CSP9844
i,998.56,18.1864868514,0.013,CSP9844
i,1001.55,18.3828448378,0.016,CSP9844
i,1003.57,18.3913506965,0.014,CSP9844
i,1007.58,18.2972628925,0.014,CSP9844
i,1008.55,18.2705401712,0.014,CSP9844
i,1014.56,18.1740327141,0.022,CSP9844
i,1018.56,18.3651658916,0.017,CSP9844
i,1025.55,18.934770665,0.026,CSP9844
i,1038.53,19.5114799451,0.039,CSP9844
r,994.59,17.2157522073,0.006,CSP9844
r,998.56,17.4711964181,0.006,CSP9844
r,1001.55,17.717526257,0.011,CSP9844
r,1003.57,17.8200448397,0.009,CSP9844
r,1007.58,17.9064874246,0.009,CSP9844
r,1008.55,17.9156502966,0.01,CSP9844
r,1014.56,18.0658234151,0.018,CSP9844
r,1018.56,18.4201734087,0.015,CSP9844
r,1025.55,18.8831864267,0.018,CSP9844
r,1038.53,19.3621700492,0.027,CSP9844
B,994.59,17.5832592317,0.009,CSP9844
B,998.56,17.9331178662,0.01,CSP9844
B,1001.55,18.2746268232,0.014,CSP9844
B,1003.57,18.5431462932,0.015,CSP9844
B,1007.58,18.9963588107,0.02,CSP9844
B,1008.55,19.0977150193,0.025,CSP9844
B,1014.56,19.7884591387,0.144,CSP9844
B,1018.56,19.9485593916,0.044,CSP9844
B,1025.55,20.2900354207,0.05,CSP9844
V,994.59,17.2360796733,0.007,CSP9844
V,998.56,17.4114825343,0.007,CSP9844
V,1001.55,17.6066090845,0.011,CSP9844
V,1003.57,17.7373131191,0.012,CSP9844
V,1007.58,18.0125704207,0.011,CSP9844
V,1008.55,18.0521202534,0.012,CSP9844
V,1014.56,18.4829414916,0.048,CSP9844
V,1018.56,18.7905260033,0.02,CSP9844
V,1025.55,19.1928874306,0.025,CSP9844
V,1038.53,19.5539568726,0.05,CSP9844
