Filter,MJD,Mag,Sigma,Code
i,1001.75,19.4198512874,0.018,CSP9844
i,1007.77,19.1996490721,0.03,CSP9844
i,1013.73,19.5083536232,0.034,CSP9844
i,1018.8,19.9322715974,0.04,CSP9844
i,1025.74,19.9433349792,0.028,CSP9844
i,1039.73,20.0251880648,0.04,CSP9844
r,1001.75,18.9654829351,0.011,CSP9844
r,1007.77,19.0190221791,0.012,CSP9844
r,1013.73,19.3387649302,0.02,CSP9844
r,1018.8,19.6046442085,0.025,CSP9844
r,1025.74,19.69187126,0.019,CSP9844
r,1039.73,20.346032813,0.036,CSP9844
B,1001.75,19.1957968409,0.012,CSP9844
B,1007.77,19.2950221723,0.013,CSP9844
B,1013.73,19.6182842788,0.041,CSP9844
B,1018.8,20.3019511418,0.085,CSP9844
B,1025.74,20.9509730364,0.055,CSP9844
V,1001.75,19.1946906471,0.018,CSP9844
V,1007.77,18.8876073715,0.014,CSP9844
V,1013.73,19.0771365489,0.026,CSP9844
V,1018.8,19.6425089161,0.041,CSP9844
V,1025.74,20.1448507106,0.05,CSP9844
V,1039.73,20.5711863777,0.059,CSP9844
