Filter,MJD,Mag,Sigma,Code
i,1001.67,18.5142168536,0.014,CSP9844
i,1003.69,18.5251278675,0.015,CSP9844
i,1007.71,18.6579222818,0.015,CSP9844
i,1008.68,18.7112716337,0.015,CSP9844
i,1018.75,18.9921363117,0.024,CSP9844
i,1028.69,19.4613562603,0.026,CSP9844
i,1036.66,20.0723056934,0.043,CSP9844
i,1039.64,20.0802110938,0.043,CSP9844
i,1046.62,20.5136895515,0.095,CSP9844
i,1052.64,20.707186542,0.058,CSP9844
i,1056.65,20.7534497508,0.113,CSP9844
i,1066.58,21.3258427871,0.1,CSP9844
r,1001.67,18.2764645627,0.013,CSP9844
r,1003.69,18.1738820861,0.012,CSP9844
r,1007.71,18.175512382,0.01,CSP9844
r,1008.68,18.1947936283,0.009,CSP9844
r,1018.75,18.862003262,0.016,CSP9844
r,1028.69,19.4641427426,0.02,CSP9844
r,1036.66,19.9700216968,0.026,CSP9844
r,1039.64,20.1502453132,0.035,CSP9844
r,1046.62,20.36874206,0.066,CSP9844
r,1052.64,20.6632965614,0.041,CSP9844
r,1056.65,20.8519865782,0.058,CSP9844
r,1066.58,21.2028609965,0.076,CSP9844
r,1076.62,21.399,0.168,CSP9844
B,1001.67,18.4178876145,0.013,CSP9844
B,1003.69,18.3679732328,0.013,CSP9844
B,1007.71,18.6187871589,0.015,CSP9844
B,1008.68,18.728495555,0.017,CSP9844
B,1018.75,20.2858093984,0.098,CSP9844
B,1028.69,20.8206301207,0.042,CSP9844
B,1036.66,20.9884031462,0.059,CSP9844
B,1039.64,21.3902819542,0.158,CSP9844
B,1052.64,21.5327656098,0.078,CSP9844
B,1056.65,21.4709692725,0.092,CSP9844
B,1066.58,21.7643515076,0.119,CSP9844
V,1001.67,18.1755390617,0.012,CSP9844
V,1003.69,18.0612475586,0.011,CSP9844
V,1007.71,18.0849113011,0.012,CSP9844
V,1008.68,18.136996915,0.013,CSP9844
V,1018.75,19.0930131033,0.028,CSP9844
V,1028.69,19.7582663019,0.026,CSP9844
V,1036.66,20.1783849555,0.04,CSP9844
V,1039.64,20.3667878397,0.073,CSP9844
V,1046.62,20.3544777144,0.122,CSP9844
V,1052.64,20.6314255117,0.051,CSP9844
V,1066.58,20.9006705417,0.078,CSP9844
V,1076.62,21.15,0.19,CSP9844
