Filter,MJD,Mag,Sigma,Code
i,1036.81,16.9392285774,0.007,CSP9844
i,1038.78,16.8480643252,0.009,CSP9844
i,1039.77,16.8698001655,0.008,CSP9844
i,1042.73,16.9895727586,0.009,CSP9844
i,1048.78,17.4184287035,0.009,CSP9844
i,1052.77,17.6412966237,0.01,CSP9844
i,1056.71,17.5052007148,0.009,CSP9844
i,1060.69,17.4551971112,0.01,CSP9844
i,1065.72,17.634301816,0.012,CSP9844
i,1068.72,17.9026665672,0.013,CSP9844
i,1069.72,18.0037291973,0.012,CSP9844
i,1075.7,18.3711062369,0.02,CSP9844
i,1080.72,18.6450859289,0.022,CSP9844
i,1084.65,18.8240983112,0.019,CSP9844
i,1087.67,18.9725317578,0.02,CSP9844
i,1091.69,19.1636761985,0.024,CSP9844
i,1096.63,19.4168577894,0.036,CSP9844
i,1119.61,20.247,0.051,CSP9844
i,1127.64,20.449,0.112,CSP9844
r,1036.81,16.7890438641,0.007,CSP9844
r,1038.78,16.6170079827,0.007,CSP9844
r,1039.77,16.5839186384,0.007,CSP9844
r,1042.73,16.5328638593,0.007,CSP9844
r,1048.78,16.8002314481,0.006,CSP9844
r,1052.77,17.0808544852,0.009,CSP9844
r,1056.71,17.2071357589,0.006,CSP9844
r,1060.69,17.3357333947,0.009,CSP9844
r,1065.72,17.7210325552,0.01,CSP9844
r,1068.72,18.0044350779,0.011,CSP9844
r,1069.72,18.0920930238,0.012,CSP9844
r,1075.7,18.4330078633,0.016,CSP9844
r,1080.72,18.647327524,0.016,CSP9844
r,1084.65,18.8193731206,0.014,CSP9844
r,1087.67,18.9254274994,0.014,CSP9844
r,1091.69,19.0680836855,0.018,CSP9844
r,1096.63,19.2625826798,0.026,CSP9844
r,1102.64,19.374,0.07,CSP9844
r,1119.61,19.97,0.026,CSP9844
r,1123.66,20.106,0.04,CSP9844
B,1036.81,17.0943842916,0.007,CSP9844
B,1038.78,16.9203905223,0.007,CSP9844
B,1039.77,16.8585629144,0.007,CSP9844
B,1042.73,16.8445915293,0.009,CSP9844
B,1048.78,17.2650594823,0.01,CSP9844
B,1056.71,18.3748852162,0.011,CSP9844
B,1060.69,18.8662172939,0.014,CSP9844
B,1065.72,19.3604899137,0.024,CSP9844
B,1068.72,19.5181207846,0.025,CSP9844
B,1069.72,19.5335919347,0.035,CSP9844
B,1080.72,20.0914533543,0.055,CSP9844
B,1084.65,20.1163749037,0.04,CSP9844
B,1087.67,20.2124176026,0.04,CSP9844
B,1091.69,20.1512153286,0.04,CSP9844
B,1096.63,20.3309581608,0.075,CSP9844
B,1119.61,20.896,0.05,CSP9844
B,1127.64,21.01,0.157,CSP9844
V,1036.81,16.9143304997,0.007,CSP9844
V,1038.78,16.7241241981,0.007,CSP9844
V,1039.77,16.6697586723,0.007,CSP9844
V,1042.73,16.5966439706,0.009,CSP9844
V,1048.78,16.7622630469,0.007,CSP9844
V,1052.77,17.0473228064,0.008,CSP9844
V,1056.71,17.3622150728,0.008,CSP9844
V,1060.69,17.6444049151,0.009,CSP9844
V,1065.72,18.0791135203,0.012,CSP9844
V,1068.72,18.3358498968,0.016,CSP9844
V,1069.72,18.3947669333,0.017,CSP9844
V,1075.7,18.670948083,0.032,CSP9844
V,1080.72,18.8333440767,0.023,CSP9844
V,1084.65,18.9420855034,0.018,CSP9844
V,1087.67,19.072117802,0.017,CSP9844
V,1091.69,19.1658109397,0.022,CSP9844
V,1096.63,19.3591992061,0.032,CSP9844
V,1102.64,19.485,0.093,CSP9844
V,1119.61,19.987,0.028,CSP9844
V,1127.64,20.228,0.059,CSP9844
