Filter,MJD,Mag,Sigma,Code
i,1046.68,15.4814774702,0.009,CSP9844
i,1048.82,14.9647855192,0.008,CSP9844
i,1049.78,14.8177702529,0.014,CSP9844
i,1052.75,14.5642724492,0.016,CSP9844
i,1056.74,14.5498211565,0.009,CSP9844
i,1060.78,14.8526908331,0.016,CSP9844
i,1065.76,15.3277390108,0.015,CSP9844
i,1066.83,15.4479841796,0.01,CSP9844
i,1068.76,15.5647223033,0.015,CSP9844
i,1071.67,15.8344061617,0.019,CSP9844
i,1073.73,15.9618650527,0.013,CSP9844
i,1076.72,16.1559884992,0.015,CSP9844
i,1080.77,16.3893248634,0.011,CSP9844
i,1084.68,16.5835900438,0.013,CSP9844
i,1087.63,16.7255590403,0.026,CSP9844
i,1092.68,16.9569725676,0.028,CSP9844
i,1096.66,17.0764465998,0.022,CSP9844
i,1099.63,17.1859852896,0.019,CSP9844
i,1100.66,17.2509934779,0.023,CSP9844
i,1104.72,17.362033379,0.023,CSP9844
i,1106.65,17.4474961561,0.021,CSP9844
i,1108.65,17.5079041355,0.035,CSP9844
i,1110.61,17.5934474892,0.034,CSP9844
i,1118.68,17.7423818569,0.037,CSP9844
i,1123.63,17.863,0.039,CSP9844
i,1130.56,18.107,0.04,CSP9844
i,1133.6,18.168,0.04,CSP9844
i,1136.62,18.268,0.044,CSP9844
i,1143.57,18.487,0.058,CSP9844
i,1147.57,18.635,0.055,CSP9844
r,1046.68,15.4819399152,0.008,CSP9844
r,1048.82,14.8919637093,0.006,CSP9844
r,1049.78,14.7038329118,0.012,CSP9844
r,1056.74,14.5116236821,0.009,CSP9844
r,1060.78,14.9310560565,0.012,CSP9844
r,1065.76,15.4983666088,0.012,CSP9844
r,1066.83,15.5912263913,0.009,CSP9844
r,1068.76,15.7445916702,0.016,CSP9844
r,1071.67,15.9852351779,0.014,CSP9844
r,1073.73,16.1321955185,0.009,CSP9844
r,1076.72,16.3255139147,0.01,CSP9844
r,1080.77,16.5943518987,0.011,CSP9844
r,1084.68,16.8320314267,0.014,CSP9844
r,1087.63,16.9901955922,0.027,CSP9844
r,1092.68,17.2592452928,0.031,CSP9844
r,1096.66,17.6107979037,0.03,CSP9844
r,1099.63,17.7211420845,0.018,CSP9844
r,1100.66,17.7788555445,0.021,CSP9844
r,1104.72,18.0368959828,0.025,CSP9844
r,1106.65,18.1690784104,0.025,CSP9844
r,1108.65,18.2076802201,0.037,CSP9844
r,1118.68,18.9889367505,0.065,CSP9844
r,1123.63,18.946,0.055,CSP9844
r,1127.69,19.29,0.085,CSP9844
r,1133.6,19.667,0.098,CSP9844
r,1136.62,19.553,0.078,CSP9844
r,1147.57,20.204,0.126,CSP9844
B,1046.68,16.0393574593,0.013,CSP9844
B,1048.82,15.5712126598,0.007,CSP9844
B,1049.78,15.4539181727,0.015,CSP9844
B,1052.75,15.498739234,0.016,CSP9844
B,1056.74,16.2084749219,0.011,CSP9844
B,1060.78,16.817437816,0.028,CSP9844
B,1065.76,17.2006452321,0.029,CSP9844
B,1066.83,17.2271032289,0.032,CSP9844
B,1068.76,17.3574717603,0.029,CSP9844
B,1071.67,17.4893935551,0.025,CSP9844
B,1073.73,17.5618902027,0.019,CSP9844
B,1076.72,17.6545243683,0.022,CSP9844
B,1080.77,17.7642620658,0.022,CSP9844
B,1084.68,17.9636982115,0.043,CSP9844
B,1087.63,18.0225778068,0.045,CSP9844
B,1092.68,18.1722351701,0.061,CSP9844
B,1096.66,18.2866109883,0.039,CSP9844
B,1099.63,18.3715691172,0.024,CSP9844
B,1100.66,18.3968042911,0.041,CSP9844
B,1104.72,18.4577842594,0.034,CSP9844
B,1106.65,18.542152235,0.03,CSP9844
B,1108.65,18.60946323,0.065,CSP9844
B,1110.61,18.7079471468,0.082,CSP9844
B,1118.68,18.732939837,0.038,CSP9844
B,1123.63,19.081,0.048,CSP9844
B,1127.69,19.178,0.044,CSP9844
B,1133.6,19.358,0.067,CSP9844
B,1143.57,19.686,0.103,CSP9844
B,1147.57,19.928,0.085,CSP9844
V,1046.68,15.5489572902,0.011,CSP9844
V,1048.82,14.9849636469,0.007,CSP9844
V,1049.78,14.8305285854,0.018,CSP9844
V,1052.75,14.6029495556,0.014,CSP9844
V,1056.74,14.914911613,0.006,CSP9844
V,1060.78,15.4255127413,0.027,CSP9844
V,1065.76,15.9090960594,0.023,CSP9844
V,1066.83,15.9840577946,0.015,CSP9844
V,1068.76,16.0972867474,0.022,CSP9844
V,1071.67,16.2882644609,0.019,CSP9844
V,1073.73,16.4095616944,0.014,CSP9844
V,1076.72,16.5640771116,0.016,CSP9844
V,1080.77,16.7725891403,0.015,CSP9844
V,1084.68,16.9419879085,0.022,CSP9844
V,1087.63,17.040722992,0.045,CSP9844
V,1092.68,17.2422197187,0.044,CSP9844
V,1096.66,17.4497616034,0.03,CSP9844
V,1099.63,17.5654842618,0.016,CSP9844
V,1100.66,17.5460385366,0.033,CSP9844
V,1104.72,17.697376448,0.02,CSP9844
V,1106.65,17.7823300165,0.022,CSP9844
V,1108.65,17.8774402821,0.051,CSP9844
V,1118.68,18.2937244092,0.034,CSP9844
V,1127.69,18.738,0.06,CSP9844
V,1133.6,18.917,0.068,CSP9844
V,1136.62,18.926,0.056,CSP9844
V,1143.57,19.191,0.129,CSP9844
V,1147.57,19.491,0.093,CSP9844
