Filter,MJD,Mag,Sigma,Code
i,1065.63,17.9690301265,0.014,CSP9844
i,1066.75,18.0019756726,0.012,CSP9844
i,1069.63,18.0446989637,0.014,CSP9844
i,1073.65,18.3024683685,0.027,CSP9844
i,1075.64,18.4312277203,0.021,CSP9844
i,1080.67,18.4759112592,0.018,CSP9844
i,1084.62,18.4052508682,0.017,CSP9844
i,1087.6,18.3537502925,0.016,CSP9844
i,1096.57,18.5573628246,0.029,CSP9844
i,1102.61,18.9774607807,0.049,CSP9844
i,1105.6,19.1492265584,0.024,CSP9844
i,1108.61,19.3068802149,0.027,CSP9844
i,1121.61,19.7949677105,0.047,CSP9844
i,1128.59,20.0336590786,0.07,CSP9844
i,1133.56,20.2889475042,0.1,CSP9844
r,1065.63,17.5421244673,0.009,CSP9844
r,1066.75,17.5202321631,0.007,CSP9844
r,1069.63,17.5614155807,0.01,CSP9844
r,1073.65,17.7565663725,0.016,CSP9844
r,1075.64,17.9028790387,0.012,CSP9844
r,1080.67,18.1522076147,0.01,CSP9844
r,1084.62,18.2274405612,0.01,CSP9844
r,1087.6,18.2740685876,0.012,CSP9844
r,1091.6,18.4333116829,0.012,CSP9844
r,1096.57,18.7754570849,0.016,CSP9844
r,1102.61,19.2182793736,0.059,CSP9844
r,1105.6,19.2290162075,0.021,CSP9844
r,1108.61,19.3986714278,0.015,CSP9844
r,1121.61,19.8022136492,0.023,CSP9844
r,1128.59,20.1366338643,0.052,CSP9844
r,1133.56,20.2428219984,0.072,CSP9844
B,1065.63,18.1130958143,0.012,CSP9844
B,1066.75,18.1693932487,0.013,CSP9844
B,1069.63,18.2569480153,0.017,CSP9844
B,1073.65,18.6379413681,0.055,CSP9844
B,1075.64,18.7782903221,0.041,CSP9844
B,1080.67,19.360907861,0.027,CSP9844
B,1084.62,19.7633288996,0.034,CSP9844
B,1087.6,20.0484780404,0.038,CSP9844
B,1091.6,20.3911910511,0.067,CSP9844
V,1065.63,17.7091171001,0.011,CSP9844
V,1066.75,17.6967230157,0.009,CSP9844
V,1069.63,17.7559808755,0.013,CSP9844
V,1073.65,17.8731046036,0.022,CSP9844
V,1075.64,18.0358836901,0.019,CSP9844
V,1080.67,18.3131402891,0.013,CSP9844
V,1084.62,18.5824189552,0.017,CSP9844
V,1087.6,18.7126893617,0.017,CSP9844
V,1091.6,18.9927413329,0.02,CSP9844
V,1096.57,19.2672794337,0.041,CSP9844
V,1102.61,19.5632379301,0.082,CSP9844
V,1105.6,19.5875555259,0.051,CSP9844
V,1108.61,19.6983700375,0.031,CSP9844
V,1121.61,20.0905368134,0.041,CSP9844
