Filter,MJD,Mag,Sigma,Code
i,1069.54,18.6416853917,0.024,CSP9844
i,1073.53,18.6597094199,0.035,CSP9844
i,1075.56,18.7101927705,0.023,CSP9844
i,1080.54,19.0979705997,0.02,CSP9844
i,1084.53,19.3392524296,0.051,CSP9844
i,1087.54,19.3261252384,0.031,CSP9844
i,1091.54,19.2589671995,0.035,CSP9844
r,1069.54,18.076041454,0.013,CSP9844
r,1073.53,18.0681007364,0.015,CSP9844
r,1075.56,18.0846896518,0.013,CSP9844
r,1080.54,18.3175752068,0.01,CSP9844
r,1084.53,18.5869363412,0.021,CSP9844
r,1087.54,18.7370259787,0.015,CSP9844
r,1091.54,18.7755505827,0.019,CSP9844
B,1069.54,18.1686349031,0.017,CSP9844
B,1073.53,18.1612767013,0.031,CSP9844
B,1075.56,18.2501630079,0.024,CSP9844
B,1080.54,18.5122915652,0.017,CSP9844
B,1084.53,18.9658281243,0.024,CSP9844
B,1087.54,19.3014739907,0.029,CSP9844
V,1069.54,17.9966591193,0.018,CSP9844
V,1073.53,18.0529087074,0.034,CSP9844
V,1075.56,18.0475522234,0.016,CSP9844
V,1080.54,18.1649195974,0.024,CSP9844
V,1084.53,18.4759847237,0.019,CSP9844
V,1087.54,18.6120096084,0.015,CSP9844
