Filter,MJD,Mag,Sigma,Code
i,1108.54,16.1271248913,0.007,CSP9844
i,1110.55,16.1007736701,0.014,CSP9844
i,1112.54,16.1630816384,0.007,CSP9844
i,1119.53,16.4292439732,0.009,CSP9844
i,1121.54,16.5654196329,0.009,CSP9844
i,1123.53,16.7289330792,0.013,CSP9844
i,1127.53,17.0063527577,0.015,CSP9844
i,1128.53,17.0232270895,0.016,CSP9844
i,1131.53,16.9938841553,0.013,CSP9844
i,1133.53,16.9297883621,0.017,CSP9844
r,1108.54,15.885125546,0.006,CSP9844
r,1110.55,15.7839381016,0.007,CSP9844
r,1112.54,15.7229764894,0.006,CSP9844
r,1119.53,15.8199824981,0.006,CSP9844
r,1121.54,15.9139282481,0.006,CSP9844
r,1123.53,16.0789908187,0.008,CSP9844
r,1128.53,16.4083287114,0.009,CSP9844
r,1133.53,16.4947486267,0.013,CSP9844
B,1108.54,16.0859256776,0.014,CSP9844
B,1110.55,16.0378799659,0.011,CSP9844
B,1112.54,15.9753326217,0.009,CSP9844
B,1119.53,16.1805147146,0.006,CSP9844
B,1121.54,16.3109965763,0.007,CSP9844
B,1123.53,16.4406114851,0.013,CSP9844
B,1127.53,16.7738262281,0.017,CSP9844
B,1131.53,17.2004183585,0.04,CSP9844
V,1108.54,15.9355439577,0.007,CSP9844
V,1110.55,15.8130410691,0.007,CSP9844
V,1112.54,15.7239655912,0.009,CSP9844
V,1119.53,15.8214286526,0.005,CSP9844
V,1121.54,15.8817683558,0.006,CSP9844
V,1127.53,16.2492888656,0.013,CSP9844
V,1131.53,16.4982730179,0.019,CSP9844
V,1133.53,16.5459365257,0.017,CSP9844
