Filter,MJD,Mag,Sigma,Code
i,1123.82,17.3050038258,0.013,CSP9844
i,1125.88,17.1066819553,0.036,CSP9844
i,1127.83,16.9896479567,0.01,CSP9844
i,1128.85,17.034811481,0.008,CSP9844
i,1131.81,17.079368834,0.013,CSP9844
i,1133.81,17.2255673783,0.012,CSP9844
i,1143.82,18.0828973212,0.017,CSP9844
i,1147.76,18.2993167879,0.03,CSP9844
i,1154.79,18.6657333531,0.017,CSP9844
i,1158.79,18.8997699034,0.02,CSP9844
i,1160.8,19.0466718546,0.029,CSP9844
i,1161.73,19.0659461687,0.027,CSP9844
i,1169.74,19.282,0.029,CSP9844
i,1174.78,19.571,0.036,CSP9844
i,1181.78,19.705,0.037,CSP9844
i,1185.74,19.846,0.049,CSP9844
i,1190.74,20.124,0.091,CSP9844
i,1199.71,20.2,0.064,CSP9844
i,1200.83,20.146,0.089,CSP9844
i,1203.8,20.316,0.055,CSP9844
i,1207.65,20.308,0.044,CSP9844
i,1213.67,20.535,0.047,CSP9844
r,1123.82,17.0695146674,0.01,CSP9844
r,1125.88,16.9597179075,0.01,CSP9844
r,1127.83,16.8750803776,0.008,CSP9844
r,1128.85,16.9531078402,0.007,CSP9844
r,1131.81,17.156277902,0.01,CSP9844
r,1133.81,17.3590578338,0.011,CSP9844
r,1143.82,18.3225006558,0.013,CSP9844
r,1147.76,18.5971098336,0.039,CSP9844
r,1154.79,18.9929386753,0.018,CSP9844
r,1158.79,19.2164957875,0.02,CSP9844
r,1160.8,19.3672487393,0.031,CSP9844
r,1161.73,19.3346085247,0.036,CSP9844
r,1169.74,19.704,0.03,CSP9844
r,1174.78,20.006,0.031,CSP9844
r,1181.78,20.342,0.046,CSP9844
r,1185.74,20.399,0.045,CSP9844
r,1190.74,20.604,0.12,CSP9844
r,1199.71,21.215,0.093,CSP9844
r,1203.8,21.33,0.083,CSP9844
r,1207.65,21.568,0.084,CSP9844
r,1213.67,21.922,0.124,CSP9844
B,1123.82,18.2138080781,0.013,CSP9844
B,1125.88,18.2690749182,0.015,CSP9844
B,1127.83,18.4942328907,0.013,CSP9844
B,1128.85,18.658580919,0.015,CSP9844
B,1131.81,19.1511643183,0.029,CSP9844
B,1143.82,20.1848672697,0.037,CSP9844
B,1147.76,20.3221314894,0.103,CSP9844
B,1153.81,20.6993150039,0.062,CSP9844
B,1154.79,20.5581934944,0.05,CSP9844
B,1158.79,20.6935027005,0.056,CSP9844
B,1160.8,20.6093191416,0.117,CSP9844
B,1161.73,20.5306456326,0.124,CSP9844
B,1169.74,21.046,0.112,CSP9844
B,1174.78,21.068,0.08,CSP9844
B,1181.78,21.326,0.106,CSP9844
B,1185.74,21.473,0.12,CSP9844
B,1199.71,21.561,0.164,CSP9844
B,1203.8,21.626,0.074,CSP9844
B,1207.65,21.783,0.075,CSP9844
B,1213.67,21.914,0.098,CSP9844
V,1123.82,17.2809377986,0.01,CSP9844
V,1125.88,17.2097783011,0.008,CSP9844
V,1127.83,17.2500140461,0.008,CSP9844
V,1128.85,17.3127769935,0.009,CSP9844
V,1131.81,17.6377145986,0.011,CSP9844
V,1133.81,17.9125505503,0.016,CSP9844
V,1143.82,18.8283222295,0.02,CSP9844
V,1147.76,18.9853425788,0.03,CSP9844
V,1153.81,19.3094834465,0.021,CSP9844
V,1154.79,19.3336889079,0.023,CSP9844
V,1158.79,19.4620095916,0.025,CSP9844
V,1160.8,19.5468305647,0.043,CSP9844
V,1161.73,19.6173972934,0.057,CSP9844
V,1169.74,19.936,0.044,CSP9844
V,1174.78,20.129,0.042,CSP9844
V,1181.78,20.309,0.047,CSP9844
V,1185.74,20.347,0.051,CSP9844
V,1199.71,20.814,0.088,CSP9844
V,1200.83,20.818,0.136,CSP9844
V,1203.8,20.912,0.054,CSP9844
V,1207.65,21.093,0.065,CSP9844
V,1213.67,21.288,0.089,CSP9844
