Filter,MJD,Mag,Sigma,Code
i,1165.8,14.2475453626,0.007,CSP9844
i,1166.8,14.0678882269,0.006,CSP9844
i,1169.87,13.7437310184,0.009,CSP9844
i,1170.82,13.7066536955,0.01,CSP9844
i,1171.87,13.6836887299,0.012,CSP9844
i,1172.86,13.7156588316,0.011,CSP9844
i,1174.85,13.7828438217,0.011,CSP9844
i,1178.77,13.9196623566,0.009,CSP9844
i,1179.83,13.9886045573,0.01,CSP9844
i,1181.81,14.0870590937,0.01,CSP9844
i,1182.78,14.1636007779,0.011,CSP9844
i,1185.82,14.4157113485,0.006,CSP9844
i,1190.78,14.4608239607,0.006,CSP9844
i,1194.79,14.3640771564,0.008,CSP9844
i,1197.79,14.322346844,0.009,CSP9844
i,1199.73,14.3090428342,0.008,CSP9844
i,1202.84,14.3346621968,0.008,CSP9844
i,1204.84,14.422434176,0.01,CSP9844
i,1207.76,14.6550940919,0.011,CSP9844
i,1211.78,14.9216507058,0.006,CSP9844
i,1213.74,15.0340122439,0.009,CSP9844
i,1218.76,15.2866083046,0.006,CSP9844
i,1224.78,15.5192534173,0.008,CSP9844
i,1226.81,15.6064714851,0.006,CSP9844
i,1231.79,15.785689096,0.006,CSP9844
i,1239.74,16.0739724556,0.007,CSP9844
i,1246.67,16.3106993462,0.008,CSP9844
i,1256.69,16.636,0.007,CSP9844
r,1166.8,13.8068250118,0.006,CSP9844
r,1169.87,13.4280135637,0.008,CSP9844
r,1170.82,13.3699728932,0.01,CSP9844
r,1171.87,13.3005918043,0.01,CSP9844
r,1172.86,13.2776706097,0.01,CSP9844
r,1174.85,13.2407817562,0.009,CSP9844
r,1178.77,13.2506906951,0.009,CSP9844
r,1179.83,13.3018210177,0.01,CSP9844
r,1181.81,13.3862406196,0.009,CSP9844
r,1182.78,13.4379445571,0.013,CSP9844
r,1185.82,13.6789868018,0.007,CSP9844
r,1190.78,13.9039742942,0.006,CSP9844
r,1194.79,13.9755330252,0.007,CSP9844
r,1197.79,14.0537531613,0.006,CSP9844
r,1199.73,14.1087539852,0.008,CSP9844
r,1202.84,14.2450117325,0.007,CSP9844
r,1204.84,14.375329871,0.009,CSP9844
r,1207.76,14.6146037362,0.008,CSP9844
r,1211.78,14.8724787836,0.006,CSP9844
r,1213.74,14.9666726982,0.006,CSP9844
r,1218.76,15.1729867498,0.006,CSP9844
r,1224.78,15.3862820747,0.006,CSP9844
r,1226.81,15.4532187776,0.006,CSP9844
r,1231.79,15.6125639495,0.006,CSP9844
r,1239.74,15.8696797773,0.006,CSP9844
r,1246.67,16.0852051806,0.007,CSP9844
r,1256.69,16.382,0.006,CSP9844
B,1165.8,14.1242440123,0.011,CSP9844
B,1166.8,13.9326687959,0.012,CSP9844
B,1169.87,13.5099850957,0.012,CSP9844
B,1170.82,13.4338225521,0.012,CSP9844
B,1171.87,13.3746064083,0.014,CSP9844
B,1174.85,13.3131154304,0.013,CSP9844
B,1178.77,13.4297689769,0.013,CSP9844
B,1179.83,13.4877455751,0.013,CSP9844
B,1181.81,13.6548402605,0.013,CSP9844
B,1182.78,13.7344944998,0.014,CSP9844
B,1185.82,14.0420894068,0.011,CSP9844
B,1190.78,14.6257184066,0.012,CSP9844
B,1194.79,15.0767458098,0.012,CSP9844
B,1197.79,15.3415411429,0.011,CSP9844
B,1199.73,15.5042069554,0.012,CSP9844
B,1202.84,15.7416461515,0.012,CSP9844
B,1204.84,15.8697787229,0.013,CSP9844
B,1207.76,16.0477389746,0.012,CSP9844
B,1211.78,16.2373201122,0.012,CSP9844
B,1213.74,16.3084213656,0.012,CSP9844
B,1218.76,16.432020064,0.012,CSP9844
B,1224.78,16.5534008936,0.014,CSP9844
B,1226.81,16.5956531698,0.014,CSP9844
B,1231.79,16.6471766777,0.013,CSP9844
B,1239.74,16.8018710398,0.013,CSP9844
B,1246.67,16.8552306919,0.012,CSP9844
B,1256.69,17.042,0.012,CSP9844
V,1165.8,14.0858309086,0.008,CSP9844
V,1166.8,13.90470599,0.008,CSP9844
V,1169.87,13.4872760254,0.009,CSP9844
V,1170.82,13.4094645323,0.009,CSP9844
V,1171.87,13.3392459164,0.009,CSP9844
V,1172.86,13.2815814767,0.008,CSP9844
V,1174.85,13.2487340924,0.009,CSP9844
V,1179.83,13.2848487805,0.009,CSP9844
V,1181.81,13.3591565925,0.008,CSP9844
V,1182.78,13.3832754202,0.01,CSP9844
V,1185.82,13.5636931928,0.008,CSP9844
V,1190.78,13.8862070719,0.008,CSP9844
V,1194.79,14.1384676925,0.008,CSP9844
V,1197.79,14.3039762215,0.008,CSP9844
V,1199.73,14.4033760108,0.009,CSP9844
V,1202.84,14.6016588226,0.009,CSP9844
V,1204.84,14.7480195777,0.008,CSP9844
V,1207.76,14.9530022666,0.009,CSP9844
V,1211.78,15.1789362478,0.008,CSP9844
V,1213.74,15.2599446858,0.009,CSP9844
V,1218.76,15.4290827799,0.008,CSP9844
V,1224.78,15.6135214701,0.008,CSP9844
V,1226.81,15.6679313861,0.008,CSP9844
V,1231.79,15.7782063722,0.008,CSP9844
V,1239.74,15.9657836819,0.008,CSP9844
V,1246.67,16.1306141653,0.008,CSP9844
V,1256.69,16.395,0.007,CSP9844
