Filter,MJD,Mag,Sigma,Code
i,1172.89,17.9499633813,0.022,CSP9844
i,1174.88,18.0017576002,0.018,CSP9844
i,1179.89,18.1533952893,0.018,CSP9844
i,1181.86,18.2264536351,0.02,CSP9844
i,1182.83,18.2847114705,0.025,CSP9844
i,1185.87,18.4792036771,0.019,CSP9844
i,1190.87,18.6267710913,0.026,CSP9844
i,1194.87,18.5505502006,0.026,CSP9844
i,1199.79,18.5034238218,0.027,CSP9844
i,1200.87,18.4976753785,0.029,CSP9844
i,1203.89,18.4707837216,0.029,CSP9844
i,1213.83,18.869743839,0.034,CSP9844
i,1227.87,19.508774585,0.048,CSP9844
i,1231.88,19.6831617831,0.074,CSP9844
i,1235.78,19.8060208437,0.067,CSP9844
i,1243.79,20.1749694765,0.103,CSP9844
r,1172.89,17.6548263237,0.014,CSP9844
r,1174.88,17.6174860285,0.015,CSP9844
r,1179.89,17.6645178214,0.018,CSP9844
r,1181.86,17.731438286,0.016,CSP9844
r,1182.83,17.7582478799,0.017,CSP9844
r,1185.87,17.9547792931,0.012,CSP9844
r,1190.87,18.2105410407,0.016,CSP9844
r,1194.87,18.2628180637,0.018,CSP9844
r,1199.79,18.3492501852,0.017,CSP9844
r,1200.87,18.3919125601,0.017,CSP9844
r,1203.89,18.4484688499,0.018,CSP9844
r,1213.83,19.0030915963,0.033,CSP9844
r,1227.87,19.5849121852,0.05,CSP9844
r,1231.88,19.7010326216,0.055,CSP9844
r,1235.78,19.8562945468,0.053,CSP9844
r,1243.79,20.1441099151,0.057,CSP9844
r,1259.7,20.419,0.109,CSP9844
B,1172.89,18.1527623,0.012,CSP9844
B,1174.88,18.2124482956,0.013,CSP9844
B,1179.89,18.3822479236,0.016,CSP9844
B,1181.86,18.513119418,0.015,CSP9844
B,1182.83,18.5793492229,0.016,CSP9844
B,1185.87,18.7918419719,0.016,CSP9844
B,1190.87,19.2163400011,0.027,CSP9844
B,1194.87,19.6694912014,0.069,CSP9844
B,1199.79,19.8540112136,0.049,CSP9844
B,1200.87,20.0217122531,0.072,CSP9844
B,1203.89,20.3280385672,0.046,CSP9844
B,1213.83,20.9053467568,0.087,CSP9844
B,1231.88,21.3317453312,0.14,CSP9844
B,1235.78,21.3166618347,0.075,CSP9844
B,1243.79,21.4817363606,0.117,CSP9844
V,1172.89,17.7472966745,0.013,CSP9844
V,1174.88,17.7274862644,0.012,CSP9844
V,1179.89,17.7847254241,0.012,CSP9844
V,1181.86,17.849364749,0.013,CSP9844
V,1182.83,17.9061468194,0.014,CSP9844
V,1185.87,18.057818731,0.013,CSP9844
V,1190.87,18.3353412701,0.015,CSP9844
V,1194.87,18.5581256649,0.025,CSP9844
V,1199.79,18.7223186688,0.02,CSP9844
V,1200.87,18.7440135595,0.024,CSP9844
V,1203.89,18.891507735,0.027,CSP9844
V,1213.83,19.4870870925,0.032,CSP9844
V,1227.87,20.0649338104,0.066,CSP9844
V,1231.88,20.0592035338,0.071,CSP9844
V,1235.78,20.1474722916,0.048,CSP9844
V,1243.79,20.4034102013,0.067,CSP9844
