Filter,MJD,Mag,Sigma,Code
i,1181.7,16.3773852394,0.006,CSP9844
i,1182.72,16.4010910092,0.008,CSP9844
i,1185.62,16.4595028481,0.006,CSP9844
i,1190.7,16.9215817735,0.007,CSP9844
i,1194.57,17.1639819452,0.009,CSP9844
i,1197.59,17.1569639213,0.009,CSP9844
i,1203.75,16.9075335111,0.007,CSP9844
i,1207.58,16.8379590659,0.007,CSP9844
i,1213.53,17.2788360207,0.008,CSP9844
i,1218.61,17.6118074652,0.011,CSP9844
i,1224.53,17.8998423936,0.011,CSP9844
i,1227.6,18.0506376704,0.016,CSP9844
i,1229.55,18.1374617569,0.012,CSP9844
i,1231.58,18.2239934666,0.015,CSP9844
i,1236.5,18.4270688204,0.019,CSP9844
i,1239.52,18.550331668,0.025,CSP9844
i,1243.56,18.7097998512,0.026,CSP9844
i,1245.53,18.8081981132,0.027,CSP9844
i,1259.49,19.232,0.043,CSP9844
r,1181.7,15.7718247868,0.006,CSP9844
r,1182.72,15.7530461778,0.006,CSP9844
r,1185.62,15.7701015839,0.005,CSP9844
r,1190.7,16.1286036932,0.005,CSP9844
r,1194.57,16.4441215899,0.006,CSP9844
r,1197.59,16.541810193,0.007,CSP9844
r,1203.75,16.5781609568,0.007,CSP9844
r,1207.58,16.724077007,0.007,CSP9844
r,1213.53,17.1886096042,0.008,CSP9844
r,1218.61,17.484948052,0.009,CSP9844
r,1224.53,17.7151661801,0.011,CSP9844
r,1227.6,17.8351018097,0.01,CSP9844
r,1229.55,17.9102838766,0.009,CSP9844
r,1231.58,17.9634849873,0.01,CSP9844
r,1236.5,18.1615451024,0.011,CSP9844
r,1239.52,18.2747180837,0.01,CSP9844
r,1243.56,18.4219014311,0.014,CSP9844
r,1245.53,18.4589779885,0.015,CSP9844
r,1259.49,18.836,0.018,CSP9844
B,1181.7,15.9855849619,0.005,CSP9844
B,1182.72,16.0052614506,0.006,CSP9844
B,1185.62,16.109215712,0.006,CSP9844
B,1190.7,16.4766408287,0.008,CSP9844
B,1194.57,16.9134737074,0.009,CSP9844
B,1203.75,17.9367086697,0.011,CSP9844
B,1207.58,18.2873327153,0.012,CSP9844
B,1213.53,18.7042195941,0.02,CSP9844
B,1218.61,18.9675877782,0.04,CSP9844
B,1224.53,19.0907538213,0.044,CSP9844
B,1227.6,19.1577596886,0.041,CSP9844
B,1229.55,19.2026376439,0.023,CSP9844
B,1231.58,19.1526118869,0.02,CSP9844
B,1236.5,19.2540835826,0.033,CSP9844
B,1239.52,19.3101322933,0.022,CSP9844
B,1243.56,19.3554793584,0.032,CSP9844
B,1245.53,19.3354784665,0.04,CSP9844
B,1259.49,19.604,0.035,CSP9844
V,1181.7,15.8044926922,0.004,CSP9844
V,1182.72,15.7880106972,0.006,CSP9844
V,1185.62,15.8097087698,0.004,CSP9844
V,1190.7,16.0187496951,0.005,CSP9844
V,1194.57,16.2962782704,0.006,CSP9844
V,1197.59,16.4971846665,0.006,CSP9844
V,1203.75,16.8137027618,0.006,CSP9844
V,1207.58,17.0765890975,0.008,CSP9844
V,1213.53,17.5292255566,0.008,CSP9844
V,1218.61,17.7830676962,0.013,CSP9844
V,1224.53,17.9545021583,0.017,CSP9844
V,1227.6,18.0530994843,0.015,CSP9844
V,1229.55,18.1486210386,0.013,CSP9844
V,1231.58,18.198943482,0.016,CSP9844
V,1236.5,18.3568814952,0.025,CSP9844
V,1239.52,18.4239598457,0.013,CSP9844
V,1243.56,18.5612610748,0.021,CSP9844
V,1245.53,18.5686878338,0.017,CSP9844
V,1259.49,18.94,0.02,CSP9844
