Filter,MJD,Mag,Sigma,Code
i,1218.68,16.4998434239,0.005,CSP9844
i,1224.71,16.0649590248,0.015,CSP9844
i,1227.73,16.1285006149,0.005,CSP9844
i,1229.69,16.2121135615,0.004,CSP9844
i,1231.74,16.3027890796,0.006,CSP9844
i,1232.7,16.3328694837,0.005,CSP9844
i,1235.66,16.4986079207,0.009,CSP9844
i,1239.67,16.8537318638,0.007,CSP9844
i,1243.7,17.0496436899,0.006,CSP9844
i,1246.64,17.0216212533,0.008,CSP9844
i,1255.7,16.7927184836,0.007,CSP9844
i,1259.63,16.809074965,0.008,CSP9844
r,1218.68,16.4034768091,0.006,CSP9844
r,1224.71,15.8229165434,0.009,CSP9844
r,1227.73,15.7298331752,0.004,CSP9844
r,1229.69,15.7243618819,0.004,CSP9844
r,1231.74,15.7708361331,0.004,CSP9844
r,1232.7,15.7916868013,0.004,CSP9844
r,1235.66,15.927825752,0.007,CSP9844
r,1239.67,16.2180532922,0.007,CSP9844
r,1243.7,16.4651365179,0.004,CSP9844
r,1246.64,16.5288404669,0.004,CSP9844
r,1255.7,16.6655914768,0.006,CSP9844
r,1259.63,16.8060231906,0.006,CSP9844
B,1218.68,16.8417629963,0.007,CSP9844
B,1224.71,16.1819695837,0.01,CSP9844
B,1227.73,16.1231285594,0.007,CSP9844
B,1229.69,16.1478658793,0.005,CSP9844
B,1231.74,16.2201659683,0.006,CSP9844
B,1232.7,16.270447933,0.006,CSP9844
B,1235.66,16.4194147407,0.008,CSP9844
B,1239.67,16.7224784338,0.006,CSP9844
B,1243.7,17.1077044,0.007,CSP9844
B,1246.64,17.3719183779,0.01,CSP9844
B,1255.7,18.2557118184,0.021,CSP9844
B,1259.63,18.5033771478,0.022,CSP9844
V,1218.68,16.5589396205,0.007,CSP9844
V,1224.71,15.8841721731,0.007,CSP9844
V,1227.73,15.7992638598,0.006,CSP9844
V,1229.69,15.8053099253,0.006,CSP9844
V,1231.74,15.8367708486,0.006,CSP9844
V,1232.7,15.8634596392,0.006,CSP9844
V,1235.66,15.9708706782,0.008,CSP9844
V,1239.67,16.1796612306,0.006,CSP9844
V,1243.7,16.4027309956,0.006,CSP9844
V,1246.64,16.5504300305,0.007,CSP9844
V,1255.7,17.0082421474,0.008,CSP9844
V,1259.63,17.2281840275,0.01,CSP9844
