Filter,MJD,Mag,Sigma,Code
i,1235.63,18.1863109066,0.017,CSP9844
i,1239.64,18.4555006425,0.017,CSP9844
i,1243.66,18.6972818701,0.023,CSP9844
i,1246.61,18.586974802,0.043,CSP9844
i,1255.66,18.4344321561,0.021,CSP9844
i,1256.66,18.3859937167,0.022,CSP9844
i,1259.59,18.3920809148,0.02,CSP9844
r,1235.63,17.6888229012,0.013,CSP9844
r,1239.64,17.9352261155,0.01,CSP9844
r,1243.66,18.1858943134,0.013,CSP9844
r,1246.61,18.2251835356,0.022,CSP9844
r,1255.66,18.3235449477,0.016,CSP9844
r,1256.66,18.3677450451,0.017,CSP9844
r,1259.59,18.4737615129,0.015,CSP9844
B,1235.63,18.7700276784,0.021,CSP9844
B,1239.64,19.0545801006,0.023,CSP9844
B,1243.66,19.4691301435,0.03,CSP9844
B,1246.61,19.6919102188,0.061,CSP9844
V,1235.63,17.8555232959,0.014,CSP9844
V,1239.64,18.0521134346,0.014,CSP9844
V,1241.61,18.2227148435,0.017,CSP9844
V,1243.66,18.3363081835,0.015,CSP9844
V,1246.61,18.4654706756,0.027,CSP9844
V,1255.66,18.8129045028,0.027,CSP9844
V,1256.66,18.8984929299,0.034,CSP9844
V,1259.59,19.0345742244,0.032,CSP9844
