Filter,MJD,Mag,Sigma,Code
i,1354.78,19.7347754824,0.022,CSP9844
i,1357.83,19.7690068787,0.032,CSP9844
i,1359.78,19.9510191487,0.108,CSP9844
i,1363.7,20.1221196423,0.034,CSP9844
i,1365.79,20.2432123202,0.047,CSP9844
i,1376.7,20.4561986919,0.046,CSP9844
i,1378.8,20.4027828976,0.045,CSP9844
i,1380.79,20.134338991,0.045,CSP9844
i,1383.7,20.2361140715,0.041,CSP9844
i,1392.75,20.663170611,0.079,CSP9844
i,1411.73,21.5088008563,0.125,CSP9844
r,1354.78,19.161385627,0.012,CSP9844
r,1357.83,19.1817005767,0.017,CSP9844
r,1359.78,19.1438299006,0.062,CSP9844
r,1363.7,19.4241548973,0.017,CSP9844
r,1365.79,19.6167393515,0.026,CSP9844
r,1376.7,19.9644091608,0.026,CSP9844
r,1378.8,19.9498644639,0.034,CSP9844
r,1380.79,19.9759079728,0.03,CSP9844
r,1383.7,20.1025358052,0.033,CSP9844
r,1392.75,20.5766278696,0.059,CSP9844
r,1411.73,21.2143402046,0.06,CSP9844
B,1354.78,19.4064971742,0.016,CSP9844
B,1357.83,19.4694218475,0.027,CSP9844
B,1359.78,19.3998269591,0.067,CSP9844
B,1363.7,19.8183747728,0.043,CSP9844
B,1365.79,19.8948019516,0.044,CSP9844
B,1376.7,21.0181397896,0.071,CSP9844
B,1378.8,21.3174436954,0.118,CSP9844
B,1380.79,21.3974807223,0.12,CSP9844
B,1383.7,21.5226326139,0.141,CSP9844
V,1354.78,19.1327622253,0.014,CSP9844
V,1357.83,19.1365126575,0.021,CSP9844
V,1359.78,19.1148422374,0.053,CSP9844
V,1363.7,19.3703505454,0.029,CSP9844
V,1365.79,19.3641596634,0.028,CSP9844
V,1376.7,19.9203135851,0.028,CSP9844
V,1378.8,20.0547497932,0.056,CSP9844
V,1380.79,20.1658098735,0.058,CSP9844
V,1383.7,20.2141987141,0.053,CSP9844
