Filter,MJD,Mag,Sigma,Code
i,1362.83,19.5388164585,0.044,CSP9844
i,1363.78,19.5430813997,0.032,CSP9844
i,1364.81,19.7198513064,0.038,CSP9844
i,1365.84,19.6192419752,0.032,CSP9844
i,1368.81,19.869952861,0.064,CSP9844
i,1376.75,20.34027113,0.043,CSP9844
i,1378.84,20.2243149678,0.052,CSP9844
i,1380.82,20.2808214336,0.058,CSP9844
i,1383.74,20.1490588587,0.059,CSP9844
i,1385.83,19.9530911816,0.044,CSP9844
i,1392.8,20.2263990923,0.041,CSP9844
i,1397.71,20.7127473874,0.087,CSP9844
i,1403.81,21.0089328827,0.113,CSP9844
i,1409.83,21.232126281,0.112,CSP9844
r,1362.83,18.9894068038,0.019,CSP9844
r,1363.78,19.0591455082,0.016,CSP9844
r,1364.81,18.905747672,0.019,CSP9844
r,1365.84,19.0136891247,0.017,CSP9844
r,1368.81,19.345615383,0.065,CSP9844
r,1376.75,19.6991155164,0.019,CSP9844
r,1378.84,19.7125362374,0.031,CSP9844
r,1380.82,19.7259965907,0.025,CSP9844
r,1383.74,19.834806101,0.033,CSP9844
r,1385.83,19.7411790021,0.035,CSP9844
r,1392.8,20.1276222422,0.034,CSP9844
r,1397.71,20.3640520983,0.054,CSP9844
r,1403.81,20.7328521665,0.086,CSP9844
B,1362.83,19.2762146199,0.024,CSP9844
B,1363.78,19.2394766012,0.021,CSP9844
B,1364.81,19.2614530094,0.026,CSP9844
B,1365.84,19.2586954138,0.025,CSP9844
B,1368.81,19.5942445088,0.084,CSP9844
B,1376.75,20.2259546299,0.042,CSP9844
B,1378.84,20.3928759343,0.049,CSP9844
B,1380.82,20.7099508833,0.051,CSP9844
B,1383.74,20.9112784084,0.061,CSP9844
B,1385.83,21.3490914223,0.11,CSP9844
V,1362.83,18.9039304547,0.021,CSP9844
V,1363.78,18.990859075,0.018,CSP9844
V,1364.81,18.8801628005,0.031,CSP9844
V,1365.84,18.8117803477,0.026,CSP9844
V,1376.75,19.5880385767,0.025,CSP9844
V,1378.84,19.6718384565,0.036,CSP9844
V,1380.82,19.8398077854,0.035,CSP9844
V,1383.74,19.8766616263,0.052,CSP9844
V,1385.83,19.9545562411,0.062,CSP9844
V,1392.8,20.5189951026,0.059,CSP9844
