Filter,MJD,Mag,Sigma,Code
i,1363.82,18.04621374,0.011,CSP9844
i,1364.86,18.0429287054,0.011,CSP9844
i,1365.88,18.0785908997,0.011,CSP9844
i,1368.84,18.1468436488,0.017,CSP9844
i,1376.81,18.739309055,0.013,CSP9844
i,1378.87,18.8406202467,0.017,CSP9844
i,1380.85,18.9382527963,0.018,CSP9844
i,1383.78,18.8935767318,0.019,CSP9844
i,1385.86,18.8540475542,0.023,CSP9844
i,1392.84,18.682458024,0.018,CSP9844
i,1394.77,18.6636368161,0.017,CSP9844
i,1397.75,18.7779437405,0.02,CSP9844
i,1403.84,19.2609822169,0.03,CSP9844
i,1411.75,19.6737227885,0.03,CSP9844
i,1413.75,19.8013363659,0.047,CSP9844
i,1417.74,19.8369388182,0.037,CSP9844
i,1421.7,20.0696046455,0.039,CSP9844
i,1423.7,20.0822593455,0.054,CSP9844
i,1425.78,20.1269211096,0.095,CSP9844
r,1363.82,17.6724700108,0.014,CSP9844
r,1364.86,17.6206209888,0.011,CSP9844
r,1365.88,17.5605743402,0.011,CSP9844
r,1368.84,17.5251123013,0.014,CSP9844
r,1376.81,17.9118403632,0.009,CSP9844
r,1378.87,18.0912862711,0.014,CSP9844
r,1380.85,18.212393346,0.016,CSP9844
r,1383.78,18.3291019354,0.014,CSP9844
r,1392.84,18.4110649698,0.017,CSP9844
r,1394.77,18.5224479488,0.017,CSP9844
r,1395.82,18.583214874,0.032,CSP9844
r,1397.75,18.7101341729,0.019,CSP9844
r,1403.84,19.1690322217,0.025,CSP9844
B,1363.82,17.7325682976,0.009,CSP9844
B,1364.86,17.6875678375,0.009,CSP9844
B,1365.88,17.6626257776,0.009,CSP9844
B,1368.84,17.6939075746,0.016,CSP9844
B,1376.81,18.2337347786,0.01,CSP9844
B,1378.87,18.4641739447,0.013,CSP9844
B,1380.85,18.7227377814,0.018,CSP9844
B,1383.78,19.0059940571,0.018,CSP9844
B,1385.86,19.2491337403,0.022,CSP9844
B,1392.84,19.827174258,0.03,CSP9844
B,1394.77,19.9413580691,0.037,CSP9844
B,1397.75,20.0885269744,0.098,CSP9844
B,1403.84,20.3658932402,0.107,CSP9844
B,1411.75,20.7568862349,0.064,CSP9844
B,1413.75,20.7774513929,0.075,CSP9844
B,1417.74,20.8453759479,0.066,CSP9844
B,1421.7,20.9190893261,0.067,CSP9844
V,1363.82,17.6196886672,0.008,CSP9844
V,1364.86,17.5670817129,0.007,CSP9844
V,1365.88,17.5202289001,0.007,CSP9844
V,1368.84,17.4789942884,0.014,CSP9844
V,1376.81,17.7671312522,0.008,CSP9844
V,1378.87,17.9098929589,0.01,CSP9844
V,1380.85,18.0529157763,0.011,CSP9844
V,1383.78,18.2390751778,0.012,CSP9844
V,1385.86,18.3064464718,0.012,CSP9844
V,1392.84,18.6775556178,0.017,CSP9844
V,1394.77,18.8307163439,0.017,CSP9844
V,1395.82,18.9182406512,0.089,CSP9844
V,1397.75,18.9957406877,0.031,CSP9844
V,1403.84,19.3857924197,0.044,CSP9844
V,1411.75,19.7119793286,0.028,CSP9844
V,1413.75,19.7476894776,0.037,CSP9844
V,1417.74,19.868663143,0.033,CSP9844
V,1421.7,20.0867982078,0.036,CSP9844
