Filter,MJD,Mag,Sigma,Code
i,1363.86,18.6376890693,0.023,CSP9844
i,1376.86,19.0056069561,0.024,CSP9844
i,1378.89,19.0189840519,0.034,CSP9844
i,1380.88,18.966299389,0.025,CSP9844
i,1392.86,19.6427552873,0.066,CSP9844
i,1394.8,19.7808927704,0.049,CSP9844
i,1398.85,19.8117277488,0.073,CSP9844
i,1413.8,20.126,0.101,CSP9844
r,1363.86,18.3641703316,0.016,CSP9844
r,1364.89,18.3106052011,0.016,CSP9844
r,1368.87,18.2231887937,0.019,CSP9844
r,1376.86,18.6371203613,0.017,CSP9844
r,1378.89,18.7692145314,0.017,CSP9844
r,1380.88,18.8941249873,0.124,CSP9844
r,1392.86,19.6235204647,0.035,CSP9844
r,1394.8,19.6871306802,0.035,CSP9844
r,1398.85,19.8857724691,0.082,CSP9844
r,1409.86,20.374,0.074,CSP9844
B,1363.86,18.7644403986,0.019,CSP9844
B,1364.89,18.7375708134,0.016,CSP9844
B,1368.87,18.8184751471,0.034,CSP9844
B,1376.86,19.905755418,0.047,CSP9844
B,1392.86,21.0420433203,0.138,CSP9844
B,1394.8,21.1747202103,0.089,CSP9844
B,1395.86,21.2916022424,0.158,CSP9844
V,1363.86,18.4887145507,0.014,CSP9844
V,1364.89,18.3859855061,0.016,CSP9844
V,1368.87,18.2866417087,0.023,CSP9844
V,1376.86,18.7301967294,0.021,CSP9844
V,1380.88,19.0997179683,0.046,CSP9844
V,1385.89,19.4040299786,0.09,CSP9844
V,1392.86,20.0200425568,0.079,CSP9844
V,1394.8,20.2210933017,0.058,CSP9844
V,1395.86,20.3375603594,0.079,CSP9844
