Filter,MJD,Mag,Sigma,Code
i,1397.65,18.0629884543,0.018,CSP9844
i,1400.67,18.1247644256,0.017,CSP9844
i,1403.6,18.2314464975,0.013,CSP9844
i,1407.74,18.6689592807,0.016,CSP9844
i,1409.64,18.7506000374,0.019,CSP9844
i,1411.62,18.7390793536,0.017,CSP9844
i,1413.63,18.6265832549,0.02,CSP9844
i,1417.65,18.4868207812,0.016,CSP9844
i,1421.62,18.5529110416,0.016,CSP9844
i,1422.63,18.60560453,0.018,CSP9844
i,1423.62,18.7493920028,0.021,CSP9844
i,1427.66,19.0222445365,0.035,CSP9844
i,1430.62,19.165897327,0.029,CSP9844
i,1435.56,19.5007670004,0.028,CSP9844
i,1440.59,19.795332984,0.032,CSP9844
i,1443.66,19.8072922068,0.058,CSP9844
i,1445.62,19.8673118965,0.035,CSP9844
i,1449.58,20.0708328826,0.038,CSP9844
i,1455.56,20.3593808121,0.1,CSP9844
i,1456.57,20.4280314456,0.083,CSP9844
i,1457.56,20.3701191538,0.088,CSP9844
i,1458.55,20.41630987,0.079,CSP9844
i,1466.56,20.752,0.074,CSP9844
i,1468.56,20.658,0.073,CSP9844
i,1476.56,21.167,0.122,CSP9844
r,1397.65,17.572376004,0.013,CSP9844
r,1400.67,17.5259303976,0.01,CSP9844
r,1403.6,17.5871642529,0.009,CSP9844
r,1407.74,17.8984565657,0.009,CSP9844
r,1409.64,18.0299220635,0.012,CSP9844
r,1411.62,18.1369555081,0.01,CSP9844
r,1413.63,18.1833091862,0.009,CSP9844
r,1417.65,18.280306924,0.01,CSP9844
r,1421.62,18.4753294663,0.012,CSP9844
r,1422.63,18.5696990426,0.012,CSP9844
r,1423.62,18.6396949779,0.014,CSP9844
r,1427.66,18.9977312681,0.03,CSP9844
r,1430.62,19.196990052,0.027,CSP9844
r,1435.56,19.4147056412,0.015,CSP9844
r,1440.59,19.5824055818,0.018,CSP9844
r,1443.66,19.6985398088,0.029,CSP9844
r,1445.62,19.7792790371,0.019,CSP9844
r,1449.58,19.9422902745,0.031,CSP9844
r,1455.56,20.1580809703,0.058,CSP9844
r,1456.57,20.1878455546,0.062,CSP9844
r,1457.56,20.1652599929,0.056,CSP9844
r,1458.55,20.1831178035,0.049,CSP9844
r,1466.56,20.349,0.034,CSP9844
r,1468.56,20.413,0.036,CSP9844
r,1476.56,20.625,0.045,CSP9844
B,1397.65,17.5917527636,0.014,CSP9844
B,1400.67,17.6392038473,0.017,CSP9844
B,1403.6,17.7379304344,0.009,CSP9844
B,1407.74,18.1353604484,0.016,CSP9844
B,1409.64,18.392422979,0.014,CSP9844
B,1411.62,18.6548497945,0.013,CSP9844
B,1413.63,18.935645978,0.021,CSP9844
B,1417.65,19.4323313759,0.024,CSP9844
B,1421.62,19.8902695684,0.036,CSP9844
B,1422.63,19.9202288469,0.051,CSP9844
B,1423.62,20.0434460761,0.065,CSP9844
B,1427.66,20.4106415599,0.187,CSP9844
B,1430.62,20.5309643031,0.166,CSP9844
B,1435.56,20.607844367,0.045,CSP9844
B,1440.59,20.7585827133,0.05,CSP9844
B,1443.66,20.7509104854,0.08,CSP9844
B,1445.62,20.821600427,0.059,CSP9844
B,1449.58,20.9764347981,0.093,CSP9844
B,1466.56,21.239,0.07,CSP9844
B,1468.56,21.266,0.074,CSP9844
B,1472.54,21.344,0.091,CSP9844
V,1397.65,17.4958210359,0.015,CSP9844
V,1400.67,17.4593295595,0.013,CSP9844
V,1403.6,17.5311563098,0.009,CSP9844
V,1407.74,17.7357160333,0.011,CSP9844
V,1409.64,17.8754740791,0.012,CSP9844
V,1411.62,18.0144300743,0.011,CSP9844
V,1413.63,18.145884169,0.014,CSP9844
V,1417.65,18.4662119429,0.014,CSP9844
V,1421.62,18.7902284937,0.02,CSP9844
V,1422.63,18.8964778398,0.024,CSP9844
V,1423.62,18.9557817473,0.028,CSP9844
V,1427.66,19.1635811389,0.049,CSP9844
V,1430.62,19.3618756494,0.049,CSP9844
V,1435.56,19.5890472472,0.022,CSP9844
V,1440.59,19.728237349,0.027,CSP9844
V,1443.66,19.8628093995,0.038,CSP9844
V,1445.62,19.8998323816,0.027,CSP9844
V,1449.58,20.0438220583,0.048,CSP9844
V,1455.56,20.0895482967,0.09,CSP9844
V,1456.57,20.2188966711,0.104,CSP9844
V,1457.56,20.2958422977,0.119,CSP9844
V,1466.56,20.567,0.038,CSP9844
V,1468.56,20.54,0.044,CSP9844
V,1472.54,20.617,0.053,CSP9844
V,1476.56,20.797,0.069,CSP9844
