Filter,MJD,Mag,Sigma,Code
i,1411.79,14.3399926631,0.01,CSP9844
i,1413.82,13.8117064182,0.017,CSP9844
i,1417.72,13.3860000409,0.013,CSP9844
i,1423.73,13.5918687611,0.013,CSP9844
i,1426.66,13.7363123005,0.013,CSP9844
i,1430.67,13.7581817667,0.013,CSP9844
i,1435.66,13.7628410018,0.013,CSP9844
i,1447.66,14.6863489169,0.012,CSP9844
i,1453.64,15.0200740245,0.011,CSP9844
i,1455.62,15.1248387892,0.011,CSP9844
i,1456.67,15.1637832373,0.011,CSP9844
i,1457.63,15.220294392,0.011,CSP9844
i,1458.69,15.2613459172,0.011,CSP9844
i,1462.73,15.411,0.011,CSP9844
i,1467.63,15.626,0.011,CSP9844
i,1468.64,15.665,0.013,CSP9844
i,1470.59,15.758,0.014,CSP9844
i,1472.61,15.822,0.016,CSP9844
i,1475.61,15.948,0.012,CSP9844
i,1484.59,16.272,0.014,CSP9844
i,1497.62,16.699,0.014,CSP9844
i,1499.6,16.75,0.014,CSP9844
i,1508.61,17.021,0.014,CSP9844
r,1411.79,14.1807530409,0.008,CSP9844
r,1413.82,13.6431151817,0.016,CSP9844
r,1422.73,12.9645963461,0.006,CSP9844
r,1425.73,13.1149302706,0.004,CSP9844
r,1426.66,13.1647249662,0.006,CSP9844
r,1427.68,13.2182349617,0.008,CSP9844
r,1429.69,13.3835041601,0.005,CSP9844
r,1435.66,13.6620367377,0.007,CSP9844
r,1440.69,14.114569639,0.007,CSP9844
r,1443.73,14.4344924546,0.005,CSP9844
r,1445.73,14.5527960495,0.006,CSP9844
r,1449.7,14.7974216943,0.009,CSP9844
r,1453.64,14.9916038016,0.007,CSP9844
r,1455.62,15.0793735418,0.008,CSP9844
r,1456.67,15.1239722683,0.006,CSP9844
r,1457.63,15.158989094,0.007,CSP9844
r,1458.69,15.2280278228,0.008,CSP9844
r,1467.63,15.552,0.007,CSP9844
r,1468.64,15.587,0.008,CSP9844
r,1470.59,15.683,0.012,CSP9844
r,1476.65,15.917,0.01,CSP9844
r,1488.58,16.399,0.01,CSP9844
r,1490.58,16.477,0.009,CSP9844
r,1494.62,16.639,0.009,CSP9844
r,1499.6,16.841,0.009,CSP9844
r,1508.61,17.212,0.012,CSP9844
B,1411.79,14.1877461881,0.007,CSP9844
B,1413.82,13.6636035722,0.016,CSP9844
B,1418.75,13.1433298547,0.006,CSP9844
B,1421.72,13.1001318129,0.004,CSP9844
B,1422.73,13.1660712976,0.006,CSP9844
B,1426.66,13.5905095892,0.006,CSP9844
B,1427.68,13.7535579261,0.009,CSP9844
B,1428.72,13.9452554861,0.006,CSP9844
B,1429.69,14.0849776365,0.006,CSP9844
B,1430.67,14.270345691,0.006,CSP9844
B,1443.73,15.6650977638,0.007,CSP9844
B,1445.73,15.7540312348,0.007,CSP9844
B,1449.7,15.9183508018,0.009,CSP9844
B,1453.64,16.0563038886,0.009,CSP9844
B,1455.62,16.0977836938,0.009,CSP9844
B,1457.63,16.1705497457,0.01,CSP9844
B,1458.69,16.1850460731,0.01,CSP9844
B,1462.73,16.311,0.009,CSP9844
B,1467.63,16.424,0.009,CSP9844
B,1468.64,16.45,0.01,CSP9844
B,1470.59,16.469,0.011,CSP9844
B,1472.61,16.537,0.012,CSP9844
B,1475.61,16.569,0.011,CSP9844
B,1476.65,16.608,0.011,CSP9844
B,1484.59,16.72,0.013,CSP9844
B,1488.58,16.844,0.014,CSP9844
B,1490.58,16.869,0.01,CSP9844
B,1494.62,16.932,0.009,CSP9844
B,1497.62,16.987,0.013,CSP9844
B,1499.6,17.026,0.016,CSP9844
B,1508.61,17.203,0.013,CSP9844
V,1411.79,14.1594923774,0.006,CSP9844
V,1413.82,13.6514065616,0.016,CSP9844
V,1417.72,13.1260117335,0.006,CSP9844
V,1418.75,13.0533563334,0.008,CSP9844
V,1422.73,12.9487164829,0.006,CSP9844
V,1423.73,13.0102347682,0.008,CSP9844
V,1426.66,13.1030103853,0.006,CSP9844
V,1428.72,13.149516541,0.009,CSP9844
V,1435.66,13.9431335622,0.008,CSP9844
V,1443.73,14.6685552665,0.005,CSP9844
V,1445.73,14.7930111225,0.006,CSP9844
V,1449.7,14.9684631733,0.009,CSP9844
V,1453.64,15.1383744841,0.008,CSP9844
V,1455.62,15.2144937084,0.007,CSP9844
V,1458.69,15.3212527866,0.009,CSP9844
V,1462.73,15.465,0.007,CSP9844
V,1468.64,15.651,0.011,CSP9844
V,1484.59,16.103,0.01,CSP9844
V,1488.58,16.231,0.01,CSP9844
V,1494.62,16.396,0.009,CSP9844
V,1497.62,16.5,0.009,CSP9844
V,1499.6,16.557,0.019,CSP9844
V,1508.61,16.817,0.011,CSP9844
