Filter,MJD,Mag,Sigma,Code
i,1449.68,17.5845738891,0.01,CSP9844
i,1453.6,17.6588446042,0.011,CSP9844
i,1457.6,17.9439180824,0.016,CSP9844
i,1458.58,18.0150486929,0.016,CSP9844
i,1462.56,18.2087828183,0.012,CSP9844
i,1464.6,18.2901319043,0.013,CSP9844
i,1467.61,18.4620329654,0.017,CSP9844
i,1469.55,18.508730774,0.016,CSP9844
r,1449.68,17.4870350407,0.009,CSP9844
r,1453.6,17.7663391313,0.011,CSP9844
r,1457.6,18.0950544774,0.018,CSP9844
r,1458.58,18.1996543528,0.014,CSP9844
r,1462.56,18.3771710364,0.011,CSP9844
r,1464.6,18.4374004999,0.011,CSP9844
r,1467.61,18.502726399,0.012,CSP9844
r,1469.55,18.5769336156,0.014,CSP9844
B,1449.68,18.6932293834,0.013,CSP9844
B,1453.6,19.2005351122,0.035,CSP9844
B,1457.6,19.5050164198,0.099,CSP9844
B,1458.58,19.6485183987,0.088,CSP9844
B,1462.56,19.7538642675,0.031,CSP9844
B,1464.6,19.852101901,0.034,CSP9844
B,1467.61,19.9672020327,0.04,CSP9844
V,1449.68,17.7391294186,0.011,CSP9844
V,1453.6,18.0840680285,0.017,CSP9844
V,1457.6,18.4600608101,0.035,CSP9844
V,1458.58,18.5528715835,0.031,CSP9844
V,1462.56,18.6872605824,0.017,CSP9844
V,1464.6,18.7908708972,0.018,CSP9844
V,1467.61,18.8118314096,0.017,CSP9844
V,1469.55,18.8903358506,0.018,CSP9844
