Filter,MJD,Mag,Sigma,Code
i,1455.76,13.6780599027,0.007,CSP9844
i,1456.76,13.741950461,0.007,CSP9844
i,1457.8,13.8392781456,0.005,CSP9844
i,1458.84,13.956704903,0.012,CSP9844
i,1462.8,14.2007392887,0.006,CSP9844
i,1464.85,14.2265278514,0.009,CSP9844
i,1467.78,14.1278671235,0.007,CSP9844
i,1468.78,14.1051927103,0.008,CSP9844
i,1469.81,14.0522941103,0.007,CSP9844
i,1470.79,14.0203984698,0.008,CSP9844
i,1476.79,13.9102581502,0.006,CSP9844
i,1484.78,14.3300883215,0.01,CSP9844
i,1488.74,14.589086329,0.007,CSP9844
i,1490.81,14.6976415827,0.005,CSP9844
i,1494.86,14.8714326178,0.008,CSP9844
i,1497.79,15.0059507102,0.008,CSP9844
i,1499.77,15.0708789683,0.006,CSP9844
i,1508.87,15.4315256972,0.009,CSP9844
i,1512.8,15.5829755992,0.008,CSP9844
i,1515.77,15.6991676523,0.007,CSP9844
i,1517.77,15.7604555551,0.007,CSP9844
i,1523.79,15.9812180789,0.007,CSP9844
i,1527.77,16.095,0.01,CSP9844
i,1542.67,16.6,0.009,CSP9844
i,1549.72,16.805,0.015,CSP9844
i,1558.66,17.081,0.011,CSP9844
i,1566.77,17.287,0.011,CSP9844
i,1571.67,17.407,0.013,CSP9844
i,1578.72,17.576,0.009,CSP9844
r,1455.76,12.9345606767,0.005,CSP9844
r,1456.76,12.993286399,0.008,CSP9844
r,1457.8,13.0562096756,0.006,CSP9844
r,1458.84,13.1610224095,0.012,CSP9844
r,1462.8,13.4111688006,0.006,CSP9844
r,1464.85,13.5087522067,0.008,CSP9844
r,1467.78,13.5482524315,0.004,CSP9844
r,1468.78,13.571989661,0.007,CSP9844
r,1469.81,13.5506853581,0.006,CSP9844
r,1470.79,13.5509552995,0.007,CSP9844
r,1476.79,13.6991673062,0.005,CSP9844
r,1484.78,14.2092392009,0.008,CSP9844
r,1488.74,14.4392305551,0.006,CSP9844
r,1490.81,14.5269337689,0.004,CSP9844
r,1494.86,14.6718219648,0.006,CSP9844
r,1497.79,14.773312941,0.007,CSP9844
r,1499.77,14.8393083897,0.005,CSP9844
r,1508.87,15.1351139433,0.008,CSP9844
r,1512.8,15.2704350465,0.007,CSP9844
r,1515.77,15.3776169797,0.005,CSP9844
r,1517.77,15.428736641,0.006,CSP9844
r,1523.79,15.6349095091,0.005,CSP9844
r,1527.77,15.72,0.008,CSP9844
r,1542.67,16.201,0.008,CSP9844
r,1549.72,16.437,0.011,CSP9844
r,1558.66,16.708,0.008,CSP9844
r,1566.77,16.953,0.008,CSP9844
r,1571.67,17.082,0.009,CSP9844
r,1578.72,17.267,0.008,CSP9844
B,1455.76,13.1670946368,0.005,CSP9844
B,1456.76,13.251858545,0.007,CSP9844
B,1457.8,13.3052407665,0.005,CSP9844
B,1458.84,13.3873947583,0.009,CSP9844
B,1462.8,13.8008032144,0.006,CSP9844
B,1464.85,14.0276608045,0.009,CSP9844
B,1467.78,14.354021881,0.007,CSP9844
B,1468.78,14.4554711552,0.006,CSP9844
B,1469.81,14.5560243792,0.006,CSP9844
B,1470.79,14.654598339,0.007,CSP9844
B,1476.79,15.1809842146,0.007,CSP9844
B,1484.78,15.7070706676,0.011,CSP9844
B,1488.74,15.8527757119,0.011,CSP9844
B,1490.81,15.9036415304,0.008,CSP9844
B,1494.86,15.9668856352,0.01,CSP9844
B,1497.79,16.0128545147,0.009,CSP9844
B,1499.77,16.0379500371,0.007,CSP9844
B,1508.87,16.1519411726,0.01,CSP9844
B,1512.8,16.1914280505,0.01,CSP9844
B,1515.77,16.2228863216,0.008,CSP9844
B,1517.77,16.247197238,0.011,CSP9844
B,1523.79,16.3349569509,0.008,CSP9844
B,1527.77,16.395,0.01,CSP9844
B,1542.67,16.625,0.01,CSP9844
B,1549.72,16.741,0.019,CSP9844
B,1558.66,16.881,0.012,CSP9844
B,1566.77,17.016,0.012,CSP9844
B,1571.67,17.106,0.012,CSP9844
B,1578.72,17.196,0.009,CSP9844
V,1455.76,12.8604814401,0.006,CSP9844
V,1456.76,12.9165176108,0.009,CSP9844
V,1457.8,12.951717375,0.006,CSP9844
V,1458.84,13.0067802366,0.01,CSP9844
V,1462.8,13.2761339095,0.007,CSP9844
V,1464.85,13.3930721308,0.006,CSP9844
V,1467.78,13.5410852894,0.006,CSP9844
V,1468.78,13.595998452,0.007,CSP9844
V,1469.81,13.6365390666,0.006,CSP9844
V,1470.79,13.6860311692,0.009,CSP9844
V,1476.79,14.0050027669,0.007,CSP9844
V,1484.78,14.5663947855,0.011,CSP9844
V,1488.74,14.7295669542,0.007,CSP9844
V,1490.81,14.8044378485,0.006,CSP9844
V,1494.86,14.9296476563,0.008,CSP9844
V,1497.79,15.0111710914,0.007,CSP9844
V,1499.77,15.0696626197,0.006,CSP9844
V,1508.87,15.3057602528,0.008,CSP9844
V,1512.8,15.4031967073,0.008,CSP9844
V,1515.77,15.4868986321,0.007,CSP9844
V,1517.77,15.529752753,0.007,CSP9844
V,1523.79,15.688124931,0.006,CSP9844
V,1527.77,15.793,0.009,CSP9844
V,1532.7,15.936,0.02,CSP9844
V,1542.67,16.15,0.008,CSP9844
V,1549.72,16.309,0.012,CSP9844
V,1558.66,16.49,0.008,CSP9844
V,1566.77,16.659,0.009,CSP9844
V,1571.67,16.759,0.01,CSP9844
V,1578.72,16.893,0.009,CSP9844
