Filter,MJD,Mag,Sigma,Code
i,1458.66,16.5021534774,0.014,CSP9844
i,1462.6,16.6435022028,0.011,CSP9844
i,1464.64,16.7429129617,0.012,CSP9844
i,1466.66,16.7769987313,0.012,CSP9844
i,1468.61,16.7334303866,0.015,CSP9844
i,1470.57,16.7403650312,0.014,CSP9844
i,1472.59,16.7340586704,0.017,CSP9844
i,1475.59,16.7273243699,0.012,CSP9844
i,1476.61,16.7705264289,0.016,CSP9844
i,1480.55,16.9033326721,0.022,CSP9844
i,1486.56,17.309143148,0.014,CSP9844
i,1493.55,17.7180646827,0.016,CSP9844
i,1512.52,18.4978623748,0.038,CSP9844
r,1458.66,15.8339740657,0.009,CSP9844
r,1462.6,16.0318813519,0.01,CSP9844
r,1464.64,16.1664521107,0.011,CSP9844
r,1466.66,16.2333527087,0.012,CSP9844
r,1468.61,16.37188173,0.012,CSP9844
r,1470.57,16.4202039364,0.011,CSP9844
r,1472.59,16.5568683826,0.034,CSP9844
r,1475.59,16.598520336,0.012,CSP9844
r,1476.61,16.6739221709,0.016,CSP9844
r,1480.55,16.9584824713,0.016,CSP9844
r,1486.56,17.3661807018,0.01,CSP9844
r,1493.55,17.7085164115,0.013,CSP9844
r,1512.52,18.3777067918,0.026,CSP9844
B,1458.66,16.0112877323,0.007,CSP9844
B,1462.6,16.3532774991,0.017,CSP9844
B,1464.64,16.601699723,0.01,CSP9844
B,1468.61,17.1756900962,0.012,CSP9844
B,1469.59,17.265636007,0.022,CSP9844
B,1470.57,17.4365317782,0.013,CSP9844
B,1472.59,17.6881255363,0.016,CSP9844
B,1475.59,17.9449997113,0.016,CSP9844
B,1476.61,18.0868654842,0.016,CSP9844
B,1480.55,18.4158701277,0.037,CSP9844
B,1486.56,18.6131929541,0.031,CSP9844
V,1458.66,15.813459897,0.009,CSP9844
V,1466.66,16.1567188643,0.036,CSP9844
V,1469.59,16.3412954738,0.031,CSP9844
V,1470.57,16.4191020619,0.031,CSP9844
V,1472.59,16.5283845456,0.055,CSP9844
V,1475.59,16.8037582622,0.02,CSP9844
V,1480.55,17.2110822566,0.015,CSP9844
V,1486.56,17.6794564089,0.02,CSP9844
