Filter,MJD,Mag,Sigma,Code
i,1527.79,17.1937422321,0.011,CSP9844
i,1541.74,17.3004641898,0.013,CSP9844
i,1542.75,17.3359739906,0.009,CSP9844
i,1543.75,17.3906118127,0.011,CSP9844
i,1545.75,17.5459532101,0.013,CSP9844
i,1547.75,17.6369747188,0.018,CSP9844
i,1551.78,17.6683909952,0.019,CSP9844
i,1552.8,17.6395148524,0.01,CSP9844
i,1558.7,17.5193647678,0.012,CSP9844
i,1562.74,17.5047034684,0.009,CSP9844
i,1564.72,17.5195911449,0.012,CSP9844
i,1570.66,17.8847660669,0.011,CSP9844
i,1571.72,17.9500097457,0.013,CSP9844
i,1572.71,18.013643685,0.019,CSP9844
i,1576.67,18.2681478111,0.023,CSP9844
i,1582.7,18.5169168435,0.017,CSP9844
i,1592.69,18.8748661506,0.025,CSP9844
i,1606.6,19.3783270446,0.034,CSP9844
r,1527.79,16.8132665217,0.009,CSP9844
r,1541.74,16.5193717737,0.011,CSP9844
r,1542.75,16.5710156023,0.009,CSP9844
r,1543.75,16.6138890164,0.009,CSP9844
r,1545.75,16.7612221611,0.009,CSP9844
r,1547.75,16.9547770037,0.013,CSP9844
r,1551.78,17.0442032204,0.011,CSP9844
r,1552.8,17.1059320171,0.008,CSP9844
r,1558.7,17.174687897,0.011,CSP9844
r,1562.74,17.3147182052,0.01,CSP9844
r,1564.72,17.3997192407,0.009,CSP9844
r,1570.66,17.7780441141,0.01,CSP9844
r,1571.72,17.8405793314,0.01,CSP9844
r,1572.71,17.8929356093,0.02,CSP9844
r,1576.67,18.0976546502,0.017,CSP9844
r,1582.7,18.3361891056,0.013,CSP9844
r,1592.69,18.6599539578,0.015,CSP9844
r,1606.6,19.0660920201,0.022,CSP9844
B,1527.79,16.8023549661,0.011,CSP9844
B,1541.74,16.6307329983,0.008,CSP9844
B,1542.75,16.6902522785,0.008,CSP9844
B,1543.75,16.7644735388,0.009,CSP9844
B,1545.75,16.9285862106,0.011,CSP9844
B,1547.75,17.1287802365,0.013,CSP9844
B,1551.78,17.5720139858,0.013,CSP9844
B,1552.8,17.7159033498,0.013,CSP9844
B,1558.7,18.3145354508,0.018,CSP9844
B,1562.74,18.674555568,0.022,CSP9844
B,1564.72,18.7862224929,0.016,CSP9844
B,1570.66,19.0987696255,0.025,CSP9844
B,1571.72,19.2059649483,0.037,CSP9844
B,1572.71,19.1115316534,0.061,CSP9844
B,1576.67,19.3232210694,0.068,CSP9844
B,1582.7,19.5232187895,0.039,CSP9844
B,1592.69,19.6274559783,0.03,CSP9844
B,1606.6,19.7349833733,0.076,CSP9844
V,1527.79,16.7778128568,0.009,CSP9844
V,1541.74,16.4517311563,0.007,CSP9844
V,1542.75,16.4887192269,0.008,CSP9844
V,1543.75,16.5239440632,0.009,CSP9844
V,1545.75,16.6212876916,0.009,CSP9844
V,1547.75,16.7262545652,0.011,CSP9844
V,1551.78,16.9643054495,0.009,CSP9844
V,1552.8,17.0479628564,0.009,CSP9844
V,1558.7,17.3656053387,0.012,CSP9844
V,1562.74,17.616647526,0.012,CSP9844
V,1564.72,17.722551961,0.012,CSP9844
V,1570.66,18.1017874055,0.013,CSP9844
V,1571.72,18.1966193461,0.021,CSP9844
V,1572.71,18.1537068793,0.023,CSP9844
V,1576.67,18.3434142527,0.027,CSP9844
V,1582.7,18.5053071207,0.016,CSP9844
V,1592.69,18.7655147741,0.018,CSP9844
V,1606.6,19.1056437161,0.033,CSP9844
