Filter,MJD,Mag,Sigma,Code
i,1542.56,16.168176988,0.009,CSP9844
i,1543.6,16.0819252578,0.006,CSP9844
i,1545.68,15.9754129895,0.011,CSP9844
i,1548.58,15.9984565036,0.005,CSP9844
i,1549.58,16.0444460559,0.006,CSP9844
i,1551.69,16.0983681716,0.007,CSP9844
i,1552.69,16.1900298351,0.005,CSP9844
i,1562.61,16.7784302051,0.011,CSP9844
i,1569.72,16.8586252183,0.008,CSP9844
i,1571.53,16.803822878,0.01,CSP9844
i,1573.56,16.7309366527,0.008,CSP9844
i,1574.63,16.7213455982,0.007,CSP9844
i,1576.56,16.6464312274,0.009,CSP9844
i,1582.58,16.6844485634,0.007,CSP9844
i,1589.57,17.1460567454,0.008,CSP9844
i,1592.54,17.309934013,0.01,CSP9844
i,1595.65,17.4709459684,0.008,CSP9844
i,1606.5,17.9207461241,0.014,CSP9844
i,1618.51,18.4177974975,0.022,CSP9844
i,1626.48,18.658938437,0.022,CSP9844
i,1644.46,19.177,0.049,CSP9844
i,1646.46,19.236,0.034,CSP9844
r,1543.6,15.7974781341,0.007,CSP9844
r,1545.68,15.6302696672,0.008,CSP9844
r,1547.59,15.5573436663,0.011,CSP9844
r,1548.58,15.5071183895,0.004,CSP9844
r,1549.58,15.4771208608,0.006,CSP9844
r,1551.69,15.4703112738,0.004,CSP9844
r,1552.69,15.5168807881,0.004,CSP9844
r,1573.56,16.3191670398,0.004,CSP9844
r,1574.63,16.3427438157,0.005,CSP9844
r,1575.6,16.321647406,0.011,CSP9844
r,1576.56,16.3624233174,0.008,CSP9844
r,1589.57,17.0673370378,0.006,CSP9844
r,1618.51,18.1134336172,0.013,CSP9844
r,1626.48,18.3831364899,0.016,CSP9844
r,1644.46,18.854,0.031,CSP9844
r,1646.46,18.852,0.024,CSP9844
B,1541.67,16.2448954809,0.008,CSP9844
B,1542.56,16.10715157,0.005,CSP9844
B,1543.6,15.9725936744,0.004,CSP9844
B,1545.68,15.7832772955,0.007,CSP9844
B,1547.59,15.6847584778,0.007,CSP9844
B,1548.58,15.6750852391,0.004,CSP9844
B,1549.58,15.668139364,0.005,CSP9844
B,1551.69,15.7020176318,0.004,CSP9844
B,1552.69,15.7271668572,0.004,CSP9844
B,1558.56,15.9968552944,0.007,CSP9844
B,1560.62,16.143119936,0.005,CSP9844
B,1562.61,16.3258889243,0.006,CSP9844
B,1564.62,16.5227723927,0.004,CSP9844
B,1566.63,16.7340959804,0.006,CSP9844
B,1568.6,16.9378440192,0.006,CSP9844
B,1569.72,17.0477942389,0.005,CSP9844
B,1570.55,17.1217152364,0.006,CSP9844
B,1573.56,17.4103213806,0.008,CSP9844
B,1574.63,17.5065631835,0.012,CSP9844
B,1575.6,17.6200343734,0.011,CSP9844
B,1576.56,17.7042610359,0.014,CSP9844
B,1582.58,18.162693805,0.009,CSP9844
B,1589.57,18.484128702,0.012,CSP9844
B,1592.54,18.582467528,0.013,CSP9844
B,1595.65,18.6871502691,0.013,CSP9844
B,1606.5,18.8841923986,0.109,CSP9844
B,1618.51,19.0087243947,0.016,CSP9844
B,1626.48,19.1343111553,0.019,CSP9844
B,1644.46,19.445,0.024,CSP9844
B,1646.46,19.477,0.02,CSP9844
V,1542.56,15.9610600061,0.006,CSP9844
V,1543.6,15.8414998225,0.006,CSP9844
V,1545.68,15.6444536885,0.007,CSP9844
V,1547.59,15.532985428,0.009,CSP9844
V,1548.58,15.508945411,0.004,CSP9844
V,1549.58,15.4899702494,0.006,CSP9844
V,1551.69,15.4747809649,0.006,CSP9844
V,1552.69,15.486411242,0.004,CSP9844
V,1560.62,15.7737154947,0.007,CSP9844
V,1564.62,16.0252666145,0.005,CSP9844
V,1570.55,16.3216338578,0.005,CSP9844
V,1573.56,16.4415242118,0.006,CSP9844
V,1574.63,16.5051123597,0.007,CSP9844
V,1575.6,16.5518036548,0.01,CSP9844
V,1576.56,16.5884177049,0.007,CSP9844
V,1582.58,16.9490419518,0.007,CSP9844
V,1589.57,17.3833594818,0.008,CSP9844
V,1592.54,17.4785779539,0.009,CSP9844
V,1595.65,17.6144539519,0.007,CSP9844
V,1606.5,17.8926879341,0.014,CSP9844
V,1618.51,18.2366014096,0.012,CSP9844
V,1626.48,18.4418360026,0.012,CSP9844
V,1644.46,18.909,0.02,CSP9844
