Filter,MJD,Mag,Sigma,Code
i,1562.49,17.5047278072,0.008,CSP9844
i,1566.52,17.6106833199,0.012,CSP9844
i,1568.49,17.665105443,0.01,CSP9844
i,1569.51,17.7150842359,0.012,CSP9844
i,1570.49,17.7501767412,0.01,CSP9844
i,1572.48,17.8588373616,0.011,CSP9844
i,1573.5,17.9369377081,0.011,CSP9844
i,1574.47,18.0287020354,0.016,CSP9844
i,1575.5,18.1073486266,0.012,CSP9844
i,1576.48,18.1534360697,0.013,CSP9844
i,1580.49,18.2193469653,0.013,CSP9844
i,1589.51,18.0474762582,0.01,CSP9844
i,1591.47,18.0378999178,0.017,CSP9844
i,1595.48,18.0599274176,0.011,CSP9844
i,1599.48,18.3119735221,0.013,CSP9844
i,1606.46,18.7594085306,0.023,CSP9844
r,1562.49,16.942962304,0.005,CSP9844
r,1566.52,16.8958009685,0.009,CSP9844
r,1568.49,16.9450621497,0.007,CSP9844
r,1569.51,16.9832885908,0.006,CSP9844
r,1570.49,17.0276169852,0.006,CSP9844
r,1572.48,17.1184551217,0.007,CSP9844
r,1573.5,17.1872682578,0.006,CSP9844
r,1574.47,17.2513740169,0.008,CSP9844
r,1575.5,17.3200664809,0.009,CSP9844
r,1576.48,17.3992309878,0.007,CSP9844
r,1580.49,17.5789894515,0.008,CSP9844
r,1589.51,17.7151104925,0.007,CSP9844
r,1591.47,17.7778399157,0.011,CSP9844
r,1595.48,17.9492309175,0.008,CSP9844
r,1599.48,18.2324090342,0.009,CSP9844
r,1606.46,18.6097318897,0.02,CSP9844
B,1562.49,17.0230710468,0.006,CSP9844
B,1564.48,17.0790994877,0.006,CSP9844
B,1566.52,17.1298915706,0.009,CSP9844
B,1568.49,17.1824707872,0.008,CSP9844
B,1569.51,17.2335450954,0.008,CSP9844
B,1570.49,17.2998205236,0.007,CSP9844
B,1572.48,17.437919804,0.008,CSP9844
B,1573.5,17.5004537675,0.009,CSP9844
B,1574.47,17.5829599728,0.01,CSP9844
B,1575.5,17.697120817,0.011,CSP9844
B,1576.48,17.7956800719,0.012,CSP9844
B,1580.49,18.1932240274,0.01,CSP9844
B,1589.51,19.0368043748,0.017,CSP9844
B,1591.47,19.1980397797,0.017,CSP9844
B,1595.48,19.4813118574,0.024,CSP9844
B,1599.48,19.7081622716,0.035,CSP9844
V,1562.49,16.9296737591,0.005,CSP9844
V,1566.52,16.9287759501,0.008,CSP9844
V,1568.49,16.9607315415,0.007,CSP9844
V,1569.51,16.985917575,0.006,CSP9844
V,1570.49,17.0189987727,0.007,CSP9844
V,1572.48,17.1033650226,0.007,CSP9844
V,1573.5,17.1354337021,0.006,CSP9844
V,1574.47,17.1825009598,0.01,CSP9844
V,1575.5,17.2364705849,0.01,CSP9844
V,1576.48,17.3013481474,0.009,CSP9844
V,1580.49,17.5497349833,0.008,CSP9844
V,1589.51,17.9821650465,0.01,CSP9844
V,1591.47,18.0698431536,0.013,CSP9844
V,1595.48,18.2947282842,0.012,CSP9844
V,1599.48,18.5529025047,0.016,CSP9844
V,1606.46,18.8608096237,0.031,CSP9844
