Filter,MJD,Mag,Sigma,Code
i,1571.61,16.5575060293,0.007,CSP9844
i,1572.68,16.5363281041,0.008,CSP9844
i,1575.69,16.5551872033,0.01,CSP9844
i,1578.64,16.6583124713,0.02,CSP9844
i,1582.66,16.7762737635,0.01,CSP9844
i,1589.62,17.0815338973,0.01,CSP9844
i,1591.59,17.1885034013,0.012,CSP9844
i,1597.62,17.775491182,0.013,CSP9844
i,1606.53,18.2942862048,0.019,CSP9844
i,1618.53,18.8057334978,0.026,CSP9844
i,1624.56,19.088161652,0.03,CSP9844
i,1630.54,19.3269750045,0.044,CSP9844
i,1644.52,19.658,0.052,CSP9844
i,1651.47,19.912,0.051,CSP9844
r,1571.61,16.4022917855,0.007,CSP9844
r,1572.68,16.3375631057,0.007,CSP9844
r,1575.69,16.2800651998,0.008,CSP9844
r,1578.64,16.3782083876,0.011,CSP9844
r,1582.66,16.6598944318,0.01,CSP9844
r,1589.62,17.1756858075,0.009,CSP9844
r,1591.59,17.3327775432,0.014,CSP9844
r,1597.62,17.8675358902,0.011,CSP9844
r,1606.53,18.3756090494,0.017,CSP9844
r,1618.53,18.8974035464,0.017,CSP9844
r,1624.56,19.1559045852,0.024,CSP9844
r,1630.54,19.3269166433,0.029,CSP9844
r,1644.52,19.92,0.044,CSP9844
r,1651.47,20.176,0.041,CSP9844
B,1571.61,16.9453151172,0.009,CSP9844
B,1572.68,16.9339234783,0.011,CSP9844
B,1575.69,17.1216494613,0.013,CSP9844
B,1578.64,17.5247335614,0.011,CSP9844
B,1582.66,18.2141463608,0.016,CSP9844
B,1589.62,18.9159061659,0.022,CSP9844
B,1591.59,19.0152360327,0.021,CSP9844
B,1597.62,19.3673824248,0.026,CSP9844
B,1606.53,19.7200104386,0.087,CSP9844
B,1618.53,19.9283038001,0.041,CSP9844
B,1624.56,20.075870959,0.044,CSP9844
B,1630.54,20.0849340511,0.089,CSP9844
B,1644.52,20.469,0.074,CSP9844
V,1571.61,16.477616649,0.006,CSP9844
V,1572.68,16.4234738631,0.007,CSP9844
V,1575.69,16.3975079318,0.008,CSP9844
V,1578.64,16.5438141121,0.007,CSP9844
V,1582.66,16.9756042223,0.009,CSP9844
V,1589.62,17.6126890104,0.01,CSP9844
V,1591.59,17.7786758394,0.014,CSP9844
V,1597.62,18.1669584783,0.008,CSP9844
V,1606.53,18.5165202555,0.024,CSP9844
V,1618.53,18.9661105776,0.024,CSP9844
V,1624.56,19.1346363961,0.025,CSP9844
V,1630.54,19.2369008424,0.035,CSP9844
V,1644.52,19.678,0.045,CSP9844
V,1651.47,19.99,0.031,CSP9844
