Filter,MJD,Mag,Sigma,Code
i,1595.77,18.0520640107,0.009,CSP9844
i,1597.76,18.1571607555,0.011,CSP9844
i,1599.68,18.2084800472,0.01,CSP9844
i,1606.69,18.6560642114,0.021,CSP9844
i,1616.65,18.875856464,0.016,CSP9844
i,1624.68,18.7046180209,0.015,CSP9844
i,1626.65,18.6829742988,0.015,CSP9844
i,1628.69,18.6710549422,0.015,CSP9844
i,1630.65,18.7530123459,0.019,CSP9844
i,1644.6,19.4995699782,0.119,CSP9844
i,1648.67,19.6524991924,0.035,CSP9844
i,1653.64,19.9018717085,0.041,CSP9844
i,1654.65,19.8468024336,0.034,CSP9844
r,1595.77,17.3444298028,0.006,CSP9844
r,1597.76,17.356613311,0.005,CSP9844
r,1599.68,17.4060479646,0.007,CSP9844
r,1606.69,17.8186596196,0.013,CSP9844
r,1616.65,18.1739134498,0.007,CSP9844
r,1624.68,18.2758487305,0.008,CSP9844
r,1626.65,18.3203966872,0.009,CSP9844
r,1628.69,18.4007801858,0.01,CSP9844
r,1630.65,18.506303193,0.014,CSP9844
r,1644.6,19.193290631,0.018,CSP9844
r,1648.67,19.3813524274,0.015,CSP9844
r,1653.64,19.5301433155,0.018,CSP9844
r,1654.65,19.6046920992,0.019,CSP9844
B,1595.77,17.2806456504,0.007,CSP9844
B,1597.76,17.3304902946,0.007,CSP9844
B,1599.68,17.4139858395,0.007,CSP9844
B,1606.69,17.8308515713,0.015,CSP9844
B,1616.65,18.6711512215,0.017,CSP9844
B,1624.68,19.3277253135,0.019,CSP9844
B,1626.65,19.4880132868,0.022,CSP9844
B,1628.69,19.6291484852,0.028,CSP9844
B,1630.65,19.7730688462,0.056,CSP9844
B,1644.6,20.1448944438,0.036,CSP9844
B,1648.67,20.2277146617,0.032,CSP9844
B,1653.64,20.3722895841,0.036,CSP9844
B,1654.65,20.4017363066,0.041,CSP9844
V,1595.77,17.2243633264,0.006,CSP9844
V,1597.76,17.2465452671,0.005,CSP9844
V,1599.68,17.2807990935,0.007,CSP9844
V,1606.69,17.5896612734,0.013,CSP9844
V,1616.65,18.093011209,0.01,CSP9844
V,1624.68,18.4308991277,0.012,CSP9844
V,1626.65,18.5354839899,0.013,CSP9844
V,1628.69,18.6455366066,0.016,CSP9844
V,1630.65,18.7142056057,0.022,CSP9844
V,1644.6,19.30572043,0.024,CSP9844
V,1648.67,19.4482949178,0.025,CSP9844
V,1653.64,19.5693602399,0.03,CSP9844
V,1654.65,19.6045663447,0.03,CSP9844
