Filter,MJD,Mag,Sigma,Code
i,1725.83,14.0308657719,0.006,CSP9844
i,1726.83,13.9966704664,0.006,CSP9844
i,1728.82,13.9853152037,0.006,CSP9844
i,1729.81,14.0267341452,0.006,CSP9844
i,1732.83,14.12007937,0.006,CSP9844
i,1740.81,14.5610757604,0.005,CSP9844
i,1744.83,14.8614105714,0.007,CSP9844
i,1747.81,14.8657151119,0.006,CSP9844
i,1749.81,14.8046971504,0.006,CSP9844
i,1751.8,14.7424027563,0.007,CSP9844
i,1752.87,14.7225315548,0.007,CSP9844
i,1753.88,14.6644923517,0.006,CSP9844
i,1759.85,14.6014324454,0.009,CSP9844
i,1760.81,14.6230510525,0.008,CSP9844
i,1765.84,14.9463577519,0.006,CSP9844
i,1768.82,15.1288416682,0.01,CSP9844
i,1770.8,15.2360013524,0.006,CSP9844
i,1779.83,15.634700849,0.01,CSP9844
i,1781.83,15.7095570376,0.009,CSP9844
i,1783.81,15.7884860769,0.008,CSP9844
i,1790.84,16.0678360269,0.01,CSP9844
i,1792.77,16.1464855877,0.011,CSP9844
i,1795.77,16.2901499996,0.013,CSP9844
i,1797.86,16.3333838655,0.008,CSP9844
i,1803.83,16.5837703462,0.007,CSP9844
i,1809.73,16.761,0.01,CSP9844
i,1813.83,16.945,0.009,CSP9844
i,1814.72,16.95,0.011,CSP9844
i,1820.73,17.138,0.013,CSP9844
r,1725.83,14.043796437,0.004,CSP9844
r,1726.83,13.9727287419,0.005,CSP9844
r,1728.82,13.9043526167,0.006,CSP9844
r,1729.81,13.8567373688,0.006,CSP9844
r,1732.83,13.8450583152,0.006,CSP9844
r,1740.81,14.157063027,0.004,CSP9844
r,1744.83,14.4710142372,0.006,CSP9844
r,1747.81,14.5788675117,0.005,CSP9844
r,1749.81,14.6051848728,0.004,CSP9844
r,1751.8,14.6200995907,0.006,CSP9844
r,1752.87,14.589095243,0.007,CSP9844
r,1753.88,14.6376301674,0.005,CSP9844
r,1759.85,14.8110214947,0.008,CSP9844
r,1760.81,14.8569590868,0.007,CSP9844
r,1765.84,15.1666749262,0.004,CSP9844
r,1768.82,15.3871453209,0.01,CSP9844
r,1770.8,15.4384470511,0.004,CSP9844
r,1779.83,15.7818995476,0.009,CSP9844
r,1781.83,15.8502014369,0.008,CSP9844
r,1783.81,15.9254492838,0.008,CSP9844
r,1790.84,16.1743303209,0.009,CSP9844
r,1792.77,16.2268157243,0.009,CSP9844
r,1795.77,16.330865455,0.014,CSP9844
r,1803.83,16.6635404892,0.006,CSP9844
r,1809.73,16.755,0.009,CSP9844
r,1813.83,16.96,0.008,CSP9844
r,1814.72,16.906,0.009,CSP9844
r,1820.73,17.084,0.011,CSP9844
B,1724.84,14.8749331612,0.007,CSP9844
B,1725.83,14.768202884,0.007,CSP9844
B,1726.83,14.6988071969,0.006,CSP9844
B,1728.82,14.6392154179,0.008,CSP9844
B,1732.83,14.6426769544,0.007,CSP9844
B,1740.81,15.0252032061,0.005,CSP9844
B,1744.83,15.4020278499,0.006,CSP9844
B,1747.81,15.7249689872,0.007,CSP9844
B,1749.81,15.9219185989,0.006,CSP9844
B,1751.8,16.1582401469,0.024,CSP9844
B,1752.87,16.2284875952,0.007,CSP9844
B,1753.88,16.3341948937,0.008,CSP9844
B,1759.85,16.9254608532,0.009,CSP9844
B,1760.81,16.9668257522,0.009,CSP9844
B,1765.84,17.2682752279,0.007,CSP9844
B,1768.82,17.4044160941,0.011,CSP9844
B,1770.8,17.4627537088,0.009,CSP9844
B,1779.83,17.6435143441,0.009,CSP9844
B,1781.83,17.6567416638,0.009,CSP9844
B,1783.81,17.6847308146,0.011,CSP9844
B,1790.84,17.7928232557,0.01,CSP9844
B,1792.77,17.8292604818,0.011,CSP9844
B,1795.77,17.8267694367,0.011,CSP9844
B,1797.86,17.9008204392,0.009,CSP9844
B,1803.83,18.0060367144,0.009,CSP9844
B,1809.73,18.087,0.01,CSP9844
B,1813.83,18.148,0.015,CSP9844
B,1814.72,18.18,0.015,CSP9844
B,1820.73,18.245,0.011,CSP9844
V,1724.84,14.2455805026,0.007,CSP9844
V,1725.83,14.193892355,0.006,CSP9844
V,1726.83,14.1333171285,0.006,CSP9844
V,1728.82,14.0159875521,0.007,CSP9844
V,1729.81,13.9824651735,0.006,CSP9844
V,1732.83,13.9981193209,0.006,CSP9844
V,1740.81,14.2045275915,0.004,CSP9844
V,1744.83,14.5028854162,0.006,CSP9844
V,1747.81,14.6790537813,0.006,CSP9844
V,1749.81,14.7855734271,0.005,CSP9844
V,1751.8,14.8929503332,0.013,CSP9844
V,1752.87,14.9322860678,0.005,CSP9844
V,1753.88,14.9203655173,0.006,CSP9844
V,1759.85,15.2912827397,0.006,CSP9844
V,1760.81,15.352960278,0.007,CSP9844
V,1765.84,15.6472082727,0.004,CSP9844
V,1768.82,15.7991022441,0.008,CSP9844
V,1770.8,15.9091625732,0.005,CSP9844
V,1779.83,16.1284971015,0.009,CSP9844
V,1781.83,16.1912016625,0.009,CSP9844
V,1783.81,16.2534466294,0.008,CSP9844
V,1790.84,16.4403384454,0.008,CSP9844
V,1792.77,16.4855508386,0.01,CSP9844
V,1795.77,16.5560065972,0.011,CSP9844
V,1797.86,16.6404772847,0.009,CSP9844
V,1803.83,16.7908426891,0.008,CSP9844
V,1809.73,16.959,0.009,CSP9844
V,1813.83,17.054,0.009,CSP9844
V,1814.72,17.073,0.009,CSP9844
V,1820.73,17.218,0.01,CSP9844
