Filter,MJD,Mag,Sigma,Code
i,1740.72,17.9918190693,0.01,CSP9844
i,1744.7,18.341378435,0.013,CSP9844
i,1747.69,18.5280358924,0.013,CSP9844
i,1749.67,18.5521492805,0.016,CSP9844
i,1755.66,18.4369791264,0.021,CSP9844
i,1756.69,18.4191054102,0.015,CSP9844
i,1759.65,18.3423875589,0.011,CSP9844
i,1760.64,18.3223276941,0.01,CSP9844
i,1765.66,18.3623776278,0.016,CSP9844
i,1766.66,18.4161010375,0.013,CSP9844
i,1772.64,18.6971521505,0.015,CSP9844
i,1779.62,19.114831137,0.023,CSP9844
i,1783.63,19.3253456127,0.049,CSP9844
i,1789.63,19.4828857097,0.023,CSP9844
i,1793.56,19.6316333557,0.025,CSP9844
i,1798.62,19.9200901869,0.041,CSP9844
i,1801.64,19.9501232725,0.041,CSP9844
i,1807.57,20.0737273886,0.062,CSP9844
r,1740.72,17.2325155383,0.007,CSP9844
r,1744.7,17.4966751808,0.009,CSP9844
r,1747.69,17.6904164594,0.009,CSP9844
r,1749.67,17.7809056401,0.009,CSP9844
r,1751.67,17.8631484218,0.063,CSP9844
r,1755.66,17.874060414,0.014,CSP9844
r,1756.69,17.8970855605,0.012,CSP9844
r,1759.65,17.9220406027,0.009,CSP9844
r,1760.64,17.9676954095,0.009,CSP9844
r,1765.66,18.1691601085,0.008,CSP9844
r,1766.66,18.1998568502,0.009,CSP9844
r,1772.64,18.5486311606,0.009,CSP9844
r,1779.62,18.8542716428,0.017,CSP9844
r,1783.63,18.984938702,0.029,CSP9844
r,1789.63,19.2337005767,0.013,CSP9844
r,1793.56,19.3360218445,0.016,CSP9844
r,1798.62,19.4545790156,0.017,CSP9844
r,1801.64,19.5504734987,0.016,CSP9844
r,1807.57,19.7567740485,0.036,CSP9844
B,1740.72,17.2375167376,0.009,CSP9844
B,1742.76,17.4245689132,0.012,CSP9844
B,1744.7,17.5167233129,0.014,CSP9844
B,1747.69,17.8050858064,0.013,CSP9844
B,1749.67,17.9927668823,0.014,CSP9844
B,1752.67,18.2651540426,0.102,CSP9844
B,1755.66,18.6368423655,0.032,CSP9844
B,1756.69,18.7110505444,0.029,CSP9844
B,1759.65,18.9893247493,0.016,CSP9844
B,1760.64,19.147673528,0.018,CSP9844
B,1765.66,19.5586162995,0.031,CSP9844
B,1766.66,19.5268670005,0.023,CSP9844
B,1772.64,19.7978694153,0.025,CSP9844
B,1779.62,19.9607627191,0.056,CSP9844
B,1783.63,20.1035929245,0.133,CSP9844
B,1789.63,20.2329821312,0.032,CSP9844
B,1793.56,20.2803525347,0.03,CSP9844
B,1798.62,20.373688327,0.041,CSP9844
B,1801.64,20.3594229825,0.035,CSP9844
B,1807.57,20.5586682482,0.146,CSP9844
V,1740.72,17.1103321111,0.009,CSP9844
V,1742.76,17.1735795307,0.013,CSP9844
V,1744.7,17.2713114412,0.01,CSP9844
V,1747.69,17.4609737318,0.012,CSP9844
V,1749.67,17.5584830691,0.011,CSP9844
V,1751.67,17.6410024225,0.071,CSP9844
V,1752.67,17.8156160178,0.043,CSP9844
V,1755.66,17.8473337534,0.018,CSP9844
V,1756.69,17.8921366318,0.018,CSP9844
V,1759.65,18.0682128599,0.014,CSP9844
V,1760.64,18.090021224,0.012,CSP9844
V,1765.66,18.4415046557,0.018,CSP9844
V,1766.66,18.3964153219,0.014,CSP9844
V,1772.64,18.7086973109,0.016,CSP9844
V,1779.62,19.0311088427,0.032,CSP9844
V,1783.63,18.9943200665,0.057,CSP9844
V,1789.63,19.2694072738,0.021,CSP9844
V,1793.56,19.349579886,0.02,CSP9844
V,1798.62,19.4996186733,0.024,CSP9844
V,1801.64,19.5607116611,0.023,CSP9844
V,1807.57,19.8878357866,0.062,CSP9844
