Filter,MJD,Mag,Sigma,Code
i,1740.75,18.9674150399,0.026,CSP9844
i,1744.74,19.2053001608,0.029,CSP9844
i,1747.75,19.2019680209,0.038,CSP9844
i,1749.73,19.1133901548,0.03,CSP9844
i,1752.79,18.993750805,0.03,CSP9844
i,1753.81,18.945551217,0.035,CSP9844
i,1756.85,18.9288141573,0.02,CSP9844
i,1759.79,19.0896241748,0.028,CSP9844
i,1760.78,19.1513634982,0.039,CSP9844
i,1765.79,19.5923114791,0.042,CSP9844
i,1766.79,19.6769369461,0.042,CSP9844
i,1770.69,19.7505242146,0.043,CSP9844
i,1772.81,19.7338262761,0.055,CSP9844
i,1776.78,19.9594683611,0.043,CSP9844
i,1783.77,20.3530400027,0.088,CSP9844
i,1790.79,20.6504797277,0.072,CSP9844
i,1793.78,21.0653906521,0.11,CSP9844
r,1740.75,18.1303341176,0.011,CSP9844
r,1744.74,18.4473009049,0.017,CSP9844
r,1747.75,18.5643130246,0.018,CSP9844
r,1749.73,18.602510561,0.018,CSP9844
r,1751.76,18.6120172356,0.102,CSP9844
r,1752.79,18.5847400866,0.017,CSP9844
r,1753.81,18.5955665632,0.022,CSP9844
r,1756.85,18.8721233296,0.023,CSP9844
r,1759.79,19.054703391,0.021,CSP9844
r,1760.78,19.1409063355,0.023,CSP9844
r,1765.79,19.4406737902,0.026,CSP9844
r,1770.69,19.6569234958,0.025,CSP9844
r,1772.81,19.7520240944,0.036,CSP9844
r,1776.78,19.9001708643,0.034,CSP9844
r,1779.8,20.0263568676,0.034,CSP9844
r,1783.77,20.2411523458,0.062,CSP9844
r,1793.78,20.5505577876,0.04,CSP9844
r,1797.81,20.7582637054,0.055,CSP9844
r,1817.67,21.24,0.102,CSP9844
B,1740.75,18.1739859796,0.016,CSP9844
B,1744.74,18.6400403126,0.024,CSP9844
B,1747.75,18.9559873071,0.025,CSP9844
B,1749.73,19.1901772949,0.035,CSP9844
B,1752.79,19.468901893,0.074,CSP9844
B,1753.81,19.6775042671,0.092,CSP9844
B,1756.85,19.9277547039,0.093,CSP9844
B,1759.79,20.3073497307,0.071,CSP9844
V,1740.75,17.9633496492,0.013,CSP9844
V,1744.74,18.2263825329,0.015,CSP9844
V,1747.75,18.3989375029,0.016,CSP9844
V,1749.73,18.565110956,0.018,CSP9844
V,1752.79,18.6977994142,0.031,CSP9844
V,1753.81,18.7432666436,0.04,CSP9844
V,1756.85,19.088263753,0.028,CSP9844
V,1759.79,19.3896075597,0.029,CSP9844
V,1760.78,19.4412705371,0.031,CSP9844
V,1765.79,19.8532785482,0.056,CSP9844
V,1766.79,19.8587439154,0.043,CSP9844
V,1770.69,19.7096147072,0.057,CSP9844
V,1772.81,20.040183572,0.054,CSP9844
V,1776.78,20.1434106522,0.05,CSP9844
V,1779.8,20.2479174791,0.049,CSP9844
V,1783.77,20.4813227642,0.14,CSP9844
V,1790.79,20.5951064306,0.061,CSP9844
V,1793.78,20.6447298571,0.064,CSP9844
V,1797.81,20.6444878409,0.06,CSP9844
V,1817.67,20.918,0.074,CSP9844
