Filter,MJD,Mag,Sigma,Code
i,1765.7,17.4141060262,0.009,CSP9844
i,1766.71,17.4676453411,0.007,CSP9844
i,1768.61,17.5179555455,0.008,CSP9844
i,1770.6,17.5116982983,0.009,CSP9844
i,1772.68,17.5831194607,0.009,CSP9844
i,1776.64,17.9900458504,0.011,CSP9844
i,1779.59,18.2197201252,0.013,CSP9844
i,1781.62,18.2549786391,0.049,CSP9844
i,1783.67,18.1950822248,0.018,CSP9844
i,1789.68,18.0004942256,0.012,CSP9844
i,1792.56,17.9715206952,0.011,CSP9844
i,1795.63,18.1376493505,0.014,CSP9844
i,1801.71,18.6303106304,0.017,CSP9844
i,1802.6,18.6332359845,0.016,CSP9844
i,1806.6,18.8504088342,0.019,CSP9844
i,1809.63,19.0537032001,0.044,CSP9844
i,1814.57,19.2213580381,0.026,CSP9844
i,1818.57,19.3741504194,0.028,CSP9844
i,1820.59,19.4772845542,0.03,CSP9844
i,1824.55,19.6542847249,0.045,CSP9844
i,1831.58,19.9338369699,0.034,CSP9844
i,1844.55,20.296,0.075,CSP9844
r,1765.7,16.9845229065,0.006,CSP9844
r,1766.71,16.9501285943,0.005,CSP9844
r,1768.61,16.8950457378,0.005,CSP9844
r,1770.6,16.8889518562,0.007,CSP9844
r,1772.68,16.9228589146,0.007,CSP9844
r,1776.64,17.1964455698,0.006,CSP9844
r,1779.59,17.4462367041,0.008,CSP9844
r,1781.62,17.5656596801,0.019,CSP9844
r,1783.67,17.6183277918,0.012,CSP9844
r,1789.68,17.6907594204,0.009,CSP9844
r,1792.56,17.8015080048,0.011,CSP9844
r,1795.63,18.043639508,0.01,CSP9844
r,1801.71,18.5008769504,0.011,CSP9844
r,1802.6,18.5228702665,0.011,CSP9844
r,1806.6,18.6925078347,0.013,CSP9844
r,1809.63,18.8420884566,0.027,CSP9844
r,1814.57,19.015523465,0.016,CSP9844
r,1818.57,19.1480894988,0.016,CSP9844
r,1820.59,19.2410120743,0.016,CSP9844
r,1824.55,19.393611378,0.018,CSP9844
r,1831.58,19.5413846662,0.019,CSP9844
r,1844.55,19.866,0.041,CSP9844
B,1765.7,16.9937024891,0.007,CSP9844
B,1766.71,16.9560149904,0.006,CSP9844
B,1768.61,16.936055164,0.007,CSP9844
B,1770.6,16.9721984722,0.008,CSP9844
B,1772.68,17.0786510575,0.008,CSP9844
B,1776.64,17.3862206964,0.008,CSP9844
B,1779.59,17.6902071411,0.012,CSP9844
B,1781.62,17.9271046481,0.025,CSP9844
B,1783.67,18.1721966955,0.03,CSP9844
B,1789.68,18.9004132312,0.016,CSP9844
B,1792.56,19.1830842339,0.018,CSP9844
B,1795.63,19.4598534802,0.023,CSP9844
B,1801.71,19.8580529053,0.036,CSP9844
B,1802.6,19.8713316482,0.03,CSP9844
B,1806.6,19.9317141462,0.053,CSP9844
B,1818.57,20.1725393838,0.042,CSP9844
B,1820.59,20.1598301831,0.036,CSP9844
B,1824.55,20.2532717765,0.058,CSP9844
B,1831.58,20.2725625439,0.042,CSP9844
V,1765.7,16.9721539593,0.006,CSP9844
V,1766.71,16.9226132467,0.005,CSP9844
V,1768.61,16.8639437381,0.007,CSP9844
V,1770.6,16.8606853696,0.008,CSP9844
V,1772.68,16.8951736249,0.007,CSP9844
V,1776.64,17.0681801628,0.007,CSP9844
V,1779.59,17.2590277736,0.009,CSP9844
V,1781.62,17.3786295959,0.02,CSP9844
V,1783.67,17.5367352117,0.014,CSP9844
V,1789.68,17.8781898417,0.01,CSP9844
V,1792.56,17.9968463387,0.012,CSP9844
V,1795.63,18.3370322381,0.012,CSP9844
V,1801.71,18.7663514563,0.017,CSP9844
V,1802.6,18.8262815134,0.016,CSP9844
V,1806.6,18.9298124772,0.02,CSP9844
V,1809.63,18.9304373513,0.045,CSP9844
V,1814.57,19.1232116347,0.028,CSP9844
V,1818.57,19.3481475672,0.023,CSP9844
V,1820.59,19.3546791684,0.022,CSP9844
V,1824.55,19.4460294799,0.037,CSP9844
V,1831.58,19.6198706526,0.032,CSP9844
V,1844.55,19.954,0.086,CSP9844
