Filter,MJD,Mag,Sigma,Code
i,1795.56,17.6630015191,0.011,CSP9844
i,1797.58,17.5654499987,0.008,CSP9844
i,1798.58,17.5532071387,0.009,CSP9844
i,1801.6,17.6096848179,0.012,CSP9844
i,1802.56,17.6282709075,0.009,CSP9844
i,1803.58,17.649841845,0.014,CSP9844
i,1806.57,17.7696849407,0.012,CSP9844
i,1808.56,17.8374992459,0.012,CSP9844
i,1809.56,17.9200256295,0.011,CSP9844
i,1810.58,18.0099165332,0.013,CSP9844
i,1813.55,18.2833775323,0.013,CSP9844
i,1817.53,18.4409192214,0.018,CSP9844
i,1818.54,18.4602611777,0.016,CSP9844
i,1820.55,18.4266481067,0.013,CSP9844
i,1830.54,18.1580757849,0.016,CSP9844
i,1834.55,18.2324516422,0.017,CSP9844
r,1795.56,17.2587496966,0.008,CSP9844
r,1797.58,17.1008959314,0.006,CSP9844
r,1798.58,17.049940795,0.006,CSP9844
r,1801.6,16.9606872865,0.009,CSP9844
r,1802.56,16.9598978012,0.007,CSP9844
r,1803.58,16.9350445985,0.009,CSP9844
r,1806.57,17.0016162664,0.008,CSP9844
r,1808.56,17.0778747283,0.008,CSP9844
r,1809.56,17.1234294819,0.01,CSP9844
r,1810.58,17.1866903001,0.008,CSP9844
r,1813.55,17.4169320131,0.009,CSP9844
r,1817.53,17.6365867131,0.013,CSP9844
r,1818.54,17.6819312321,0.008,CSP9844
r,1820.55,17.7375004604,0.008,CSP9844
r,1830.54,17.9091169441,0.011,CSP9844
r,1834.55,18.0980042634,0.012,CSP9844
B,1795.56,17.2207788326,0.009,CSP9844
B,1797.58,17.0334518297,0.007,CSP9844
B,1798.58,16.9779783208,0.007,CSP9844
B,1801.6,16.9260350725,0.009,CSP9844
B,1802.56,16.9237870796,0.009,CSP9844
B,1803.58,16.9394084536,0.009,CSP9844
B,1806.57,17.0595354002,0.009,CSP9844
B,1808.56,17.1431385181,0.01,CSP9844
B,1809.56,17.2198524609,0.011,CSP9844
B,1810.58,17.2959016785,0.01,CSP9844
B,1813.55,17.5148569079,0.011,CSP9844
B,1817.53,17.9107344294,0.01,CSP9844
B,1818.54,18.0310048267,0.011,CSP9844
B,1820.55,18.2103483271,0.014,CSP9844
B,1830.54,19.1467284966,0.025,CSP9844
B,1834.55,19.3734597057,0.066,CSP9844
V,1795.56,17.2233449688,0.009,CSP9844
V,1797.58,17.0660645909,0.008,CSP9844
V,1798.58,16.984816196,0.006,CSP9844
V,1801.6,16.8959303959,0.008,CSP9844
V,1802.56,16.865970993,0.009,CSP9844
V,1803.58,16.8645446636,0.008,CSP9844
V,1806.57,16.9219265866,0.008,CSP9844
V,1808.56,16.9989795963,0.008,CSP9844
V,1809.56,17.0399974212,0.008,CSP9844
V,1810.58,17.0521341184,0.009,CSP9844
V,1813.55,17.216321576,0.01,CSP9844
V,1817.53,17.4565014328,0.01,CSP9844
V,1818.54,17.5057326648,0.009,CSP9844
V,1820.55,17.6024554854,0.012,CSP9844
V,1830.54,18.0850545623,0.014,CSP9844
V,1834.55,18.3885431296,0.028,CSP9844
