Filter,MJD,Mag,Sigma,Code
i,1806.79,16.7021816765,0.011,CSP9844
i,1808.81,16.0257679219,0.008,CSP9844
i,1809.8,15.7660781153,0.011,CSP9844
i,1810.8,15.5884581155,0.01,CSP9844
i,1813.79,15.4343315994,0.007,CSP9844
i,1817.77,15.5867138266,0.009,CSP9844
i,1818.77,15.5836909536,0.009,CSP9844
i,1827.76,16.2907730523,0.008,CSP9844
i,1830.74,16.3391016859,0.011,CSP9844
i,1831.77,16.3338717319,0.012,CSP9844
i,1834.83,16.2273733258,0.01,CSP9844
i,1837.81,16.1250712676,0.007,CSP9844
i,1838.8,16.0876256421,0.011,CSP9844
i,1839.76,16.0650705249,0.008,CSP9844
i,1840.74,16.0842389477,0.009,CSP9844
i,1841.74,16.1136258927,0.009,CSP9844
i,1842.86,16.1641538468,0.008,CSP9844
i,1844.79,16.3080073339,0.009,CSP9844
i,1856.76,17.0848915273,0.014,CSP9844
i,1867.71,17.4882451506,0.017,CSP9844
i,1870.73,17.6769191396,0.016,CSP9844
i,1874.64,17.8138523628,0.018,CSP9844
i,1878.65,17.9661645049,0.027,CSP9844
i,1884.68,18.14,0.027,CSP9844
r,1806.79,16.3750020218,0.011,CSP9844
r,1808.81,15.7530833087,0.005,CSP9844
r,1809.8,15.5044096594,0.009,CSP9844
r,1810.8,15.3136944281,0.009,CSP9844
r,1813.79,15.04467284,0.005,CSP9844
r,1817.77,14.9090331024,0.008,CSP9844
r,1818.77,14.9055451043,0.008,CSP9844
r,1827.76,15.4849182845,0.005,CSP9844
r,1830.74,15.6347318327,0.011,CSP9844
r,1831.77,15.6774115915,0.008,CSP9844
r,1834.83,15.715220433,0.009,CSP9844
r,1837.81,15.7574703454,0.005,CSP9844
r,1838.8,15.7739580568,0.009,CSP9844
r,1839.76,15.8226160371,0.006,CSP9844
r,1840.74,15.8891987029,0.006,CSP9844
r,1841.74,15.9439869812,0.009,CSP9844
r,1842.86,16.0332045567,0.008,CSP9844
r,1844.79,16.1930221902,0.008,CSP9844
r,1856.76,16.8919471214,0.012,CSP9844
r,1867.71,17.2502290943,0.01,CSP9844
r,1870.73,17.4258910909,0.01,CSP9844
r,1874.64,17.5530898219,0.01,CSP9844
r,1878.65,17.6518750384,0.017,CSP9844
r,1884.68,17.766,0.02,CSP9844
B,1806.79,16.4422061897,0.008,CSP9844
B,1808.81,15.73880117,0.006,CSP9844
B,1809.8,15.4914182041,0.006,CSP9844
B,1810.8,15.3076426714,0.006,CSP9844
B,1813.79,14.9731814334,0.006,CSP9844
B,1817.77,14.8779106978,0.009,CSP9844
B,1818.77,14.8862546639,0.007,CSP9844
B,1827.76,15.5339964819,0.005,CSP9844
B,1830.74,15.892853167,0.007,CSP9844
B,1831.77,16.0365341972,0.006,CSP9844
B,1834.83,16.4134730099,0.007,CSP9844
B,1837.81,16.7553419584,0.008,CSP9844
B,1838.8,16.8692703998,0.009,CSP9844
B,1839.76,16.976961331,0.008,CSP9844
B,1840.74,17.0794250761,0.011,CSP9844
B,1841.74,17.2084539973,0.013,CSP9844
B,1842.86,17.2731718729,0.016,CSP9844
B,1844.79,17.4391108699,0.017,CSP9844
B,1856.76,17.9540278045,0.011,CSP9844
B,1867.71,18.1696197192,0.011,CSP9844
B,1870.73,18.2335122482,0.022,CSP9844
B,1874.64,18.309050432,0.019,CSP9844
B,1878.65,18.3674221124,0.013,CSP9844
B,1884.68,18.456,0.012,CSP9844
V,1806.79,16.341389782,0.007,CSP9844
V,1808.81,15.7317274353,0.005,CSP9844
V,1809.8,15.492701947,0.008,CSP9844
V,1810.8,15.3356494477,0.006,CSP9844
V,1813.79,15.00579252,0.006,CSP9844
V,1817.77,14.8641698586,0.007,CSP9844
V,1818.77,14.8576652637,0.008,CSP9844
V,1827.76,15.2598435484,0.004,CSP9844
V,1830.74,15.4537999205,0.008,CSP9844
V,1831.77,15.5386120555,0.005,CSP9844
V,1834.83,15.7111778958,0.007,CSP9844
V,1837.81,15.8795138853,0.005,CSP9844
V,1838.8,15.9365110037,0.008,CSP9844
V,1839.76,16.0276461954,0.007,CSP9844
V,1840.74,16.1060319156,0.008,CSP9844
V,1841.74,16.1901252531,0.009,CSP9844
V,1842.86,16.2865248288,0.009,CSP9844
V,1844.79,16.4448167933,0.009,CSP9844
V,1856.76,17.0361367992,0.011,CSP9844
V,1867.71,17.3051035489,0.011,CSP9844
V,1870.73,17.4675277916,0.011,CSP9844
V,1874.64,17.5867395312,0.011,CSP9844
V,1878.65,17.6697161311,0.012,CSP9844
V,1884.68,17.814,0.013,CSP9844
