Filter,MJD,Mag,Sigma,Code
i,1809.77,16.8985503605,0.012,CSP9844
i,1810.85,16.9062234646,0.011,CSP9844
i,1813.72,16.9923687134,0.01,CSP9844
i,1814.79,17.0480329621,0.016,CSP9844
i,1818.74,17.2011103508,0.013,CSP9844
i,1821.79,17.4915070479,0.023,CSP9844
i,1830.71,17.5912929483,0.018,CSP9844
i,1831.74,17.6023862502,0.014,CSP9844
i,1834.75,17.513942487,0.017,CSP9844
i,1838.77,17.5137920447,0.019,CSP9844
i,1839.72,17.6112853126,0.014,CSP9844
i,1840.71,17.6802646783,0.017,CSP9844
i,1841.72,17.807640385,0.017,CSP9844
i,1856.73,18.5432812737,0.044,CSP9844
r,1809.77,16.5838646947,0.009,CSP9844
r,1810.85,16.5552443817,0.01,CSP9844
r,1813.72,16.4552369453,0.006,CSP9844
r,1814.79,16.4623634476,0.009,CSP9844
r,1818.74,16.5822767537,0.01,CSP9844
r,1821.79,16.8988213786,0.022,CSP9844
r,1830.71,17.2610156639,0.009,CSP9844
r,1831.74,17.2718670104,0.01,CSP9844
r,1834.75,17.3161336441,0.01,CSP9844
r,1838.77,17.6587238798,0.048,CSP9844
r,1839.72,17.6188944128,0.012,CSP9844
r,1840.71,17.7019213734,0.011,CSP9844
r,1841.72,17.7651702948,0.014,CSP9844
r,1856.73,18.560947977,0.018,CSP9844
r,1858.76,18.5477757577,0.027,CSP9844
B,1809.77,16.8069256145,0.008,CSP9844
B,1810.85,16.7323646076,0.008,CSP9844
B,1813.72,16.7225790265,0.008,CSP9844
B,1814.79,16.7243272004,0.008,CSP9844
B,1818.74,16.8994504862,0.009,CSP9844
B,1821.79,17.1536406869,0.008,CSP9844
B,1830.71,18.213185132,0.013,CSP9844
B,1831.74,18.3164772693,0.015,CSP9844
B,1834.75,18.6102949945,0.021,CSP9844
B,1838.77,19.0190873379,0.023,CSP9844
B,1839.72,19.1018290132,0.03,CSP9844
B,1840.71,19.219559397,0.036,CSP9844
B,1841.72,19.2803367441,0.044,CSP9844
B,1855.83,19.8339262441,0.045,CSP9844
B,1856.73,19.8253893935,0.047,CSP9844
B,1858.76,19.7685773218,0.046,CSP9844
V,1809.77,16.677618883,0.008,CSP9844
V,1813.72,16.5221213971,0.009,CSP9844
V,1814.79,16.5213831878,0.008,CSP9844
V,1818.74,16.6363975367,0.008,CSP9844
V,1821.79,16.7797492923,0.009,CSP9844
V,1830.71,17.3714374744,0.011,CSP9844
V,1831.74,17.4287924263,0.01,CSP9844
V,1834.75,17.5617687186,0.012,CSP9844
V,1838.77,17.894138307,0.016,CSP9844
V,1839.72,17.9905590586,0.013,CSP9844
V,1840.71,18.0461270428,0.014,CSP9844
V,1841.72,18.1534462983,0.017,CSP9844
V,1845.86,18.4347375141,0.02,CSP9844
V,1856.73,18.8293179477,0.023,CSP9844
V,1858.76,18.8319002692,0.027,CSP9844
