Filter,MJD,Mag,Sigma,Code
i,1834.67,16.6461186841,0.007,CSP9844
i,1837.72,16.5323857286,0.005,CSP9844
i,1838.68,16.5439227784,0.008,CSP9844
i,1839.59,16.5487647569,0.007,CSP9844
i,1840.62,16.5961150634,0.007,CSP9844
i,1841.59,16.6176592825,0.015,CSP9844
i,1842.59,16.6654025182,0.009,CSP9844
i,1844.64,16.7052633906,0.009,CSP9844
i,1845.64,16.7292479464,0.005,CSP9844
i,1848.61,16.8461296663,0.011,CSP9844
i,1855.61,17.2749323889,0.006,CSP9844
i,1856.6,17.2839543932,0.009,CSP9844
i,1859.63,17.2495913433,0.007,CSP9844
i,1866.59,17.1642222112,0.009,CSP9844
i,1867.61,17.1299416151,0.008,CSP9844
i,1870.58,17.1357842742,0.009,CSP9844
i,1871.57,17.1315527098,0.009,CSP9844
i,1872.62,17.1486677893,0.008,CSP9844
i,1874.53,17.1976108603,0.007,CSP9844
i,1878.53,17.4046574579,0.01,CSP9844
i,1884.53,17.7823980877,0.01,CSP9844
r,1834.67,16.2989698777,0.006,CSP9844
r,1837.72,16.1143504451,0.006,CSP9844
r,1838.68,16.0715422965,0.008,CSP9844
r,1839.59,16.0350591832,0.006,CSP9844
r,1840.62,16.0200603865,0.006,CSP9844
r,1841.59,15.9928295775,0.009,CSP9844
r,1842.59,15.9771962285,0.008,CSP9844
r,1844.64,15.9772430094,0.007,CSP9844
r,1845.64,15.9910138541,0.005,CSP9844
r,1848.61,16.0850480701,0.009,CSP9844
r,1855.61,16.5190718185,0.004,CSP9844
r,1856.6,16.5742213176,0.007,CSP9844
r,1859.63,16.6561475358,0.004,CSP9844
r,1866.59,16.7734634475,0.006,CSP9844
r,1867.61,16.7865364521,0.008,CSP9844
r,1870.58,16.8683203985,0.008,CSP9844
r,1871.57,16.8936743044,0.008,CSP9844
r,1872.62,16.948832042,0.008,CSP9844
r,1874.53,17.0339930819,0.008,CSP9844
r,1878.53,17.3012352215,0.007,CSP9844
r,1884.53,17.6241195048,0.006,CSP9844
B,1834.67,16.2378633514,0.007,CSP9844
B,1837.72,16.0267093082,0.005,CSP9844
B,1838.68,15.9840709205,0.007,CSP9844
B,1839.59,15.9464133533,0.006,CSP9844
B,1840.62,15.9316046657,0.007,CSP9844
B,1841.59,15.9254284082,0.008,CSP9844
B,1842.59,15.9473792598,0.009,CSP9844
B,1844.64,15.9956693343,0.007,CSP9844
B,1845.64,16.0380512076,0.005,CSP9844
B,1848.61,16.213843566,0.011,CSP9844
B,1855.61,16.8080083648,0.007,CSP9844
B,1856.6,16.912346795,0.01,CSP9844
B,1859.63,17.2225428611,0.008,CSP9844
B,1866.59,17.8471850147,0.015,CSP9844
B,1867.61,17.9041466092,0.014,CSP9844
B,1870.58,18.1557594932,0.018,CSP9844
B,1871.57,18.1888604957,0.017,CSP9844
B,1872.62,18.27403631,0.028,CSP9844
B,1874.53,18.4256875244,0.018,CSP9844
B,1878.53,18.7149095364,0.022,CSP9844
B,1884.53,18.9486438783,0.031,CSP9844
V,1834.67,16.2214079819,0.006,CSP9844
V,1837.72,16.0103630038,0.004,CSP9844
V,1838.68,15.9665309004,0.007,CSP9844
V,1839.59,15.9421460407,0.008,CSP9844
V,1840.62,15.9142994414,0.007,CSP9844
V,1841.59,15.896740054,0.008,CSP9844
V,1842.59,15.9051091623,0.008,CSP9844
V,1844.64,15.9126820017,0.007,CSP9844
V,1845.64,15.9272057977,0.006,CSP9844
V,1848.61,16.0202973421,0.012,CSP9844
V,1855.61,16.3467668093,0.004,CSP9844
V,1856.6,16.4353681959,0.008,CSP9844
V,1859.63,16.5945114758,0.006,CSP9844
V,1866.59,16.9231063669,0.007,CSP9844
V,1867.61,16.9622386507,0.009,CSP9844
V,1870.58,17.1224668971,0.009,CSP9844
V,1871.57,17.1672753628,0.011,CSP9844
V,1872.62,17.228470706,0.01,CSP9844
V,1874.53,17.3380241154,0.009,CSP9844
V,1878.53,17.5960242278,0.007,CSP9844
V,1884.53,17.8488540369,0.016,CSP9844
