Filter,MJD,Mag,Sigma,Code
i,1837.75,17.364659853,0.011,CSP9844
i,1838.71,17.1558476035,0.009,CSP9844
i,1839.62,17.0068290395,0.009,CSP9844
i,1840.65,16.8264244088,0.007,CSP9844
i,1841.65,16.7115660462,0.008,CSP9844
i,1842.67,16.6299015693,0.009,CSP9844
i,1845.68,16.5043333689,0.006,CSP9844
i,1848.67,16.5808382393,0.009,CSP9844
i,1855.7,17.0160512414,0.008,CSP9844
i,1856.66,17.1538115783,0.013,CSP9844
i,1859.68,17.4940950353,0.012,CSP9844
i,1867.65,18.0155620894,0.015,CSP9844
i,1871.66,18.2728251492,0.022,CSP9844
i,1873.59,18.4068257598,0.017,CSP9844
i,1879.65,18.6711660175,0.021,CSP9844
i,1884.63,18.861,0.025,CSP9844
r,1837.75,17.3227207656,0.007,CSP9844
r,1838.71,17.0993990173,0.007,CSP9844
r,1839.62,16.9317844492,0.007,CSP9844
r,1840.65,16.7804151593,0.006,CSP9844
r,1841.65,16.6545196137,0.006,CSP9844
r,1842.67,16.5424624724,0.008,CSP9844
r,1845.68,16.4225535876,0.005,CSP9844
r,1848.67,16.5439053159,0.008,CSP9844
r,1855.7,17.2396343174,0.008,CSP9844
r,1856.66,17.2942528694,0.009,CSP9844
r,1859.68,17.5971984708,0.009,CSP9844
r,1867.65,18.1626795248,0.013,CSP9844
r,1871.66,18.4521699523,0.023,CSP9844
r,1873.59,18.5328660623,0.015,CSP9844
r,1879.65,18.913092007,0.019,CSP9844
r,1884.63,19.094,0.021,CSP9844
B,1837.75,17.742131745,0.009,CSP9844
B,1838.71,17.5790657401,0.01,CSP9844
B,1839.62,17.4703329161,0.011,CSP9844
B,1840.65,17.3776844277,0.01,CSP9844
B,1841.65,17.3444922833,0.012,CSP9844
B,1842.67,17.3341317873,0.013,CSP9844
B,1845.68,17.5673057556,0.011,CSP9844
B,1848.67,18.03229161,0.012,CSP9844
B,1855.7,19.1002612295,0.025,CSP9844
B,1856.66,19.2079417105,0.022,CSP9844
B,1859.68,19.3853826833,0.032,CSP9844
B,1867.65,19.7025602792,0.066,CSP9844
B,1870.61,19.8675618888,0.086,CSP9844
B,1871.66,19.8858344065,0.103,CSP9844
B,1873.59,19.8706984844,0.053,CSP9844
B,1879.65,20.0946675156,0.044,CSP9844
B,1884.63,20.336,0.056,CSP9844
V,1837.75,17.2969549285,0.007,CSP9844
V,1838.71,17.1083837786,0.009,CSP9844
V,1839.62,16.9340455865,0.008,CSP9844
V,1840.65,16.7995596415,0.008,CSP9844
V,1841.65,16.70770361,0.008,CSP9844
V,1842.67,16.6436002792,0.009,CSP9844
V,1845.68,16.6185188334,0.006,CSP9844
V,1848.67,16.8399716919,0.009,CSP9844
V,1855.7,17.6626479837,0.01,CSP9844
V,1856.66,17.7474287698,0.012,CSP9844
V,1859.68,17.9957849365,0.014,CSP9844
V,1867.65,18.4512924886,0.022,CSP9844
V,1870.61,18.5982959974,0.025,CSP9844
V,1871.66,18.5643532747,0.028,CSP9844
V,1872.64,18.7238553552,0.037,CSP9844
V,1873.59,18.7443408488,0.023,CSP9844
V,1879.65,18.9630215604,0.025,CSP9844
V,1884.63,19.221,0.023,CSP9844
