Filter,MJD,Mag,Sigma,Code
i,1848.7,18.905298514,0.02,CSP9844
i,1855.74,18.8742317908,0.021,CSP9844
i,1856.7,18.8682258511,0.024,CSP9844
i,1858.7,19.05329095,0.031,CSP9844
i,1859.73,19.044191202,0.03,CSP9844
i,1866.66,19.4770439084,0.028,CSP9844
i,1867.68,19.420592918,0.033,CSP9844
r,1848.7,18.7026476022,0.014,CSP9844
r,1855.74,18.8685579067,0.014,CSP9844
r,1856.7,18.9306821604,0.014,CSP9844
r,1858.7,19.0741313102,0.017,CSP9844
r,1859.73,19.1283800943,0.019,CSP9844
r,1866.66,19.5739424185,0.022,CSP9844
r,1867.68,19.5827805679,0.032,CSP9844
B,1848.7,18.836188201,0.02,CSP9844
B,1855.74,19.9679993114,0.034,CSP9844
B,1856.7,20.1017249531,0.043,CSP9844
B,1858.7,20.2361196026,0.068,CSP9844
B,1859.73,20.4979783813,0.056,CSP9844
B,1867.68,21.1246728336,0.127,CSP9844
V,1848.7,18.6394322396,0.018,CSP9844
V,1855.74,19.1248959483,0.017,CSP9844
V,1856.7,19.2404437484,0.022,CSP9844
V,1858.7,19.3608660229,0.029,CSP9844
V,1859.73,19.518711898,0.028,CSP9844
V,1866.66,19.8710327543,0.045,CSP9844
V,1867.68,19.9955979924,0.059,CSP9844
