Filter,MJD,Mag,Sigma,Code
i,1869.84,14.9602300377,0.008,CSP9844
i,1871.87,14.8158118851,0.007,CSP9844
i,1872.87,14.7646877712,0.006,CSP9844
i,1873.85,14.7480514799,0.009,CSP9844
i,1874.81,14.7491672729,0.008,CSP9844
i,1878.87,14.8349964765,0.009,CSP9844
i,1879.87,14.8619668286,0.006,CSP9844
i,1884.85,15.0640878316,0.009,CSP9844
i,1885.81,15.1577737416,0.009,CSP9844
i,1888.77,15.4329509109,0.008,CSP9844
i,1896.87,15.3569804638,0.008,CSP9844
i,1898.82,15.2821553508,0.009,CSP9844
i,1900.82,15.2350443275,0.009,CSP9844
i,1902.77,15.1641108719,0.009,CSP9844
i,1908.8,15.3625686784,0.009,CSP9844
i,1911.89,15.6065874922,0.01,CSP9844
i,1914.81,15.8102665493,0.007,CSP9844
i,1915.83,15.8537717976,0.009,CSP9844
i,1920.83,16.1031242665,0.01,CSP9844
i,1927.79,16.3772786546,0.009,CSP9844
i,1928.81,16.4220668404,0.008,CSP9844
i,1930.72,16.4792460983,0.011,CSP9844
i,1933.73,16.601777488,0.019,CSP9844
i,1937.82,16.7536460926,0.011,CSP9844
i,1938.81,16.8150740177,0.011,CSP9844
i,1947.7,17.1176220218,0.01,CSP9844
i,1963.67,17.547,0.042,CSP9844
i,1964.66,17.637,0.012,CSP9844
i,1966.66,17.71,0.013,CSP9844
i,1968.77,17.776,0.013,CSP9844
i,1976.65,18.022,0.015,CSP9844
r,1871.87,14.387290717,0.005,CSP9844
r,1872.87,14.2927919476,0.006,CSP9844
r,1873.85,14.2381510065,0.008,CSP9844
r,1878.87,14.1032522563,0.009,CSP9844
r,1879.87,14.1032478475,0.004,CSP9844
r,1884.85,14.2908822475,0.008,CSP9844
r,1888.77,14.6089324764,0.005,CSP9844
r,1896.87,14.8023773685,0.007,CSP9844
r,1898.82,14.8088719864,0.005,CSP9844
r,1900.82,14.8207888708,0.009,CSP9844
r,1902.77,14.8792957996,0.008,CSP9844
r,1908.8,15.2302377511,0.009,CSP9844
r,1911.89,15.4364060945,0.01,CSP9844
r,1914.81,15.6108685881,0.006,CSP9844
r,1915.83,15.664485118,0.008,CSP9844
r,1920.83,15.8538252723,0.009,CSP9844
r,1927.79,16.1007730921,0.007,CSP9844
r,1928.81,16.1458483005,0.005,CSP9844
