Filter,MJD,Mag,Sigma,Code
i,1869.68,17.4462052841,0.009,CSP9844
i,1870.83,17.2487302074,0.009,CSP9844
i,1871.79,17.1082989868,0.009,CSP9844
i,1872.79,17.0336388053,0.008,CSP9844
i,1873.77,16.9940731953,0.013,CSP9844
i,1874.71,16.9639896247,0.009,CSP9844
i,1878.76,17.0283545825,0.01,CSP9844
i,1879.79,17.0952506119,0.008,CSP9844
i,1883.77,17.2225651802,0.007,CSP9844
i,1884.73,17.2766139679,0.009,CSP9844
i,1888.65,17.5984534762,0.01,CSP9844
i,1898.68,17.5951476094,0.009,CSP9844
i,1900.69,17.6078439794,0.013,CSP9844
i,1902.67,17.5511962948,0.014,CSP9844
i,1908.67,17.6884661146,0.012,CSP9844
i,1911.74,17.8848554161,0.013,CSP9844
i,1914.66,18.1106031491,0.015,CSP9844
i,1915.65,18.1785816858,0.016,CSP9844
i,1917.73,18.2884429593,0.017,CSP9844
i,1928.6,18.7677235443,0.025,CSP9844
i,1931.64,18.8102913376,0.031,CSP9844
i,1938.65,19.1143480502,0.025,CSP9844
r,1869.68,17.2415371536,0.007,CSP9844
r,1870.83,17.0230121824,0.007,CSP9844
r,1871.79,16.8680695015,0.007,CSP9844
r,1872.79,16.7733513911,0.006,CSP9844
r,1873.77,16.6711129648,0.01,CSP9844
r,1874.71,16.6114759281,0.006,CSP9844
r,1878.76,16.4717849169,0.009,CSP9844
r,1879.79,16.4683899301,0.005,CSP9844
r,1883.77,16.5327043032,0.005,CSP9844
r,1884.73,16.5728058409,0.007,CSP9844
r,1888.65,16.832058381,0.007,CSP9844
r,1898.68,17.234971017,0.006,CSP9844
r,1900.69,17.2569365152,0.01,CSP9844
r,1902.67,17.3431979275,0.01,CSP9844
r,1908.67,17.6544671528,0.011,CSP9844
r,1911.74,17.874384586,0.011,CSP9844
r,1914.66,18.0782358455,0.015,CSP9844
r,1915.65,18.1217851739,0.014,CSP9844
r,1917.73,18.2357357204,0.017,CSP9844
r,1928.6,18.6348000497,0.021,CSP9844
r,1931.64,18.6845059156,0.026,CSP9844
r,1938.65,18.980301633,0.02,CSP9844
B,1869.68,17.2691527941,0.01,CSP9844
B,1870.83,17.0498527021,0.009,CSP9844
B,1871.79,16.870281104,0.009,CSP9844
B,1872.79,16.7601942408,0.009,CSP9844
B,1873.77,16.6390891949,0.009,CSP9844
B,1874.71,16.5693067962,0.008,CSP9844
B,1878.76,16.4421347723,0.009,CSP9844
B,1879.79,16.4489378952,0.005,CSP9844
B,1883.77,16.6087367597,0.007,CSP9844
B,1884.73,16.68143042,0.012,CSP9844
B,1888.65,17.0202445646,0.009,CSP9844
B,1898.68,18.179206255,0.019,CSP9844
B,1900.69,18.3736882034,0.025,CSP9844
B,1902.67,18.5687809106,0.036,CSP9844
B,1908.67,18.9862580833,0.021,CSP9844
B,1911.74,19.2202912368,0.025,CSP9844
B,1914.66,19.3060710959,0.031,CSP9844
B,1915.65,19.3275805502,0.028,CSP9844
B,1917.73,19.4803788136,0.034,CSP9844
B,1928.6,19.6902230953,0.057,CSP9844
B,1931.64,19.7531654615,0.081,CSP9844
B,1938.65,19.9339339192,0.048,CSP9844
V,1869.68,17.2780831801,0.008,CSP9844
V,1870.83,17.0452405983,0.008,CSP9844
V,1871.79,16.8774267451,0.008,CSP9844
V,1872.79,16.7474992532,0.008,CSP9844
V,1873.77,16.6605962713,0.008,CSP9844
V,1874.71,16.5968061815,0.007,CSP9844
V,1878.76,16.4189563336,0.008,CSP9844
V,1879.79,16.4059574143,0.006,CSP9844
V,1883.77,16.4756797248,0.006,CSP9844
V,1884.73,16.4954376588,0.008,CSP9844
V,1888.65,16.6736257254,0.005,CSP9844
V,1898.68,17.3373562951,0.01,CSP9844
V,1900.69,17.4477891688,0.014,CSP9844
V,1902.67,17.562608247,0.014,CSP9844
V,1908.67,17.9889298678,0.013,CSP9844
V,1911.74,18.1930102176,0.014,CSP9844
V,1914.66,18.3411309768,0.015,CSP9844
V,1915.65,18.3626388148,0.015,CSP9844
V,1917.73,18.4717172719,0.017,CSP9844
V,1928.6,18.7644451368,0.026,CSP9844
V,1931.64,18.8634362038,0.031,CSP9844
V,1938.65,19.0615866338,0.016,CSP9844
