Filter,MJD,Mag,Sigma,Code
i,1874.57,16.1430076741,0.006,CSP9844
i,1878.57,15.5887351109,0.004,CSP9844
i,1879.56,15.5450343161,0.006,CSP9844
i,1883.53,15.638942313,0.006,CSP9844
i,1885.52,15.7197222799,0.005,CSP9844
i,1888.52,15.8188797754,0.005,CSP9844
i,1900.53,16.2440268116,0.007,CSP9844
i,1902.51,16.1837542692,0.007,CSP9844
i,1908.51,16.1610702162,0.01,CSP9844
i,1911.51,16.2583986868,0.007,CSP9844
r,1874.57,16.0700496254,0.009,CSP9844
r,1878.57,15.4363910017,0.004,CSP9844
r,1879.56,15.3561690351,0.005,CSP9844
r,1883.53,15.2176950671,0.005,CSP9844
r,1885.52,15.2069432079,0.004,CSP9844
r,1888.52,15.2668980261,0.004,CSP9844
r,1900.53,15.9356519722,0.005,CSP9844
r,1902.51,15.9683126028,0.005,CSP9844
r,1908.51,16.1545462419,0.009,CSP9844
r,1911.51,16.3373404646,0.005,CSP9844
B,1874.57,16.4030810616,0.008,CSP9844
B,1878.57,15.7054285264,0.007,CSP9844
B,1879.56,15.6041428932,0.006,CSP9844
B,1883.53,15.456309327,0.006,CSP9844
B,1885.52,15.4900633203,0.006,CSP9844
B,1888.52,15.6385176823,0.006,CSP9844
B,1900.53,16.9136178823,0.01,CSP9844
B,1902.51,17.1226001915,0.014,CSP9844
B,1908.51,17.7403998377,0.013,CSP9844
B,1911.51,17.9817838349,0.013,CSP9844
V,1874.57,16.2133301667,0.006,CSP9844
V,1878.57,15.5457374711,0.006,CSP9844
V,1879.56,15.4583033899,0.005,CSP9844
V,1883.53,15.260304457,0.004,CSP9844
V,1885.52,15.2550075751,0.005,CSP9844
V,1888.52,15.3088799075,0.005,CSP9844
V,1900.53,16.0310390276,0.006,CSP9844
V,1902.51,16.1401074538,0.007,CSP9844
V,1908.51,16.5190693405,0.007,CSP9844
V,1911.51,16.7339863072,0.008,CSP9844
